키워드,빈도수
국민,5344
경제,4800
세계,4536
위하다,4230
한국,3270
대하다,3250
협력,3225
발전,2666
정부,2618
나라,2570
국가,2285
평화,2277
생각,2236
노력,2093
세기,1955
지금,1928
시대,1861
개혁,1811
문화,1738
기업,1718
남북,1711
대통령,1686
드리다,1635
사회,1600
관계,1576
문제,1536
정보,1524
감사,1486
함께,1443
오늘,1441
북한,1351
산업,1346
이제,1305
모두,1282
통하다,1233
바라다,1232
자리,1224
성공,1208
민족,1190
민주주의,1190
한반도,1187
투자,1186
지식,1166
역사,1157
추진,1149
가지다,1139
위기,1096
다시,1093
시장,1084
지나다,1051
미국,1040
말씀,1022
이번,1011
동안,1009
적극,993
지역,988
정책,979
사람,977
존경,976
더욱,941
정상,923
지원,915
각하,906
국제,884
일본,874
안정,871
중요,854
가장,849
아시아,837
교류,825
기술,824
금융,780
만들다,768
월드컵,759
교육,755
양국,752
극복,751
특히,738
정치,732
분야,731
인권,688
기대,687
중국,682
같이,679
화해,671
축하,664
환경,663
민주,652
번영,644
회담,643
필요,640
이러하다,632
통일,621
경쟁력,612
보이다,602
자유,595
지지,592
진심,591
매우,590
실현,588
기반,585
공동,582
회의,581
전쟁,577
이루다,574
여성,572
대회,571
미래,568
서로,567
기회,565
바로,565
희망,561
지키다,555
구조,554
개발,553
안보,551
또한,550
외환,550
일류,544
사랑,543
방문,539
성과,534
과학,529
확대,525
개선,517
참으로,514
반드시,512
운동,500
과거,499
없이,498
경쟁,496
강화,494
계속,492
성장,491
해결,486
도약,484
물론,482
평가,480
이후,480
총리,477
합의,472
역할,467
체제,457
열리다,456
변화,450
마음,448
이루어지다,442
지도자,438
생활,437
인류,435
건설,434
관광,432
시민,431
경찰,431
가능,429
나아가다,426
최선,424
자랑,423
아울러,422
중심,421
지속,415
연설,412
정신,411
수준,410
확신,410
보장,410
참여,410
계기,409
대화,408
제도,407
유럽,403
시작,403
전통,403
화합,402
기여,395
사업,394
의미,393
사실,389
기원,387
결과,384
외국,383
테러,383
생산,382
안전,381
가치,380
유지,377
이상,370
따르다,370
복지,368
대한민국,367
친애,362
여러분,359
헌신,358
가운데,356
바탕,355
수출,353
귀빈,353
지방,347
혁명,346
선거,344
결코,344
개최,343
외국인,342
보내다,342
인사,341
올해,341
나오다,340
관심,338
고통,335
성원,333
마련,333
어려움,329
최근,327
작년,326
무역,325
내외,324
금년,323
국정,318
향하다,314
높이다,313
의하다,313
대북,313
우리나라,312
보다,312
이미,311
부문,311
경기,310
서울,309
기울이다,308
과제,308
회복,308
정착,305
이끌다,303
기관,303
내년,302
먼저,301
한층,298
한편,298
많이,296
아직,295
모으다,293
현재,292
상호,291
처음,289
동시,288
조정,287
만나다,285
책임,285
최대,284
실천,282
능력,282
강국,281
전국,280
방향,280
각국,279
노동,278
활동,277
구축,277
자원,277
갖추다,277
계시다,276
만드다,275
이해,275
과정,275
위원장,274
정권,272
대표,271
상황,268
건강,264
건국,263
자본,263
국회,260
증진,260
기본,260
준비,260
관계자,258
러시아,257
계획,256
자신,256
향상,255
벤처,254
연결,253
위원회,252
강조,251
약속,250
신뢰,249
대책,248
졸업,247
효과,247
기쁘다,247
개방,246
아끼다,245
남북한,242
이기다,242
진전,240
은행,237
공공,236
냉전,235
방안,235
당시,234
목표,233
여건,233
격려,232
전체,230
영광,230
노고,229
정도,229
의원,228
소득,228
거두다,227
참석,227
일어나다,226
행사,226
원칙,225
저력,224
더불다,223
세우다,222
핵심,221
환영,221
메시지,219
활성,219
다음,218
유치,218
의지,217
실업,217
최고,217
빌리다,217
독일,216
대학,215
그동안,214
우호,213
부산,213
병행,212
그러다,212
예산,212
얼마나,212
투명,211
느끼다,210
당부,209
우선,208
인간,208
선언,208
주장,208
치하,207
햇볕,207
앞장서다,206
활용,205
인터넷,205
아래,204
경영,203
장관,202
다짐,202
무한,202
선진국,202
군사,202
외교,202
관련,201
희생,201
한미,199
대비,199
자금,198
확인,198
차원,198
한일,198
행복,198
분단,198
입장,197
국난,197
규모,196
논의,196
걸치다,196
도움,195
그리하다,195
보호,194
중소기업,194
국군,194
철저히,193
사이,193
야당,193
일관,193
노사,192
협조,192
태세,192
불교,192
생명,192
비롯하다,191
단체,191
육성,191
교역,190
진행,189
동아시아,189
운영,187
학생,186
조국,186
장병,185
국내,184
도전,184
역시,183
지난해,183
다양,183
격차,183
기초,181
동반자,181
자치,180
완화,178
태평양,178
포함,178
한번,178
창출,178
전자,177
출범,177
현실,176
투쟁,176
효율,176
받아들이다,176
긴장,174
얘기,173
신사,173
창조,172
영국,172
공무원,172
나누다,171
사상,171
공정,170
경험,170
진출,169
시간,169
이산가족,169
안심,169
우수,167
국방,167
서민,166
불과,166
발휘,166
연구,166
첨단,166
모범,166
김정일,165
동북아,165
노동자,165
인정,165
요구,164
이웃,164
선진,164
갈등,164
민간,163
농업,163
숙녀,163
영향,163
다지다,162
동참,161
회장,161
대처,161
잘못,161
직접,161
세계인,161
스스로,161
결국,160
제대로,160
여야,160
사태,160
고속,160
질서,159
상품,159
시설,158
승리,158
내외분,157
이야기,157
깊이,156
도시,156
지향,156
나가다,155
재정,155
언론,155
회원국,154
공존,154
토대,154
취임,154
전력,154
획기적,154
미군,154
선도,153
관리,153
통신,153
부가,153
용기,152
기업인,151
봉사,151
주도,150
질문,150
포용,150
공조,150
집중,149
추구,149
선두,149
동포,149
조치,149
이익,149
실업자,149
경우,148
의식,148
중산,147
기간,146
살리다,146
방송,146
해소,145
결정,145
모습,144
모이다,144
부탁,144
앞서다,144
늘어나다,143
인식,142
축제,142
각종,142
부정부패,142
시기,142
실질,141
게임,141
걱정,141
역량,140
서비스,140
엄청나다,140
전진,140
부패,140
힘쓰다,139
아주,139
독립,139
셋째,138
오늘날,137
건전,137
단계,137
해외,137
조선,136
프랑스,136
밝히다,135
실시,135
독재,135
보험,134
나서다,134
인력,134
국운,134
이유,134
도로,133
구체,133
전망,133
좌우,133
가족,132
재벌,132
완전히,132
수많다,132
우정,131
고용,130
위원,130
후손,130
확충,130
합치다,129
계층,129
높이,129
친구,129
처하다,129
방한,129
제공,128
바다,128
예술,128
확보,127
도민,127
마무리,127
치르다,126
철도,126
수립,126
들어오다,125
바꾸다,125
근본,125
지배,125
마지막,125
혜택,125
위협,125
완성,124
대륙,124
흑자,124
정의,123
융성,123
종식,123
마침내,122
절대,122
의장,122
힘차다,121
공헌,121
부시,121
그러하다,121
다가오다,121
도발,120
협의,120
정경,120
상당,119
관하다,119
각별,119
빠르다,119
부담,119
증대,119
증가,119
금리,119
조건,118
존중,118
대립,118
고난,118
대열,118
임기,117
확립,117
아시안,117
협정,116
의견,116
해내다,116
결의,116
차질,115
경의,115
전략,115
싸우다,115
대응,115
완수,115
몽골,115
지혜,115
노인,115
주변,114
바치다,114
특별,114
내일,114
개인,114
아세안,113
균형,113
체육,113
공군,113
부족,112
학교,112
뒷받침,112
잠재력,112
촉진,112
전문,112
제정,111
수호,111
기억,111
수교,111
경제인,111
원인,111
부처,110
차별,110
해양,110
국내외,110
대상,110
시련,110
얼마,110
인하다,110
일부,110
뜻깊다,109
조성,109
최초,109
부정,109
어린이,109
유착,109
올리다,109
총재,108
물가,108
만찬,108
사건,108
인구,107
근로자,107
다르다,107
들어가다,107
보완,107
척결,107
유엔,106
가정,106
주요,106
가져오다,106
베트남,106
반세기,106
합심,106
사명,105
축구,105
제안,105
이용,105
권리,105
행정,105
지구촌,105
좌절,104
발표,104
창의력,104
너무,104
철저,104
창의,104
방지,104
수행,104
물류,103
자신감,103
이바지,103
선생,103
기록,103
신장,103
소명,103
늘리다,103
범죄,103
기자,102
청소년,102
정성,102
최대한,101
위치,101
인도네시아,101
피해,101
규제,100
정당,100
상당히,100
전하다,100
하늘,100
조금,99
대국,99
일으키다,99
노벨,99
동북아시아,99
용납,99
의료,98
경의선,98
교체,98
제시,98
자세,98
모르다,98
끝나다,97
장교,97
바르다,97
흔들리다,97
일자리,96
요소,96
분명히,96
교훈,96
개척,96
정말,96
충심,96
요청,95
공사,95
열정,95
한국인,95
신문,95
추가,95
비전,95
초청,95
대폭,95
장차,94
업적,94
주민,94
조상,94
문명,94
배우다,94
기구,94
심정,94
벗어나다,94
클린턴,94
폭력,93
체질,93
당면,93
나타나다,93
확산,93
종합,93
예정,93
상태,93
만족,93
중심지,92
여당,92
지도력,92
주역,92
빈곤,92
장래,92
세상,92
출발,92
과업,92
본격,91
상봉,91
종교,91
지구,91
사용,91
적응,91
권력,91
당하다,90
발생,90
역내,90
확고히,90
거듭,90
결심,90
유일,90
오찬,90
불안,90
기념,89
노사정,89
전반,89
창조력,89
누리다,89
구현,89
혁신,89
각오,89
연합,88
그대로,88
통합,88
앞날,88
긍정,88
줄이다,88
속도,88
무궁,88
광주,87
걸리다,87
디자인,87
위상,87
주력,87
의심,87
여론,87
무력,87
교수,87
열심히,87
뉴질랜드,86
새해,86
통신망,86
국경,86
성취,86
알리다,86
신지식인,86
태도,86
중소,86
착실히,86
포럼,85
국토,85
도입,85
해군,85
호주,85
가슴,85
현장,84
넘기다,84
하루,84
내리다,83
기념식,83
혹은,83
총회,83
동맹,83
올림픽,83
철학,83
개통,83
취하다,82
완전,82
일행,82
수상,82
조사,82
부응,82
대전,82
행위,81
모색,81
상징,81
뿌리,81
달성,81
대단히,80
오히려,80
전부,80
단합,80
들어서다,80
아프리카,80
접목,79
남한,79
관치,79
결실,79
영원,79
분명,79
원천,79
강하다,79
영화,79
동지,79
달하다,79
싱가포르,78
정리,78
스포츠,78
이행,78
설치,78
우의,78
부실,78
당선,77
유라시아,77
이미지,77
신념,77
컴퓨터,77
햇볕정책,77
문제점,77
기틀,77
설명,77
생기다,77
당장,77
평양,77
중앙,77
개막,76
시행,76
이탈리아,76
소외,76
바뀌다,76
키우다,76
보람,75
달리다,75
베를린,75
신용,75
축배,75
영원히,74
전기,74
고비,74
근대,74
거의,74
농민,74
방위,74
행운,74
일어서다,73
빈부,73
시위,73
대구,73
자연,73
경기장,73
평생,73
이념,73
축복,73
무대,73
참석자,73
교환,72
반대,72
경찰관,72
아낌없다,72
체계,72
훈련,72
장애인,72
주최,72
에너지,72
참전,72
애쓰다,72
금강산,72
변하다,72
우려,72
선택,72
인프라,71
예산안,71
존재,71
미사일,71
일제,71
기적,71
조직,71
포기,71
놀라다,71
감동,71
전면,71
관행,71
운명,71
전문가,70
세대,70
이렇게,70
보전,70
차지,70
용사,70
해방,70
자동차,70
박람회,70
연금,70
제고,70
재산,70
주체,70
농촌,70
긴밀하다,70
애국심,70
발명,69
필리핀,69
환율,69
커지다,69
무기,69
주목,69
흐름,69
흘리다,69
선열,69
비판,69
전환,69
하나님,69
자문,69
언제나,69
요인,69
단결,69
양성,68
의사,68
소비,68
관광객,68
구하다,68
사항,68
전개,68
영상,67
유교,67
대결,67
비하다,67
주택,67
보고,67
실패,67
수입,67
창설,67
청산,67
사례,67
이어지다,67
지적,66
제의,66
정체,66
물질,66
어떠하다,66
공동체,66
빛나다,66
새천년,66
예상,66
마치다,66
총력,66
아무리,65
혼신,65
친선,65
위로,65
지정학,65
예방,65
조속히,65
방법,65
주의,65
더욱이,65
선수,64
평화상,64
사고,64
부여,64
행동,64
명예,64
권익,64
홍콩,64
머지않다,63
처리,63
뛰어나다,63
중점,63
근절,63
소방,63
도와주다,63
권위주의,63
애국,63
인생,62
필수,62
아이디어,62
내실,62
수지,62
젊은이,62
주인,62
원동력,62
태어나다,62
채택,62
반영,62
세월,62
기능,62
수고,62
마찬가지,62
성의,62
확실히,61
보편,61
안녕,61
믿음,61
협상,61
거치다,61
불행,61
폐하,61
농가,61
사명감,61
공유,61
다만,60
지니다,60
각계,60
내부,60
절반,60
인도,60
우방,60
서구,60
부채,60
우리,60
만일,60
자율,60
탄생,60
인재,60
영예,59
흡수,59
심화,59
다하다,59
이전,59
튼튼히,59
특별히,59
명실상부,59
중립,59
보도,59
개정,59
대출,59
스웨덴,59
구성,59
확고하다,59
민생,59
제일,59
자체,59
디지털,59
달라지다,59
협회,59
항상,59
기쁨,59
국력,59
신임,58
차이,58
학부모,58
긍지,58
굳건히,58
조기,58
기르다,58
부분,58
생존,58
참가,58
값지다,58
되풀이,58
활력,58
찬사,57
거래,57
세력,57
전폭,57
빨리,57
염원,57
적자,57
긴밀히,57
애정,57
앞두다,57
자주,57
돌아가다,57
포괄,57
연말,56
노동력,56
영령,56
주둔,56
프로그램,56
북미,56
튼튼하다,56
허용,56
불법,56
유통,56
일원,56
거대,56
수용,56
침체,56
시스템,55
상거래,55
대량,55
법률,55
목숨,55
보증,55
불굴,55
내용,55
기다리다,55
펼치다,55
방식,55
해치다,55
치안,55
임무,55
적대,55
장군,55
사기,55
접근,55
대신,55
공식,55
교원,54
협동조합,54
노르웨이,54
호국,54
훨씬,54
교육열,54
경주,54
재난,54
물려주다,54
머리,54
입증,54
꾸준히,54
목적,54
침략,54
남녀,54
난국,54
공로,54
남다르다,53
주식,53
미치다,53
공급,53
남기다,53
감소,53
덕택,53
절대로,53
공통,53
통상,53
식민지,53
거리,53
앞당기다,53
해고,53
국왕,53
비록,53
개입,53
소비자,52
재무,52
건배,52
자식,52
토지,52
분위기,52
자민련,52
순간,52
비리,52
교통,52
박사,52
출발점,52
국빈,52
제품,52
헌법,52
물건,52
공존공영,52
글로벌,52
직면,51
임관,51
전주,51
정비,51
파트너,51
나머지,51
일치,51
비용,51
기도,51
재해,51
전혀,51
매년,51
국익,51
조화,51
위주,51
기공식,51
작업,51
가격,51
불신,51
주제,51
감정,50
등장,50
분쟁,50
계승,50
담당,50
소프트웨어,50
회원,50
이룩,50
수상자,50
안전망,50
돌아오다,50
소리,50
상대,50
개막식,50
시점,50
삼위일체,50
의회,49
차례,49
원리,49
신속,49
덕분,49
그만큼,49
공감,49
인천국제공항,49
주어지다,49
지식인,49
상환,49
지도,49
자산,49
주한,49
합법,49
의무,49
서두르다,49
네트워크,48
농업인,48
간접,48
수요,48
개편,48
투자자,48
제국주의,48
형성,48
박수,48
검찰,48
개도국,48
연대,48
올바르다,48
생계,48
재건,48
현안,48
진입,47
인내심,47
발견,47
말레이시아,47
사라지다,47
넘어서다,47
강구,47
살아가다,47
고려,47
공장,47
일선,47
기업가,47
답사,47
지표,47
살아남다,47
그리다,47
반성,47
넓히다,47
되찾다,46
과감히,46
보유고,46
제거,46
현대,46
체결,46
폭넓다,46
비즈니스,46
투입,46
군인,46
총장,46
합리,46
점검,46
간곡히,46
대외,46
경정,46
지급,46
업무,46
오르다,46
한데,46
공산,46
단행,46
센터,46
단순히,45
충분히,45
상하이,45
여기다,45
캐나다,45
살상,45
전념,45
유례,45
인종,45
슬기,45
지리,45
감독,45
인상,45
직장,45
요즘,45
오부치,45
대부분,45
충격,45
강력히,45
중단,45
장기,45
응전,45
역대,45
비극,45
시절,45
완벽,45
지상,44
토론,44
비율,44
넘치다,44
사이버,44
상실,44
수도,44
서해안,44
들이다,44
굉장히,44
평등,44
민족주의,44
활발히,44
임시,44
공기업,44
채권,44
강도,44
올라가다,44
다행,44
일반,44
이북,44
편성,44
실크로드,44
보급,44
오직,43
동서,43
기조,43
기하다,43
어찌,43
절약,43
분발,43
민족사,43
매진,43
선수단,43
급속히,43
집회,43
금하다,43
인천,43
통치,43
과시,43
나쁘다,43
철폐,43
한민족,43
회사,43
찬양,43
줄어들다,43
무너지다,43
고생,43
예술인,43
동티모르,43
가입,43
무장,43
직업,43
파괴,43
도처,43
시정,43
떨어지다,42
견인차,42
지대,42
항공,42
일시,42
재개,42
공항,42
유산,42
힘들다,42
한국민,42
특성,42
어리다,42
풍요,42
일생,42
가난,42
파견,42
물결,42
첫째,42
어깨,42
기준,42
결합,42
결단,42
겨레,42
성숙,42
다시금,42
진흥,42
버리다,41
일정,41
투자가,41
시키다,41
표시,41
자기,41
검토,41
어업,41
통과,41
절감,41
주석,41
폐허,41
장점,41
받들다,41
유학,41
