키워드,빈도수
위하다,4340
국민,4093
경제,3256
세계,3236
대통령,2592
개혁,2419
나라,2391
정부,2004
생각,1991
대하다,1964
협력,1860
한국,1859
사회,1810
국가,1747
발전,1693
시대,1473
노력,1398
북한,1324
추진,1304
관계,1281
문제,1267
함께,1217
평화,1204
오늘,1172
바라다,1142
정치,1062
지역,1055
감사,1001
세기,978
지금,970
국제,964
통하다,940
교육,933
민족,921
모두,921
기업,898
중요,879
더욱,866
통일,863
역사,860
드리다,856
이제,831
기술,792
양국,791
변화,787
지나다,785
가지다,770
각하,757
이번,736
문화,736
안정,714
적극,711
번영,708
산업,682
건설,658
매우,657
경쟁력,654
말씀,650
개발,646
자유,636
동안,633
바로,633
환경,629
정책,627
자리,615
필요,609
제도,593
정보,592
특히,585
지원,582
강화,581
정상,576
사람,574
미래,570
분야,570
한반도,553
민주,551
아시아,545
선거,540
다시,540
방문,533
기대,525
계획,517
만들다,515
가장,507
개선,506
경쟁,506
남북,502
투자,496
중심,485
지방,484
역할,482
회의,481
민주주의,468
과제,466
금융,454
회담,449
어려움,444
마련,443
참여,443
체제,440
해결,440
지키다,439
미국,438
과학,436
안보,432
기울이다,425
이루어지다,422
성장,422
확대,413
방안,408
태평양,405
바탕,404
생활,402
조국,402
따르다,402
여성,396
시장,395
계기,392
기여,389
관련,389
성공,387
높이다,387
개방,386
또한,375
최근,374
이루다,374
공동,372
구조,372
없이,369
이러하다,367
총리,367
보다,362
활동,360
의식,359
전쟁,358
나아가다,352
선진국,350
지도자,350
교류,345
귀빈,343
향하다,343
반드시,343
물론,343
보이다,339
사업,334
최선,330
기회,329
먼저,325
진심,323
건강,322
유엔,320
과거,319
과정,316
이상,316
계속,315
노사,314
질서,312
복지,310
극복,306
친애,305
일본,304
세우다,303
지속,303
희망,301
아직,301
보내다,300
축하,299
선진,299
수준,298
인류,295
상호,295
기원,295
규제,294
열리다,292
증진,291
가능,290
정신,289
무역,287
상황,285
차원,284
자신,280
우리나라,279
느끼다,279
실천,279
여러분,276
자치,276
의지,275
창조,274
고통,269
나오다,268
내외,268
동포,267
마음,266
밝히다,265
대책,264
공동체,263
시작,262
의미,260
취임,260
행정,259
출범,258
정착,258
사랑,258
아울러,257
운동,256
결코,255
실현,255
국정,254
서로,254
경찰,253
공직자,253
같이,252
실명,252
실시,249
부처,248
헌신,248
중소기업,247
갖추다,246
러시아,246
기쁘다,245
모으다,245
도약,243
대학,242
책임,241
준비,239
근로자,239
대화,238
귀국,237
물가,236
그동안,234
방향,234
연설,234
농어촌,233
인식,233
중국,232
무한,231
자랑,231
대회,230
올해,229
신뢰,228
금년,228
전국,228
구축,227
사실,225
스스로,225
외교,224
만드다,219
성과,217
현재,216
생산,216
동반자,216
만나다,215
관심,214
향상,214
평가,214
각종,214
시민,213
국회,212
기반,212
목표,209
기본,209
노고,209
이해,208
운영,208
수출,207
이후,206
유지,205
당부,204
보고,204
내외분,203
협조,203
능력,203
이끌다,202
인사,201
여건,201
의견,201
각국,200
회복,200
많이,200
용기,199
앞장서다,199
특별,198
더불다,198
완화,198
도시,198
장병,197
우선,197
인간,196
위원회,196
문민정부,193
장애인,193
효율,192
합의,192
추구,191
정의,191
대표,191
의원,189
부정부패,188
대비,188
존경,187
시설,185
자금,185
서울,184
실질,183
조치,183
방송,183
이미,183
단계,183
경우,183
자원,182
바다,180
결정,180
임기,180
도전,179
언론,179
유럽,179
나서다,179
자본,178
대처,177
바꾸다,177
경영,177
확충,175
참으로,175
위원,175
우호,175
환영,174
논의,174
전략,174
모습,174
입장,174
일류,174
기간,173
확립,172
규모,172
요구,171
구체,171
살리다,171
획기적,170
처음,170
지지,170
가정,169
주도,168
졸업,168
개편,168
보장,168
화합,167
장관,167
참석,167
가운데,167
기업인,167
확신,166
교역,165
나누다,164
관행,164
확인,163
거듭,163
인력,163
경험,162
보완,162
해외,162
현실,161
민간,160
키우다,160
촉진,160
시기,160
시간,160
잘못,160
다지다,159
공무원,159
지향,159
현장,159
성원,158
거두다,158
농업,158
안전,158
대단히,157
진출,156
의하다,156
우의,156
도덕,155
캐나다,154
도움,153
역량,153
이기다,153
약속,152
부문,151
다양,151
한번,151
관하다,151
달라지다,151
기관,150
가치,150
개최,150
통합,150
지적,149
희생,149
척결,148
구상,148
아래,148
격려,147
다가오다,147
수립,146
수행,146
화해,146
치하,146
결과,145
대한민국,145
강조,145
자율,144
작년,144
조직,144
활성,144
영광,144
냉전,144
봉사,144
재산,143
걸치다,143
해양,143
부정,143
문민,142
국군,142
독일,142
지난해,142
가족,141
사건,141
이익,141
전체,140
보호,140
일부,140
육성,140
클린턴,140
조성,139
전진,138
활력,138
제의,138
경의,138
보람,137
단체,137
확보,137
동참,136
힘차다,136
광복,136
관계자,136
자세,135
얘기,135
창의,134
해소,134
일어나다,134
내년,134
원칙,134
확산,133
자문,133
흘리다,132
빌리다,131
종합,131
신한국,131
이야기,131
각오,130
협의,130
태세,130
다음,130
이웃,130
빠르다,130
분단,129
조정,129
혁신,128
방한,128
깊이,128
뒷받침,128
정당,128
제시,127
문명,127
지구,126
간접,126
최대한,126
정도,125
위상,125
사고,125
발휘,125
무궁,124
바치다,124
학교,124
누리다,124
무대,123
근본,123
갈등,122
통신,122
예산,122
재정,122
관리,122
출발,121
도발,121
장래,121
소득,120
직접,120
위기,119
차질,119
한편,119
넘치다,119
우정,118
전하다,118
핵심,118
앞당기다,118
협정,118
개정,117
전망,117
기초,117
체계,117
경기,117
연구,117
아끼다,117
분담,117
전문,117
뜻깊다,116
벗어나다,115
농어민,115
공정,115
반세기,115
혼신,114
뿌리,114
어린이,114
균형,114
비롯하다,114
군사,113
광주,113
시책,113
흐름,113
동북아,113
검토,113
방법,113
공개,113
분명히,113
선도,112
사이,112
부패,111
학생,111
본격,110
변하다,110
귀하,110
전통,110
행복,109
오늘날,109
회견,109
겨레,109
동시,109
분위기,109
달리다,108
잠재력,108
범죄,108
늘리다,108
동지,108
예술,107
영원,106
명예,106
순방,106
주요,105
지혜,105
효과,105
각계,104
조화,104
모이다,104
다짐,103
모범,103
치열,103
비리,103
저력,103
선언,103
존중,102
늘어나다,102
집중,101
인도,101
나타나다,101
꾸준히,101
앞날,101
기능,101
주민,101
주역,100
공직,99
부담,99
그러다,99
대응,99
높이,99
너무,98
질문,98
만찬,98
지니다,97
방위,97
첨단,97
자연,97
투명,97
긍지,97
시점,97
전반,97
위협,97
생명,97
메시지,97
구현,97
가입,96
외국,96
모르다,96
주체,96
진입,95
용사,95
대전,95
노인,95
작업,95
고치다,95
시행,94
풍요,94
포함,94
고려,94
내각,94
승리,94
국토,93
선택,93
농정,93
유치,93
비용,91
긴밀히,91
임금,90
엄청나다,90
그리하다,90
청와대,90
기쁨,90
달성,90
도입,89
베트남,89
민자당,89
국력,89
기강,89
남북한,89
후보,88
선열,88
합리,88
소망,88
세대,88
방식,88
독립,87
부분,87
중남미,87
행사,87
경제인,86
결실,86
형성,86
앞서다,86
혁명,85
하루,85
필리핀,84
프랑스,84
사정,84
조속히,84
후손,84
강구,84
투쟁,83
청산,83
국경,83
세계사,83
해군,83
일행,83
충심,83
한국인,83
끝나다,83
집단,82
불안,82
열심히,82
수상,82
증가,82
대상,82
대폭,82
전환,82
차례,81
부산,81
부족,81
넓히다,81
우려,81
각별,81
유대,80
항상,80
당면,80
되찾다,80
건전,80
바뀌다,80
서비스,80
얼마나,80
자신감,80
진행,79
행동,79
활용,79
개척,79
개인,79
태어나다,79
내부,79
이유,79
공군,79
절대,79
아르헨티나,78
당당,78
안보리,78
토대,78
야당,78
요인,78
업무,78
펼치다,78
성취,78
불편,78
긴장,78
결의,78
학부모,77
물결,77
기구,77
동아시아,77
교통,77
설치,77
대남,77
월드컵,77
대외,77
사법,77
내리다,77
원동력,76
정세,76
단합,76
어리다,76
칠레,76
의회,76
이념,76
고속,76
폭넓다,76
현상,75
영국,75
치르다,75
수지,75
예방,75
새해,74
제대로,74
종교,74
우뚝,74
협상,74
요소,74
보전,74
진정,73
엑스포,73
참전,73
당시,73
당원,73
신념,73
시련,73
국내,73
중점,73
처하다,73
최고,73
에너지,73
주장,73
마지막,72
내용,72
체질,72
수호,72
양성,72
알리다,72
눈물,72
가슴,72
인권,72
회원국,72
아픔,71
젊은이,71
전기,71
기르다,71
정비,71
성숙,71
사항,71
경찰관,71
믿음,71
민생,71
올림픽,71
기도,71
싱가포르,71
대립,71
우수,70
힘쓰다,70
총회,70
연합,70
눈앞,70
기틀,70
거치다,70
줄이다,70
경제력,70
처리,70
청년,70
불행,70
합치다,70
부응,70
일관,69
초청,69
노동,69
다소,69
일선,69
지도력,68
영예,68
추세,68
지하철,68
수많다,68
가격,68
비전,68
생존,68
소비,68
견해,68
축배,68
마침내,68
멀리,68
지구촌,67
점검,67
부동산,67
농촌,67
나가다,67
발표,67
장기,67
대구,67
속도,67
이용,67
구하다,67
