키워드,빈도수
사람,4317
나라,2646
정부,2410
대하다,1887
위하다,1779
가지다,1710
대통령,1666
지금,1656
세계,1536
자유,1489
한국,1444
만들다,1431
미국,1387
국가,1323
생각,1266
같이,1075
싸우다,1046
국민,968
담화,918
문제,912
민중,871
박사,869
이승만,865
민족,836
국회,810
전쟁,790
바라다,784
목적,781
동포,764
일본,719
통일,714
만드다,706
노력,697
공산,672
다시,668
평화,655
결심,653
정신,650
경제,643
동안,612
더욱,598
민주,597
공산당,597
보호,579
발전,567
당하다,560
우방,524
원조,523
많이,516
정당,512
주의,502
각각,500
오늘,500
주장,489
없이,488
물건,476
민국,456
우리나라,450
성공,444
선거,444
나가다,444
침략,442
행하다,440
사실,438
한인,436
공보실,436
이번,430
청년,429
전국,429
단체,427
민간,416
관계,414
세우다,407
독립,404
마음,403
필요,403
국군,398
정책,396
공보처,396
준비,395
서로,394
외국,394
군인,391
결과,387
조직,385
얼마,385
가장,380
세력,373
정치,370
기회,364
형편,360
계획,355
진행,354
오직,351
농민,346
모르다,344
행동,340
책임,338
직책,338
생활,337
분자,337
들어오다,335
이북,333
역사,332
아직,332
자리,332
애국,330
이익,330
개인,327
시작,324
운동,321
동시,320
감사,320
일반,320
해결,319
희생,318
소련,316
재정,315
계속,310
권리,304
대표,304
지키다,303
의도,299
투표,299
이루다,290
파괴,289
지내다,289
또한,286
만일,280
힘쓰다,277
안전,277
보내다,274
남녀,273
방면,272
나오다,268
따르다,268
작정,265
보장,264
물자,264
전체,263
진전,261
지도자,261
공산군,260
까닭,260
영광,260
생명,260
각오,259
회복,258
제도,258
공산주의,258
장군,258
의원,257
지방,257
신문,255
선전,251
상당,250
처음,249
지지,247
이상,246
민주주의,246
여기다,244
먼저,243
표시,243
복리,241
협의,240
물론,239
투쟁,238
반대,237
대한민국,236
생기다,236
사업,235
세상,235
보이다,235
관하다,233
공동,232
군사,232
이후,231
속히,230
도움,230
건설,229
일인,228
친구,224
방식,224
국제,223
조건,223
치하,222
일어나다,220
위험,219
곤란,218
피하다,218
공포,218
정하다,216
헌법,215
조사,212
정복,212
중국,211
자유당,210
배우다,206
백성,205
희망,205
이유,205
지나가다,204
또는,204
회담,203
충분히,203
지나다,202
노예,202
식히다,201
유엔,201
올라가다,199
아세아,198
이용,195
결정,195
합동,193
공산주의자,192
함께,189
휴전,189
공헌,188
재산,188
제일,188
도모,188
당국,187
개량,187
목숨,185
국권,185
통하다,185
인민,183
사상,183
보고,183
들어가다,183
부탁,181
금년,180
소위,180
지위,179
수입,179
중요,178
전선,178
요청,177
선언,177
의하다,176
취하다,176
해외,176
설명,176
생산,176
발표,175
기관,175
서울,174
침략자,174
싸움,173
사용,172
따라서다,172
