키워드,빈도수
국민,7528
위하다,6643
나라,5187
대하다,4325
경제,3989
민족,3674
정부,3492
발전,3400
오늘,3342
노력,3315
지금,3218
국가,3214
생각,3035
건설,2859
평화,2661
사회,2575
사람,2454
문제,2442
계획,2439
정신,2407
조국,2381
가지다,2164
통일,2135
동안,2095
사업,2079
개발,2078
자유,1978
더욱,1971
한국,1768
세계,1659
추진,1641
수출,1605
국제,1605
같이,1575
역사,1573
근대,1548
계속,1496
특히,1458
농촌,1441
공업,1431
공장,1422
지나다,1420
가장,1389
다시,1365
운동,1356
생산,1341
많이,1322
북한,1316
교육,1310
성장,1262
생활,1260
바로,1247
번영,1238
친애,1238
기술,1154
문화,1148
국력,1123
또한,1122
금년,1113
목표,1109
보다,1109
농민,1078
자립,1056
드리다,1044
지역,1044
산업,1042
통하다,1030
전쟁,1000
이제,997
침략,992
자주,989
말씀,977
안정,969
강화,963
없이,962
자리,950
관계,945
사실,920
대통령,916
모두,903
소득,895
중요,888
협조,884
공산,883
이러하다,883
물론,876
지방,874
작년,873
극복,845
국방,834
필요,832
강조,824
오늘날,819
다음,815
정책,810
성과,809
공무원,806
지원,794
증대,793
월남,790
또는,784
협력,770
따르다,769
결의,763
아시아,758
국토,754
적극,751
전진,749
정치,748
전국,747
달성,744
사명,743
나오다,742
당부,739
체제,733
남북,729
과거,719
확신,708
자신,705
책임,700
치하,698
민주,693
시설,691
분발,685
만들다,681
성공,678
스스로,678
바라다,671
정도,664
올리다,654
향상,653
과업,653
유신,653
시련,651
장병,646
마을,646
북괴,646
현실,645
국군,644
이상,644
도로,642
과학,637
더불다,635
단결,633
농업,632
자세,631
과제,630
노고,621
한편,621
지키다,616
영광,614
거듭,608
학생,606
개선,602
시대,602
보내다,600
공사,598
일부,597
해결,595
배양,595
분야,591
기업,590
기대,589
안보,584
최근,583
미국,582
감사,581
이번,575
확립,572
아직,567
증산,565
기회,563
정세,555
향토,555
현재,554
공산주의자,554
시책,553
결과,553
다짐,553
동포,552
시기,550
태세,549
기본,548
보장,540
수행,540
동시,540
가능,538
시작,538
의하다,535
예비군,535
안전,533
서울,532
도시,532
예산,531
연구,529
결코,529
