키워드,빈도수
국민,17
대통령,17
외교,9
위하다,7
독재,7
경제,6
정치,6
자유,6
국가,6
정부,5
혁명,5
정책,5
시민,5
행정,5
오늘,4
대구,4
말씀,4
하오,4
정권,3
이제,3
사월,3
윤보선,3
앙양,3
연설,3
이날,3
국내,3
위기,3
적극,3
공화국,3
강조,3
자세,2
내각,2
만들다,2
혁신,2
이익,2
오늘날,2
예정,2
역사,2
수행,2
탕진,2
갖추다,2
또한,2
민주주의,2
유산,2
부패,2
따르다,2
활동,2
학생,2
환영,2
열리다,2
참석,2
운명,2
수영,2
도착,2
호소,2
완수,2
창의,2
다시,2
사회,2
조선,2
준법정신,2
민주,2
집권,2
정당,2
출처,2
나라,2
일보,2
경계,2
간단히,2
없이,2
바라다,2
양심,2
세계,2
책임감,2
사이,2
관계,2
평화,2
감격,2
의심,2
제위,2
부산,2
년월일,2
같이,2
시찰,2
현명,2
건설,2
즉시,1
직결,1
특별,1
지나가다,1
필요,1
열차,1
새삼,1
하부,1
영향,1
한국,1
올바르다,1
자신,1
헌화,1
중대,1
참배,1
유엔,1
사시,1
묘지,1
국제,1
동북아,1
이승만,1
대신,1
개인,1
특징,1
원래,1
거래,1
사명,1
실질,1
일관,1
기만,1
사용,1
방법,1
중심,1
타국,1
대립,1
모면,1
돌리다,1
수단,1
외우다,1
조정,1
체제,1
불평불만,1
출발,1
합리,1
결국,1
초래,1
드르,1
너무,1
손실,1
인사,1
발휘,1
협상,1
복지,1
과포내,1
경의,1
굴하다,1
부정,1
불의,1
통하다,1
걸치다,1
석상,1
환영식,1
모이다,1
광장,1
역전,1
특별기,1
상오,1
상황,1
지방,1
영남,1
투쟁,1
남산,1
이재민,1
공원,1
오시,1
지구,1
근처,1
대구시,1
유지,1
질서,1
버리다,1
관념,1
정치인,1
도로,1
과업,1
그치다,1
내리다,1
동상,1
독재자,1
위로,1
태풍,1
대신동,1
하루,1
까닭,1
자손,1
마음,1
정신,1
대비책,1
들이다,1
물러가다,1
궐기,1
마산,1
대회,1
나오다,1
수많다,1
연도,1
운동장,1
공설,1
힘쓰다,1
바삐,1
이동,1
되살리다,1
체류,1
진해,1
진해별저,1
떠나다,1
부두,1
제이,1
함정,1
해군,1
부흥,1
원조,1
외국,1
단결,1
각자,1
빛나다,1
만방,1
대외,1
두통,1
빚어내다,1
당파,1
지혜,1
슬기,1
본위,1
인물,1
적재적소,1
먼저,1
초월,1
그러다,1
상태,1
구성,1
확인,1
분담,1
치자,1
책임,1
도리,1
타개,1
향기,1
인화,1
혼연일체,1
거두다,1
바치다,1
모두,1
존재,1
영원히,1
오직,1
단체,1
기점,1
해방,1
빈곤,1
금자탑,1
탈환,1
민권,1
대다수,1
전리품,1
거룩하다,1
난국,1
협조,1
비판,1
오르다,1
순간,1
교차,1
식전,1
비록,1
변하다,1
의무감,1
영광,1
거행,1
서식,1
어제,1
당선,1
영예,1
초대,1
재기,1
취임사,1
벅차다,1
소회,1
진실로,1
일단,1
신명,1
복리,1
선서,1
방금,1
사랑,1
올리다,1
아울러,1
감사,1
의원,1
국회,1
사람,1
무능,1
부덕,1
허물,1
드리다,1
학도,1
흘리다,1
보상,1
고아,1
마침내,1
연속,1
정견,1
찍히다,1
낙인,1
거리,1
진영,1
다음,1
근절,1
만능주의,1
감소,1
가치,1
잉여,1
전통,1
지키다,1
우방,1
취급,1
후진국,1
가슴,1
진공,1
인하다,1
안정,1
설상가상,1
처지,1
좌우,1
세력,1
강대국,1
주변,1
항상,1
말미암다,1
조건,1
지리,1
사실,1
아프다,1
우리나라,1
별로,1
마련,1
봉착,1
살림살이,1
요원하다,1
여정,1
작업,1
소탕,1
그대로,1
아직,1
다니다,1
물러나다,1
정녕,1
시들다,1
꽂히다,1
꽃병,1
마치,1
뿌리,1
누란,1
극복,1
과감하다,1
한낱,1
원칙,1
제거,1
조속히,1
요소,1
뿌리다,1
행정부,1
요청,1
노력,1
절제,1
내핍,1
나가다,1
제일주의,1
시책,1
달리다,1
수명,1
공로상,1
