키워드,빈도수
국민,15515
경제,12557
위하다,11544
정부,10348
세계,9593
협력,8284
한국,8026
대하다,7587
함께,7226
평화,6847
국가,6675
발전,6408
생각,6168
드리다,6114
사회,6063
나라,5917
지금,5009
노력,5008
기업,4985
감사,4912
문제,4723
대통령,4517
바라다,4504
산업,4497
오늘,4295
시대,3959
사람,3811
통하다,3766
정책,3753
지역,3640
지원,3601
더욱,3581
관계,3533
모두,3501
만들다,3494
가지다,3458
문화,3404
역사,3347
한반도,3256
투자,3177
성장,3151
말씀,3111
남북,3089
이제,3083
기술,3069
양국,3017
다시,3001
개혁,2977
성공,2929
추진,2905
정상,2900
민주주의,2881
시장,2867
혁신,2841
대한민국,2815
미래,2761
위기,2698
존경,2656
적극,2652
지나다,2574
중요,2569
국제,2564
가장,2485
분야,2477
자리,2473
북한,2437
정치,2398
확대,2336
필요,2302
정보,2252
이번,2245
이루다,2227
지키다,2193
세기,2191
축하,2177
미국,2143
특히,2142
매우,2140
기대,2127
강화,2111
회의,2087
참여,2086
번영,2057
개발,2021
동안,1971
환경,1908
극복,1906
안정,1880
해결,1880
마음,1853
가능,1805
일자리,1774
안전,1770
교육,1757
공동,1756
코로나,1750
변화,1718
회담,1707
기회,1690
일본,1686
자유,1681
시작,1679
희망,1671
보이다,1664
올해,1661
역할,1653
상황,1642
민족,1642
중심,1640
제도,1629
대화,1629
지방,1622
서로,1618
수준,1614
교류,1589
금융,1579
성과,1568
지속,1561
전쟁,1554
각하,1545
국회,1532
방문,1523
경쟁력,1517
나아가다,1492
사업,1482
시민,1476
민주,1468
높이다,1434
반드시,1397
마련,1393
안보,1391
최선,1387
과학,1383
중국,1379
지식,1376
합의,1363
개선,1361
없이,1351
많이,1351
진심,1346
바로,1337
이상,1336
기반,1322
모으다,1319
구조,1299
수출,1297
계속,1295
아시아,1289
전략,1282
이후,1276
공정,1272
대응,1263
회복,1259
인권,1250
정신,1249
가치,1236
과제,1208
평가,1201
또한,1181
건강,1170
방역,1169
준비,1165
목표,1163
어려움,1158
운동,1154
책임,1149
사실,1149
대책,1145
열리다,1144
이미,1141
도약,1137
물론,1136
과정,1135
총리,1135
지지,1133
생활,1132
신뢰,1132
실현,1130
경쟁,1124
만드다,1121
경찰,1113
자랑,1112
역량,1111
기여,1107
결과,1107
따르다,1100
기원,1091
계기,1087
동북아,1080
기관,1079
건설,1071
무역,1069
아직,1063
구축,1056
시간,1055
과거,1047
사랑,1046
귀빈,1045
고용,1044
보내다,1043
이끌다,1041
향하다,1036
인사,1032
계획,1027
동포,1027
만나다,1026
여성,1019
같이,1018
나오다,1005
생산,1001
언론,1001
혁명,998
최고,992
빠르다,992
이루어지다,982
통일,973
이러하다,972
규모,967
아세안,967
의미,966
포용,964
대회,964
인류,962
소득,961
보장,958
아주,955
예산,953
지도자,952
도시,943
관리,941
복지,941
화해,935
도전,933
다양,929
관심,929
핵심,927
내외,927
헌신,922
여러분,913
대표,910
지난해,905
중소기업,905
먼저,904
체제,904
국정,902
청년,901
방안,897
선거,892
위원회,890
의지,886
참으로,878
기울이다,878
최근,873
유지,870
한미,858
균형,853
다음,850
갖추다,845
얘기,845
실천,842
활동,837
당부,834
통합,834
전국,833
공공,828
결코,827
월드컵,824
독립,822
아울러,816
원칙,811
개최,811
에너지,809
규제,808
약속,807
가운데,800
특별,791
나누다,786
관광,786
논의,780
