키워드,빈도수
국민,4334
위하다,3614
본인,3246
발전,2140
경제,2113
평화,2087
대하다,2034
사회,2020
대통령,2003
노력,1910
나라,1902
국가,1829
정부,1632
민족,1616
세계,1384
생각,1366
오늘,1364
양국,1325
관계,1314
통일,1312
협력,1291
안정,1271
더욱,1209
국제,1179
북한,1170
정치,1164
각하,1098
모두,1090
한국,1080
역사,1017
통하다,897
함께,894
시대,882
문제,866
문화,807
지역,804
가지다,789
개발,781
특히,774
성장,751
조국,744
지나다,732
건설,731
방문,714
동안,714
대한민국,713
매우,692
같이,689
기술,681
분야,655
지금,654
계속,654
사실,649
중요,647
드리다,642
강화,640
의지,616
교육,611
자리,600
번영,598
한반도,596
상호,596
민주,595
선진,575
이번,573
운동,560
다시,553
이제,545
복지,540
추진,533
전쟁,528
정신,519
이러하다,512
따르다,511
대회,510
또한,507
대화,504
말씀,503
사람,502
감사,501
자유,500
생활,498
산업,489
기울이다,486
물론,480
창조,479
정책,473
가운데,463
확신,459
확대,458
아울러,458
필요,456
바로,454
미국,444
기대,443
질서,432
보이다,423
유지,416
체제,410
동포,407
다짐,407
공화국,404
공산,401
올림픽,400
증진,399
집단,393
회담,390
적극,389
강조,387
질문,386
과제,386
목표,386
해결,380
우호,379
상황,376
남북한,376
성공,374
답변,373
수출,373
정세,373
화합,373
한편,372
이해,371
기원,369
공동,367
성과,367
극복,367
민주주의,365
안보,364
관하다,364
정의,364
친애,364
치하,362
아시아,357
전통,354
바라다,352
없이,352
역할,351
지속,350
다지다,346
개선,345
전진,345
기회,343
외교,341
물가,336
향상,335
기여,333
당부,331
기반,330
수행,328
의하다,327
사업,327
스스로,325
가능,324
계획,323
결의,323
경기,321
먼저,315
지도자,315
국력,314
참여,314
동지,314
일본,313
실현,311
이상,310
헌법,307
결과,306
의식,305
향하다,304
마음,304
기업,303
가장,303
전국,303
지키다,300
겨레,300
여건,298
귀국,298
보내다,298
인식,297
서울,296
수상,296
노고,295
실천,295
시련,295
신뢰,291
인류,290
헌신,290
바탕,289
최근,288
구현,284
영광,282
환경,282
활동,280
현실,279
지원,279
내외,276
제도,274
희망,273
남북,271
서로,271
슬기,271
경험,270
정착,269
생산,268
추구,268
자세,267
긴장,264
도약,262
확립,261
어려움,260
내외분,259
자신,258
성취,257
이념,256
마련,255
확인,255
역량,254
과거,253
거듭,253
최선,253
결코,253
이루어지다,252
위협,250
더불다,250
시책,249
태세,249
표명,248
거두다,247
지지,245
세기,244
가정,243
민족사,242
기간,241
책임,241
투자,240
달성,240
도발,239
정상,239
토대,237
과학,235
여러분,235
조성,235
개방,234
힘차다,234
무역,234
교류,233
격려,232
의견,231
아프리카,231
협조,229
근로자,229
기본,229
사명,229
저력,229
신념,228
계기,227
아래,227
폭력,226
능력,225
오늘날,224
아직,223
보장,222
걸치다,222
시설,222
이익,222
반드시,221
보다,221
행복,220
국정,220
혼란,218
진심,217
전체,217
관련,215
자원,215
제의,215
나아가다,214
증대,213
생존,213
확보,213
기쁘다,212
사건,211
선진국,210
단합,209
아세안,209
동시,209
직접,208
각종,208
갖추다,208
대처,207
금년,206
수준,206
마을,205
안전,205
개최,204
조치,204
개척,203
깊이,202
합의,202
국회,201
그동안,201
개혁,200
장병,199
느끼다,198
회의,197
충심,197
포함,196
흘리다,196
도전,196
태평양,195
자랑,194
그러하다,194
가꾸다,193
무력,192
주도,191
방안,190
평가,190
자문,190
수호,189
국토,189
해외,189
성원,189
현재,188
촉진,188
힘쓰다,188
선거,188
밝히다,188
자주,188
모습,188
분단,187
만나다,187
항상,186
보호,185
만족,185
방위,185
위원,184
전두환,184
위치,183
요구,182
레이건,182
시점,182
당국,181
다음,181
우선,180
시장,180
자율,180
발휘,179
귀빈,179
의미,179
새해,179
민주정의당,179
