키워드,빈도수
세계,4349
국민,3502
경제,3366
위하다,3046
생각,2602
나라,2407
대한민국,2193
한국,2075
정부,2042
함께,1989
국가,1967
사회,1891
위기,1861
성장,1776
드리다,1699
발전,1637
감사,1613
대하다,1525
기업,1482
대통령,1391
오늘,1317
지금,1304
협력,1290
모두,1263
정상,1192
회의,1185
국제,1162
만들다,1121
사람,1105
노력,1096
사랑,1046
통하다,1027
이제,1013
자리,981
말씀,973
변화,940
더욱,940
문제,936
미래,925
바라다,925
시대,908
존경,899
녹색,896
축하,892
지나다,879
산업,855
기술,832
매우,822
문화,822
이번,806
역사,799
지역,790
가지다,790
가장,789
선진,763
극복,761
일자리,751
개발,747
다시,742
금융,724
양국,705
지원,692
시장,689
중요,678
많이,676
이루다,653
마음,643
평화,643
특히,637
관계,634
투자,629
기회,627
북한,622
적극,620
미국,619
성공,618
필요,604
정책,599
희망,592
글로벌,575
분야,570
환경,567
지키다,564
기대,543
올해,542
교육,536
서울,525
진심,517
이야기,516
정말,510
사실,508
바로,505
기여,482
확대,471
어려움,468
자유,465
역할,464
서민,462
기후,461
정신,452
도움,450
만나다,448
인류,448
에너지,446
만드다,444
시작,443
생활,441
물론,440
나누다,438
도전,436
무역,436
서로,436
가능,431
모으다,429
행복,427
동안,426
사업,423
안보,420
건강,418
또한,413
일류,411
기원,402
경험,400
선진국,395
귀빈,387
나아가다,387
이후,385
민주,384
과학,382
중국,381
젊은이,381
중심,372
대학,371
내외,371
방문,370
이상,369
일본,369
지속,369
열리다,365
추진,365
강화,364
안전,361
보내다,358
민주주의,356
준비,353
계기,351
개최,350
가족,348
대회,345
복지,345
시민,345
살리다,339
자랑,333
높이다,333
최근,332
정치,329
평가,327
보이다,326
향하다,326
번영,325
목표,325
제도,324
지난해,323
수준,321
시간,321
가치,320
참여,318
이미,318
전쟁,311
성과,307
계속,307
나오다,304
경쟁력,304
이러하다,302
의미,299
전국,299
공동,299
여러분,295
아직,295
신뢰,293
대응,293
최선,292
실천,290
먼저,287
자원,286
최고,285
한미,285
계획,285
도시,284
학생,284
조금,284
가정,284
해결,283
과제,283
참석,282
관심,282
따르다,281
회복,279
없이,279
합의,279
경찰,277
중소기업,276
마련,274
건설,274
상황,272
다양,271
활동,270
아시아,270
행사,269
운동,269
학교,268
안정,266
기업인,266
총리,266
내년,264
올림픽,264
수출,262
해외,261
재정,261
한반도,261
느끼다,260
가난,259
자신,259
과정,258
개혁,257
국회,257
처음,255
세기,252
전략,251
보다,251
환영,248
민족,248
조국,247
책임,246
헌신,245
이해,245
메시지,245
탄소,244
빠르다,243
도약,243
전하다,242
선수,241
확신,241
세우다,239
이끌다,239
개선,238
방송,236
대표,236
논의,235
아이,235
지도자,235
결과,234
열심히,234
각국,233
반드시,233
격려,232
연설,232
지구,230
통일,230
전통,227
경쟁,224
여성,224
원조,224
가운데,223
비전,223
대비,223
걱정,223
관련,223
금년,223
관계자,222
그동안,220
포럼,219
세대,219
우리나라,219
이웃,219
효과,218
봉사,217
바꾸다,216
계시다,215
예산,215
아주,214
규모,214
희생,212
모습,212
장병,211
대책,211
줄이다,211
현재,210
모르다,209
바탕,207
근로자,206
스스로,206
부탁,205
보호,202
청년,201
연구,200
교류,200
창출,200
직접,199
통합,198
대화,198
회장,198
역시,198
경기,197
정보,196
약속,195
아프리카,195
현장,193
질문,193
동포,191
축사,191
같이,191
체제,191
위협,190
정도,189
모이다,189
국내,186
질서,186
성숙,186
의지,185
인사,184
소득,183
인터넷,183
힘들다,182
아마,181
고통,181
열정,181
장애인,180
늘리다,180
공정,179
국정,178
기쁘다,177
과거,176
키우다,176
앞장서다,176
우선,175
동맹,175
남북,174
강하다,172
생명,172
회담,171
외국,171
공조,171
생산,171
노고,170
나가다,170
스포츠,167
다니다,167
진출,166
지구촌,166
여건,166
안녕,166
나서다,166
용기,165
경우,165
화합,164
다음,164
차원,164
인재,163
부모,163
농업,163
라디오,163
그러다,163
강국,163
동력,162
이루어지다,162
균형,161
바다,161
단계,160
의원,160
지혜,160
결코,160
구조,159
세상,158
졸업,158
기관,158
오늘날,157
주요,156
유럽,156
도민,156
규제,156
지방,156
방안,155
기반,154
기울이다,153
배우다,153
민간,153
개인,152
기적,152
가슴,152
선도,152
갖추다,152
깊이,152
제시,152
늘어나다,151
거듭,150
기간,150
참전,150
능력,150
달성,149
인도,149
주도,148
해양,147
참으로,147
의견,147
앞서다,146
바치다,146
외교,146
높이,144
관하다,144
위원회,144
현실,144
유지,144
서비스,143
오히려,143
용사,143
지식,143
기초,143
축제,140
작년,140
피해,140
인구,140
기억,139
갈등,139
구축,138
애쓰다,138
창의,138
부족,137
오르다,137
자전거,137
빨리,137
새해,136
들어가다,135
다르다,135
불과,135
원칙,135
위로,134
한편,134
기구,134
생기다,133
러시아,133
국군,133
장관,133
흘리다,133
유엔,132
요구,132
노사,132
독립,132
자연,132
시기,132
당시,131
운영,131
행동,131
확보,131
구체,130
원자력,129
자동차,129
동시,129
인식,129
어머니,129
아울러,129
단체,128
이기다,128
일어나다,128
부분,128
인간,127
고용,127
부산,127
실현,126
기본,126
아세안,125
성취,125
존중,125
긍정,125
박람회,124
도발,124
선생,124
확산,123
빌리다,123
힘쓰다,123
상호,123
석유,123
실질,122
총회,122
바뀌다,122
자세,122
협조,122
첨단,122
친구,121
결정,121
제공,121
수행,121
건국,121
효율,120
공부,120
특별,120
커지다,120
주민,120
반대,120
취업,119
모범,119
유치,119
대처,119
알리다,118
출범,117
체결,117
얼마,117
제안,117
동아시아,117
발휘,116
우주,116
회사,116
기록,116
너무,116
여수,116
창조,116
비롯하다,116
최대,116
선거,116
얼마나,116
핵심,115
발표,115
개발도상국,115
전체,115
의장국,114
요즘,114
부담,114
포함,114
융합,113
전망,113
인정,113
조치,113
관리,112
힘차다,111
시절,111
활성,111
공유,111
증가,111
아끼다,111
전문가,110
유일,110
부처,109
의료,109
주택,109
덕분,109
사고,109
영향,108
주제,108
거두다,108
확인,107
지지,107
당면,107
활용,107
벗어나다,107
이유,105
혁명,105
물가,105
선택,105
강조,105
곳곳,104
특별히,104
공직자,104
지향,104
목숨,103
시설,103
위상,103
따뜻하다,103
언론,103
마지막,102
혜택,102
대국,102
원천,102
통신,102
신용,101
마을,101
당부,101
격차,101
다지다,101
실용,101
제대로,100
훨씬,100
개척,100
어리다,100
초청,100
인하다,99
인프라,99
에티오피아,99
범죄,99
상생,99
집행,99
입장,98
배출,97
관광,97
보장,97
방향,97
헌법,97
공생,97
개방,96
코리아,96
항상,96
이행,96
뒷받침,95
합치다,95
이용,95
사이,95
향상,94
외국인,94
국내외,94
돌아가다,94
재난,94
사례,94
일부,93
올리다,93
들어오다,93
전문,93
이익,93
실패,93
동북아,92
마이스터고,92
역량,92
떠나다,92
가격,92
당당,92
체계,92
대구,92
베트남,92
위원,91
국토,91
빈곤,91
체육,91
생태,90
협상,89
부문,89
소망,89
더불다,89
배려,89
모델,89
넘치다,89
기도,89
추구,89
육성,88
살아가다,88
장사,88
불편,88
의제,88
우수,88
경영,88
증진,88
얘기,87
아프다,87
결국,87
신문,87
발생,87
높아지다,87
거치다,87
오바마,87
동반자,87
수많다,87
내리다,87
공무원,86
외환,86
진행,86
전력,86
인권,86
무대,86
포기,86
끝나다,86
식량,86
밝히다,85
형편,85
굉장히,85
신흥,85
박수,85
잠재력,85
각하,84
시스템,84
그때,84
현안,84
수립,84
싸우다,84
출발,84
차례,83
프랑스,83
동계,83
어린이,83
누리다,83
예상,83
하루,82
근본,82
비즈니스,82
불교,82
펼치다,82
평생,82
중동,82
의사,82
인도네시아,82
임무,82
의장,82
본격,82
리더십,81
의식,81
매년,81
회원국,81
기념,81
흐름,81
기능,81
각종,81
불안,81
연결,81
청소년,80
인천,80
농촌,80
위험,80
혁신,80
유공자,80
종교,80
구하다,80
주장,80
조정,80
의무,80
명예,80
토대,80
군인,79
자산,79
선언,79
추석,79
바람,79
즐기다,79
프로그램,79
취임,79
정권,78
내일,78
이어지다,78
고등학교,78
집중,78
상품,78
원전,78
종합,78
예정,78
군사,78
사회자,77
멀리,77
멕시코,77
순방,77
공급,77
제품,77
인력,77
교역,76
비상,76
주의,76
놀라다,76
거듭나다,76
수입,76
평균,75
자치,75
경제인,75
최초,75
경찰관,75
전환,75
이전,75
천안함,74
조화,74
눈물,74
장기,74
긍지,74
전기,74
식품,74
당원,74
넓히다,73
모색,73
이념,73
차이,73
검토,73
영토,73
폭력,73
행정,73
신흥국,72
훈련,72
고민,72
상승,72
통과,72
자부심,72
분단,72
자문,72
독일,72
절약,71
변하다,71
우려,71
떨어지다,71
민생,71
달리다,71
영광,71
미치다,71
수고,71
돌아오다,71
결실,71
자본,71
수호,70
자신감,70
걸리다,70
일원,70
문명,70
작전,70
장교,70
위원장,70
의하다,70
개막,70
계층,70
투명,70
이름,70
재산,70
한국인,70
공군,70
사태,69
창설,69
일구다,69
내외분,69
측면,69
런던,69
소통,69
직면,69
복원,68
당장,68
자체,68
윤리,68
진정,68
소식,68
보람,68
확충,68
도상국,68
조직,68
다행히,68
여전히,68
시행,67
창립,67
소외,67
대전,67
공공,67
기금,67
목소리,67
방법,67
올라가다,67
대단히,67
조성,66
청와대,66
한일,66
그대로,66
무한,66
오래,66
브랜드,66
순간,66
가르침,66
대출,66
해소,66
국방,66
센터,66
교수,66
보고,65
하늘,65
조사,65
다가오다,65
워싱턴,65
분열,65
공동체,65
비록,65
앞당기다,65
광주,65
자주,65
동지,65
기다리다,65
예술,65
가득,65
협정,64
우정,64
감동,64
자녀,64
저력,64
통상,64
군대,64
일어서다,64
공사,64
조건,64
주역,64
참가,63
다짐,63
풍요,63
온실가스,63
창간,63
호주,63
유가족,63
임직원,63
상공인,63
어제,63
지출,63
대신,63
공장,63
편안,62
세계인,62
차지,62
충분히,62
기념식,62
성원,62
아버지,62
개편,62
꿈꾸다,62
뿌리,61
시키다,61
양성,61
맞추다,61
사항,61
흐르다,61
낮추다,61
업무,61
진입,61
상인,61
거리,60
수요,60
단합,60
은행,60
방식,60
미얀마,60
테러,60
자식,60
책임지다,60
한층,60
긴장,60
날씨,60
정착,60
주최,60
만찬,60
낙동강,60
비교,59
내년도,59
할머니,59
이명박,59
장애,59
가스,59
부르다,59
국빈,59
엑스포,59
경의,59
예방,59
실업,59
마치다,59
동참,59
광복,59
기쁨,59
설립,59
회원,59
예측,58
각자,58
철도,58
근무,58
취하다,58
부정,58
아래,58
임기,58
불법,58
기존,58
건전,58
재해,58
동반,58
촉진,57
치열,57
도입,57
사정,57
재생,57
받아들이다,57
빠지다,57
공식,57
요청,57
안심,57
등급,57
오시다,57
세계사,57
채택,57
걸치다,57
국운,56
태어나다,56
흔들리다,56
영령,56
진전,56
이렇게,56
전대미문,56
꾸준히,56
과학자,56
위치,56
기리다,56
우뚝,56
요인,56
패러다임,55
벌써,55
사상,55
우호,55
나타나다,55
총장,55
역동,55
선열,55
잘못,55
단지,55
보완,55
걸맞다,55
앞날,55
소방,55
국격,55
무궁,55
토론,54
향후,54
생물,54
달라지다,54
정성,54
고향,54
감축,54
대폭,54
평소,53
명절,53
평창,53
시점,53
기름,53
남미,53
비하다,53
의존,53
역내,53
공감,53
경주,53
주변,53
대상,53
수도,53
교통,53
원동력,53
비용,53
각오,52
처하다,52
기업가,52
수교,52
거의,52
속도,52
노인,52
뛰어넘다,52
현대,52
내용,52
대립,52
오랫동안,52
경제국,52
도로,52
주목,52
당하다,52
체감,51
상징,51
자율,51
발효,51
