키워드,빈도수
국민,6796
경제,4931
위하다,4789
정부,4748
함께,4504
세계,3336
협력,3319
평화,3123
한국,2953
국가,2889
바라다,2566
사회,2529
산업,2414
드리다,2286
기업,2155
감사,2149
대하다,2111
지원,2040
오늘,1977
대한민국,1953
더욱,1885
발전,1862
성장,1813
노력,1804
나라,1801
혁신,1780
코로나,1750
지역,1662
양국,1626
만들다,1592
한반도,1569
통하다,1512
정상,1453
정책,1446
일자리,1425
미래,1424
지금,1353
확대,1314
모두,1302
기술,1267
생각,1258
강화,1223
안전,1222
회의,1197
위기,1192
지키다,1184
방역,1163
국제,1156
분야,1151
투자,1104
다시,1100
적극,1097
대통령,1084
역사,1069
이루다,1066
시대,1058
마음,1052
사람,1050
가장,1031
추진,1030
상황,1007
시작,1000
대응,989
개발,965
존경,940
올해,940
필요,940
관계,938
기대,924
남북,909
지나다,909
문제,905
중요,893
매우,874
가능,873
특히,867
청년,825
환경,821
회복,819
변화,814
이제,811
아세안,809
번영,808
극복,798
마련,792
공동,790
말씀,787
성공,784
포용,776
가지다,775
역할,771
문화,770
고용,770
민주주의,748
희망,743
높이다,742
백신,734
공정,734
중심,727
국회,717
지속,715
모으다,712
성과,711
보이다,702
수출,698
동포,689
시장,689
방문,687
사업,679
목표,676
기회,669
정신,665
이번,663
대책,655
빠르다,655
북한,655
탄소,642
서로,640
나아가다,638
전쟁,636
대화,634
전환,625
어려움,625
참여,607
상생,607
올림픽,603
준비,598
자리,596
지방,592
제도,589
회담,588
역량,587
시간,581
에너지,579
미국,574
이상,572
전략,572
규모,571
시민,568
의료,567
해결,566
축하,565
혁명,564
뉴딜,564
최선,559
개선,559
최고,557
향하다,551
독립,550
자유,542
도전,541
건강,538
소득,534
특별,533
안정,532
확산,530
기관,527
다양,525
현장,522
민주,518
가치,518
예산,517
금융,515
없이,515
수준,512
가족,511
만드다,509
체계,508
경찰,506
이끌다,505
기반,504
선도,498
과제,498
지난해,497
안보,494
구축,494
아주,494
당부,493
규제,492
디지털,491
무역,491
방안,490
기후,485
수소,472
이어지다,472
대표,471
생산,470
조치,468
글로벌,468
이후,468
합의,467
과정,467
도약,465
최초,461
자치,461
공공,460
접종,457
일상,457
관리,456
의지,454
교류,451
운동,450
계획,449
나누다,448
반드시,446
핵심,445
피해,442
교육,441
위원회,440
생활,438
만나다,436
보호,429
평창,428
책임,425
재정,425
헌신,422
부처,416
늘리다,416
인류,415
계속,414
한미,413
자랑,413
벤처,409
중립,409
많이,407
신뢰,404
단체,403
민간,403
선언,400
기여,400
보내다,397
중소기업,397
일본,396
구조,396
개혁,394
보장,393
계기,393
공동체,392
따르다,392
과학,391
경험,391
해외,389
유엔,389
총리,388
열리다,387
이미,385
동안,383
추가,381
정치,381
인사,380
관련,379
속도,378
동계,375
약속,374
노동,373
평가,373
개최,370
기울이다,369
전국,368
전하다,366
중국,365
실천,365
