키워드,빈도수
경제,2638
위하다,2095
국민,1876
세계,1630
정부,1338
발전,1323
한국,1260
산업,1208
협력,1196
함께,1045
혁신,1041
노력,1034
사회,1026
기업,956
국가,907
통하다,906
대한민국,893
창조,886
지원,868
문화,867
드리다,846
성장,846
기술,836
양국,798
만들다,796
평화,766
생각,755
바라다,748
지역,746
미래,732
북한,676
지금,664
감사,661
나라,657
축하,596
오늘,592
시대,585
동포,583
행복,582
통일,575
이루다,559
교육,559
더욱,559
국제,549
확대,545
모두,516
개발,507
분야,505
적극,502
시장,501
한반도,493
변화,479
투자,476
대하다,465
추진,462
존경,434
중요,431
기대,426
여성,412
역사,399
센터,397
글로벌,392
다시,391
지나다,389
사업,389
동안,376
이제,376
개혁,376
도약,371
자리,366
환경,366
희망,360
일자리,359
안전,357
모으다,355
진심,353
도전,350
과학,350
구축,345
기여,342
역할,341
지속,339
에너지,336
강화,334
기반,333
창출,328
성공,320
창의,318
지키다,317
필요,316
이번,312
창업,309
가지다,307
가치,304
기원,304
수출,297
문제,297
가능,289
안보,288
다양,285
신뢰,282
중심,280
기회,278
역량,276
서비스,275
대회,275
관계,273
대응,264
만드다,263
전국,262
특히,262
나아가다,259
헌신,257
금융,256
위기,252
정책,249
인류,247
계획,247
귀빈,246
아이디어,244
내외,244
정보,242
공동,242
매우,239
중국,238
규제,237
마음,236
자유,235
포럼,233
성과,230
융합,230
가장,229
시작,228
정신,228
정상,227
벤처,225
과제,222
최근,222
영상,222
올해,220
이끌다,219
상황,216
도발,216
개최,214
진출,211
번영,210
메시지,209
의료,208
동북아,207
무역,205
개선,205
주민,204
위협,204
말씀,202
최선,202
바탕,201
높이다,201
현재,199
규모,195
극복,194
마련,193
현장,192
동력,191
활성,190
회의,190
과정,190
민족,190
청년,189
핵심,189
각국,188
활용,188
보다,187
경찰,186
열리다,185
교류,185
어려움,185
육성,185
토대,184
참여,184
경험,183
해외,182
국회,182
제공,181
건설,181
전략,179
구조,179
운동,178
이러하다,177
서로,177
조성,177
전쟁,176
계기,174
남북,174
이상,173
기관,172
인재,171
반드시,171
생활,171
경쟁력,171
해결,170
여러분,170
제도,170
미국,168
시스템,167
대통령,166
안정,164
선도,163
분단,163
인프라,162
출범,162
방송,162
제조업,159
첨단,159
부탁,158
공유,158
바로,157
참전,155
공공,155
조국,155
중소기업,154
확산,154
기후,153
유라시아,153
의미,152
준비,150
연구,149
유엔,149
농업,148
연결,147
지도자,147
사람,147
콘텐츠,147
가족,145
활동,145
한미,144
의지,144
이후,144
생산,144
서울,143
관심,142
방문,142
생태,140
통합,139
계속,138
과거,137
지구촌,136
시간,136
단지,136
교역,136
건강,135
세대,135
통신,135
맞춤,134
물론,134
나누다,134
능력,133
희생,133
갖추다,132
우리나라,132
기적,132
아시아,131
지방,131
목표,131
정치,131
기울이다,130
보이다,130
독일,130
자랑,130
우수,129
대표,129
용사,129
마을,129
자원,128
비즈니스,127
민간,127
기념식,126
체계,126
향하다,126
또한,125
따르다,124
작년,123
이어지다,123
많이,123
총회,122
평가,122
최고,121
수준,121
결과,120
보건,119
기초,119
발휘,118
보내다,118
국군,117
관련,117
뒷받침,117
복지,116
노동,116
스마트,116
비롯하다,116
고용,116
열정,116
개척,116
관광,114
행사,114
부가,114
관리,114
지혜,112
방향,111
창조경제,111
네트워크,111
축사,110
계시다,110
장병,109
실현,109
전통,108
참석,108
바꾸다,108
인권,108
국정,108
융성,107
제품,107
펼치다,107
학교,107
생명,107
도움,106
발굴,106
없이,106
중소,106
잠재력,106
모델,105
비전,105
가정,105
사이버,105
보호,104
키우다,104
전환,104
사례,104
대학,103
단계,102
경쟁,102
제시,101
깊이,101
체결,101
그동안,101
기록,101
증가,100
자동차,100
회복,99
아프리카,99
운영,98
공간,98
활력,97
살리다,97
만나다,97
유지,96
나서다,96
방안,96
최대,95
애국심,95
복합,95
한류,95
구현,94
인터넷,94
해양,93
도시,93
환영,92
확충,92
식품,91
곳곳,91
고통,90
동맹,90
연계,90
부산,90
이미,88
남북한,88
금년,88
실천,87
유공자,87
광복,87
대화,87
여건,87
국내,86
경제인,86
논의,86
거두다,86
내년,86
앞장서다,86
상생,86
경기,86
체제,86
실질,86
민주주의,86
혁명,85
동반자,85
먼저,85
대비,85
지식,85
시민,85
정착,84
재외,84
구상,84
박람회,84
발생,84
효과,84
패러다임,83
소득,83
기업인,83
벗어나다,83
이루어지다,82
전문가,82
결실,82
누리다,82
의원,82
도입,82
제안,81
확신,81
갈등,81
전문,81
시설,80
양성,80
디지털,80
내수,79
예산,79
해소,79
학생,79
베트남,79
인력,79
관계자,78
당시,78
진행,78
수많다,77
직면,77
치안,77
미사일,76
노고,76
한강,76
회장,75
바다,75
같이,75
개방,75
주도,75
현실,75
집중,75
소통,74
나오다,74
부문,74
결합,74
기존,74
지난해,74
상품,74
느끼다,74
인도,74
바이오,74
경찰관,73
프로그램,73
공장,73
관행,73
재정,73
일으키다,73
범죄,73
포기,72
촉진,72
공무원,72
상호,72
취업,71
우선,71
모이다,71
선택,71
사랑,70
빠르다,70
전력,70
젊은이,70
예정,70
최초,70
외교,70
기간,69
아직,69
공급,69
위원회,69
체육,68
일본,68
차원,68
올바르다,68
선진국,68
수호,68
새해,68
강국,68
오늘날,68
근본,68
농촌,68
한인,68
처음,68
용기,68
세기,67
균형,67
공정,67
발표,67
멕시코,67
역동,66
설치,66
흘리다,66
달성,66
확보,66
수요,66
대륙,66
마음껏,66
시행,66
재난,65
효율,65
러시아,65
늘어나다,65
힘차다,65
늘리다,65
개도국,65
캐나다,64
선진,64
태세,64
세계인,64
책임,64
합의,64
대상,64
새마을,64
수교,63
전자,63
실험,63
당부,63
동참,63
아울러,62
통과,62
창의력,62
자산,62
몽골,62
가운데,62
정도,62
유럽,62
다지다,62
약속,62
주택,62
향상,62
결코,62
시기,61
독립,61
위험,61
자금,61
세우다,61
이기다,60
테러,60
사고,60
파트너,60
최대한,60
알리다,60
기능,60
청소년,59
선생,59
중남미,59
경우,59
인사,59
질서,59
도로,58
스스로,58
얼마,58
소방,58
전체,58
인식,58
부담,58
광주,58
도민,58
소재,58
불과,58
물류,58
민주,58
미디어,58
한중,57
저력,57
안녕,57
보유,57
근로자,57
접목,57
소중하다,57
구체,57
이산가족,57
철도,57
국내외,56
의식,56
인구,56
자본,56
방위,56
원칙,56
확인,56
전반,56
기조,56
협정,56
모습,56
순간,55
역내,55
중견,55
대구,55
화합,55
넓히다,55
주요,54
수립,54
마지막,54
전기,54
중앙,54
후손,54
장애인,54
프로젝트,54
기쁘다,53
간담회,53
여정,53
무한,53
나가다,53
방식,53
한글,53
맞추다,53
단체,53
교통,53
특성,52
각종,52
동영상,52
서민,52
동시,52
사물,52
항상,52
수상,52
유네스코,52
행정,51
개막식,51
증진,51
프랑스,51
부흥,51
걸음,51
장벽,51
차세대,51
아픔,51
본격,51
마무리,50
중동,50
조금,50
바치다,50
인간,50
거점,50
침체,50
강력,49
설립,49
경북,49
순방,49
일어나다,49
선순환,49
이행,49
포함,48
인도네시아,48
주제,48
유치,48
주역,48
호국,48
공동체,48
역대,48
기념,48
우정,47
반도체,47
차지,47
역시,47
사이,47
자치,47
개회식,47
단합,47
수행,47
성원,47
꾸준히,47
감동,46
온라인,46
다르다,46
커지다,46
각자,46
법안,46
직접,46
자신,46
지향,46
개인,46
이전,45
한국인,45
하루,45
유망,45
달하다,45
자부심,45
향후,45
기업가,45
영국,45
폭력,45
공조,45
기구,45
긴장,44
이니셔티브,44
재생,44
조치,44
넘치다,44
출발,44
불안,44
대폭,44
교정,44
부분,44
부족,44
국방,44
지지,44
민생,44
잘못,44
화학,44
외국인,43
합동,43
상징,43
제작,43
밝히다,43
유통,43
창립,43
페루,43
선정,43
고속,43
가하다,42
축제,42
열심히,42
흔들리다,42
정체,42
달리다,42
한계,42
피해,42
합치다,42
강하다,42
반세기,42
세상,42
경영,42
기본,42
각지,42
훈련,42
총리,41
신속,41
가슴,41
울산,41
시도,41
선제,41
인천,41
요구,41
인하다,41
기준,41
대처,41
보장,41
든든하다,41
석유,41
헌법,41
시너지,41
특별,41
봉사,41
출발점,41
협업,41
꿈꾸다,41
강점,41
제재,40
친구,40
드라마,40
연설,40
살아가다,40
정권,40
초석,40
힘쓰다,40
추구,40
올림픽,40
스포츠,40
거듭나다,40
주어지다,40
출범식,40
군사,40
걱정,40
분쟁,40
영토,40
대북,40
사실,39
장비,39
무장,39
타운,39
부처,39
장기,39
핵무기,39
이란,39
뿌리,39
카자흐스탄,39
체질,39
자문,39
빈곤,39
목숨,39
협조,39
우즈베키스탄,38
파견,38
발사,38
지구,38
지능,38
탄생,38
배우다,38
장교,38
가져오다,38
끊임없이,38
신설,38
녹색,38
갈수록,38
양립,38
개개인,38
사우디,38
예술,38
자율,38
가로막다,38
완수,38
신년,38
완화,38
상상력,37
장관,37
조정,37
유가족,37
원천,37
실패,37
흐름,37
상처,37
스타트업,37
이해,37
인정,37
단절,37
주목,37
모범,37
콜롬비아,36
벨트,36
반영,36
영사,36
조직,36
모국,36
지자체,36
치열,36
속도,36
대전,36
창설,36
과감하다,36
형성,36
모색,36
연합,36
제주,36
연금,36
임무,36
혜택,36
박차,36
창간,36
입주,36
프로세스,36
자긍심,35
업체,35
조사,35
이웃,35
내일,35
풍요,35
담당,35
연구소,35
직업,35
충남,35
노하우,35
개막,35
다음,35
아이,35
확장,35
이탈리아,35
빅데이터,35
회원,34
감염병,34
불굴,34
예상,34
일원,34
희망차다,34
계층,34
기술력,34
제대로,34
격려,34
분열,34
원동력,34
리더,33
근무,33
불어넣다,33
공영,33
매년,33
신규,33
차질,33
고도,33
회담,33
펀드,33
충북,33
의장,33
섬유,33
가교,32
채택,32
처리,32
보육,32
처하다,32
자연,32
조선,32
예방,32
가난,32
줄이다,32
축복,32
칠레,32
총력,32
주거,32
투명,32
기억,32
제고,32
기금,32
정규직,32
한편,31
성취,31
영향,31
내부,31
돌아가다,31
애쓰다,31
남기다,31
사명감,31
놓이다,31
국토,31
이용,31
뜻깊다,31
시범,31
자녀,31
선열,31
확립,31
힘들다,31
결정,31
고령,31
심포지엄,31
안위,31
동반,31
졸업,31
전남,31
에티오피아,31
원스톱,31
종합,31
출산,31
제조,30
현지,30
기기,30
주력,30
플랫폼,30
기다리다,30
추가,30
획기적,30
책임지다,30
간호사,30
위원,30
내리다,30
사상,30
대립,30
자세,30
위상,30
전진,30
전하다,30
생존,30
믿음,30
학습,30
거듭,30
전망,30
투입,30
적폐,30
실업,30
선거,30
증대,30
걸치다,29
얼마나,29
편성,29
민관,29
부품,29
평창,29
기지,29
영화,29
양질,29
정말,29
나타나다,29
타협,29
원조,29
개정,29
멈추다,29
항공,29
신화,29
존중,29
기르다,29
바르다,29
특화,29
염원,29
회사,29
디자인,29
신문,29
정성,29
업무,29
포항,29
내년도,29
선박,29
격차,28
한마음,28
코리아,28
포괄,28
원자력,28
주체,28
보태다,28
소프트웨어,28
퍼지다,28
둘러싸다,28
캠퍼스,28
혼란,28
고립,28
드레스덴,28
친화,28
선수,28
밸리,28
명예,28
순환,28
판매,28
이뤄지다,28
육아,28
그러다,28
유산,28
선배,28
완성,28
어린이,28
통로,28
카타르,28
이야기,28
상봉,28
초기,28
멘토링,28
표준,28
중심지,28
앞당기다,28
조화,27
중앙아시아,27
각별,27
축적,27
여전히,27
천안함,27
즐기다,27
보험,27
국경,27
측면,27
행동,27
우호,27
채용,27
설계,27
상하이,27
다하다,27
보람,27
외국,27
경남,27
발급,27
전북,27
긍지,27
부모,27
폐허,27
클러스터,27
인기,27
음악,27
실크로드,27
관광객,27
임대,26
체험,26
파트너십,26
뉴스테이,26
원전,26
떠나다,26
판로,26
수학,26
사무총장,26
플랜트,26
가득,26
준공,26
결집,26
연속,26
임금,26
고려,26
예산안,26
양보,26
기공식,26
동질,26
게임,26
올리다,26
위치,26
영예,26
탄소,26
절감,26
약자,26
방지,26
중대,26
하나하나,26
엔진,26
오래,26
공감대,26
세월,26
요인,26
물결,26
우려,26
지대,26
발효,26
이유,26
아끼다,26
발명,26
부채,26
병원,26
케이블,26
불법,25
진정,25
거리,25
노사정,25
결국,25
과감히,25
부상,25
영광,25
아세안,25
디딤돌,25
교황,25
주기,25
단순,25
앞날,25
구글,25
심화,25
범위,25
유일,25
공격,25
보편,25
일부,25
응원,25
소비,25
안팎,25
미치다,25
한민족,25
협회,25
재산,25
거치다,25
품목,25
