키워드,빈도수
국민,3375
정부,2982
경제,2826
생각,2674
위하다,2525
문제,2282
대하다,2226
드리다,2193
사회,1934
발전,1880
한국,1803
사람,1784
대통령,1747
협력,1740
지금,1728
세계,1721
나라,1546
가지다,1544
국가,1501
평화,1447
정책,1328
말씀,1302
정치,1285
함께,1279
감사,1277
만들다,1152
역사,1121
기업,1112
노력,1111
시장,1094
참여,1069
시대,1040
통하다,1021
관계,1019
지역,990
기술,978
혁신,972
이제,967
축하,948
민주주의,943
성공,937
모두,917
문화,896
투자,887
오늘,877
성장,847
해결,828
중요,822
다시,808
개혁,772
미래,769
더욱,755
존경,740
산업,737
추진,726
필요,722
동북아,708
바라다,706
수준,692
지방,683
언론,680
매우,676
얘기,669
자리,653
많이,648
지원,646
양국,639
각하,639
제도,633
지나다,614
가장,605
번영,605
분야,595
전략,595
이루다,587
대화,587
동안,579
이번,571
적극,562
교육,561
국회,555
자유,544
경쟁력,540
특히,537
미국,529
정상,524
국제,524
기대,516
가능,503
개발,503
한반도,500
확대,497
대한민국,495
중심,492
권력,491
통합,490
다음,480
신뢰,479
시민,477
안정,477
회담,476
남북,469
나오다,468
과학,463
기회,456
변화,454
지키다,454
귀빈,453
균형,449
바로,445
이미,445
진심,443
책임,439
반드시,439
경쟁,434
아직,433
북한,431
지속,431
도시,430
나아가다,428
선거,427
사실,426
합의,424
환경,424
정보,419
일본,416
역할,415
기원,414
서로,411
위기,410
사업,409
원칙,406
관하다,404
최선,404
과제,402
이상,394
강화,394
과정,393
투명,392
계속,389
공동,384
역량,384
물론,384
올해,380
내외,379
높이다,379
결과,377
북핵,370
공정,368
건강,368
희망,367
상황,367
보이다,360
극복,357
마음,353
구조,349
평가,348
안보,346
전쟁,341
질서,339
없이,338
따르다,338
가치,338
지도자,333
중국,332
관리,332
관심,329
이후,328
또한,327
스스로,326
건설,326
성과,323
계획,322
아주,322
개방,320
만드다,319
대학,319
타협,315
중소기업,314
모으다,314
교류,313
기여,312
인사,311
국정,310
회의,309
준비,307
만나다,305
시간,305
갈등,304
보내다,304
이루어지다,303
메시지,303
정말,302
열리다,301
복지,300
조금,299
연구,298
서비스,298
민주,298
정도,297
방문,297
수도,297
개선,285
계기,285
구축,285
금융,284
자원,282
자랑,276
시작,276
행사,275
과거,272
갖추다,271
총리,270
마련,268
방향,268
행정,267
공무원,264
다르다,264
의원,262
아울러,262
핵심,261
해소,261
이해,260
선진,260
정당,260
생활,257
목표,254
체제,254
일자리,253
무역,253
단계,252
질문,252
주도,249
기관,249
먼저,247
한미,246
개헌,246
수출,246
걱정,245
그동안,242
대책,242
효율,242
토대,242
경우,242
결정,238
열심히,238
결코,237
진보,236
우선,236
보다,236
전체,235
확신,235
요구,234
의미,234
바꾸다,233
여러분,233
이끌다,233
기반,233
시스템,232
모르다,229
주장,227
동북아시아,227
논의,227
현실,226
양극,226
행복,226
지난해,225
해외,225
예산,224
이러하다,224
이익,223
다양,221
부처,220
선진국,219
최고,218
빠르다,218
거듭,218
너무,216
규제,216
의지,215
이전,215
정권,214
불안,214
서울,212
결국,211
대회,211
반대,211
부동산,209
도전,208
지지,207
활동,207
조직,204
운동,204
어려움,204
이유,203
지배,203
기울이다,201
육성,201
운영,201
민족,201
규모,200
세우다,200
인권,200
느끼다,200
소득,199
위원회,198
환영,198
유지,197
방법,195
경기,195
확인,195
기쁘다,195
실천,195
독재,194
연설,193
실현,193
부분,191
한번,191
그러다,191
동포,189
노사,189
관련,189
도약,188
경험,187
내용,187
체계,186
최근,186
생기다,186
비전,185
전국,185
부산,184
임기,183
약속,183
항상,182
정착,182
인력,182
집중,181
동력,181
시기,180
장병,180
밝히다,178
우리나라,178
나가다,178
참으로,176
통일,176
경찰,176
의견,176
제대로,174
동맹,174
부담,174
정신,173
속도,173
존중,173
진행,173
처음,173
방안,172
제안,172
유럽,172
도움,171
인식,171
향하다,171
후보,170
늘어나다,170
인재,169
물류,169
같이,168
구체,168
대표,168
나누다,167
선택,167
우수,167
안전,167
분열,166
재정,165
달라지다,164
협상,164
판단,163
장기,163
조정,163
일부,162
첨단,162
장관,162
세기,162
안녕,161
서민,161
학교,160
국방,159
대응,159
자본,159
상호,158
교역,158
에너지,158
아시아,158
의하다,157
모습,157
효과,157
공동체,156
헌법,156
보장,155
능력,155
사이,154
키우다,154
화해,153
가운데,153
사랑,153
합리,152
비용,152
토론,152
하나하나,152
거두다,151
얼마,151
친구,150
광주,150
대결,150
바탕,150
자신,150
생산,149
잘못,148
역시,148
부탁,147
세력,147
자체,147
당시,147
지식,146
기본,146
관계자,146
외교,146
늘리다,145
한층,145
실제로,144
정규직,144
고용,144
특별,144
실질,144
전하다,143
헌신,142
계시다,142
신문,141
결단,140
격려,139
희생,139
열린우리당,139
내외분,138
현재,138
앞장서다,138
활성,138
자율,137
협정,137
조성,137
민생,137
깊이,137
사례,137
자주,137
노고,136
정리,136
부패,135
학생,135
그냥,134
진전,134
관광,134
아마,134
여건,133
독립,133
당장,133
공공,132
당부,132
회복,132
고통,132
국군,131
도민,130
내놓다,130
바뀌다,130
직접,129
조건,129
또는,128
사상,128
더불다,128
러시아,128
보도,128
기업인,127
우려,127
우정,127
확충,126
기록,125
대비,125
제시,124
선언,124
출범,123
여론,123
제공,123
모범,123
뒷받침,123
활력,123
줄이다,123
바다,123
행동,123
요인,122
비판,122
농업,122
보호,122
용사,121
동아시아,121
소비,121
외국인,121
도입,121
대단히,121
민간,121
내리다,120
각별,120
체결,120
살리다,120
경의,119
그야말로,119
확보,119
대립,119
유착,118
포럼,118
적어도,118
중앙,118
대안,118
증진,118
세상,118
걸리다,117
부문,117
경제인,117
강조,117
이라크,117
통신,116
미군,116
시절,116
향상,116
창간,116
상생,116
양성,116
격차,116
차원,115
자세,115
자신감,115
끊임없이,115
구도,115
분권,114
투쟁,114
전통,114
우호,114
이웃,114
정치인,114
인프라,113
설명,113
방식,113
공약,113
지혜,112
각국,112
경영,112
인류,112
자치,112
훨씬,112
분명,112
싸우다,112
자꾸,111
대선,111
입장,110
누리다,110
제기,110
앞서다,110
사고,110
한나라당,109
전망,109
참석자,109
방송,109
인하다,109
미루다,108
받아들이다,108
군사,108
얼마나,108
추구,108
성숙,108
조사,107
창조,107
법안,107
농촌,107
힘차다,107
멀리,107
근로자,106
인터넷,106
독일,106
포기,106
종합,105
인정,105
증가,105
균형발전,104
엄청나다,104
상당히,104
회장,104
참전,104
비롯하다,104
내년,104
논리,104
흐름,103
들어가다,103
차례,103
일어나다,103
상대,102
가슴,102
불신,102
아이,102
이기다,102
취임,102
주한,102
역동,101
위험,101
용기,101
뜻깊다,101
외환,100
국내,100
전부,100
배우다,100
협의,100
나쁘다,100
일반,100
지향,100
행위,100
거치다,100
아무리,99
이름,99
믿음,99
세금,99
그때,99
단체,99
넘어서다,99
성원,98
개인,98
나서다,98
개최,98
근거,98
작년,97
어떻든,97
기억,97
기준,97
만찬,97
정확,96
결론,96
한편,96
수행,96
자금,96
소위,96
오히려,95
출발,95
사건,95
정의,94
통과,94
의료,94
고치다,94
박수,94
기간,94
청산,94
들어서다,94
창출,94
발생,93
대처,93
야당,93
창의,93
무궁,93
요소,92
당당,92
절차,92
기자,92
가족,92
옛날,91
부족,91
동반자,91
기초,91
지도력,91
허브,91
본격,91
축사,90
잠재력,90
건배,90
보편,90
외국,90
충분히,90
보고,90
저력,89
공직,89
획기적,89
참석,89
강국,89
영향,89
치하,89
해양,89
활용,89
위원장,89
노동,89
진실,88
위상,88
혁명,88
공존,88
졸업,88
발표,87
최대한,87
나타나다,87
치르다,87
단지,87
열정,87
권리,87
보람,87
차이,86
원리,86
마찬가지,86
유치,86
통제,86
포함,85
확산,85
지역주의,85
근본,85
과거사,85
올림픽,85
여성,84
위원,84
일관,84
과연,84
특권,84
시설,84
신용,84
승리,84
자연,84
이야기,83
전달,83
전환,83
수용,83
총회,83
포괄,83
내다보다,83
개성공단,83
올리다,82
이행,82
변하다,82
떨어지다,82
힘들다,82
검토,82
권한,82
그대로,82
돌아가다,82
부정,81
처리,81
추가,81
공개,81
일류,81
들어오다,81
화합,81
방위,80
아끼다,80
거의,80
끝나다,80
착실히,80
수고,80
견제,79
진출,79
당원,79
지출,79
인간,79
프랑스,79
채택,79
분위기,78
청와대,78
애쓰다,78
현상,78
개편,78
불행,78
차질,78
봉사,78
연결,77
베트남,77
자동차,77
제의,77
조선,77
높아지다,77
맞추다,77
위로,77
업무,76
항쟁,76
분단,76
선생,76
고려,76
흘리다,76
냉전,76
강하다,76
형성,75
유엔,75
하루,75
총선,75
내일,75
협조,75
벗어나다,75
공급,75
차별,75
굉장히,75
공부,75
무너지다,74
별로,74
개정,74
계층,74
생명,74
마무리,74
미치다,74
흔들리다,74
설득,74
피해,74
상태,74
노무현,74
영국,73
맞서다,73
역내,73
고민,73
반영,73
선도,73
올라가다,73
현장,72
완전히,72
대개,72
다지다,72
긴장,72
도덕,72
실패,72
용납,72
소리,71
대상,71
기사,71
명실상부,71
관행,71
일행,71
넘어가다,70
고령,70
한계,70
풀리다,70
해군,70
이어지다,70
수립,70
선열,70
올바르다,70
불과,70
위협,70
직업,69
조치,69
군대,69
예측,69
덕분,69
분석,69
집단,69
입시,69
수많다,69
목숨,69
달성,69
의식,69
모델,69
제주,69
모이다,69
공간,68
맡기다,68
영원,68
불편,68
의무,68
연대,68
여야,68
따지다,68
촉진,68
인구,68
빌리다,68
그리다,68
발목,68
조국,68
오래,68
분배,68
축제,68
새해,67
책임지다,67
파병,67
존재,67
자주국방,67
기능,67
전자,67
자부심,67
저항,66
장애,66
비하다,66
친애,66
국토,66
마치다,66
돌이키다,66
뉴질랜드,66
내부,66
개념,66
반복,65
기지,65
시행,65
장래,65
뿌리,65
주택,65
생태,65
상징,65
기념,65
절반,65
제출,65
마지막,65
비교,64
당하다,64
다만,64
위치,64
오늘날,64
철도,64
가격,64
전력,64
바치다,63
영역,63
의장,63
노인,63
혼란,63
점차,63
꾸준히,63
주체,63
신임,63
넓히다,63
노동자,63
절제,63
주제,62
좌우,62
전기,62
내수,62
주목,62
금년,62
반세기,62
주민,62
여전히,62
보완,62
공조,62
자문,62
선정,62
원인,61
프로그램,61
오르다,61
구상,61
떠나다,61
차기,61
힘쓰다,61
시점,61
감당,61
가정,61
비즈니스,61
느낌,61
이론,61
주의,61
감정,61
작전,61
달리다,60
연정,60
유가족,60
센터,60
최대,60
커지다,60
명분,60
따로,60
전문,60
거래,60
장애인,60
빠지다,60
훈련,60
동의,60
전제,59
앞서,59
무대,59
수사,59
체육,59
관점,59
호주,59
모시다,59
완화,59
공사,59
장교,59
개막,58
어제,58
품질,58
수교,58
인도,58
양보,58
초청,58
운용,58
중동,58
필리핀,58
가까이,58
차세대,58
논쟁,58
챙기다,58
지난날,58
조화,58
당선,57
의사,57
발의,57
상당,57
연합,57
뿌리내리다,57
제일,57
디지털,57
전혀,57
연금,57
부당,56
의제,56
흔들다,56
수단,56
정략,56
감동,56
명예,56
전문가,56
만족,56
배치,56
특별히,56
출산,56
인천,56
대폭,56
창립,56
표현,56
심화,56
주변,55
성명,55
차지,55
점검,55
항만,55
동참,55
동반,55
불법,55
주요,55
실력,55
지표,55
지켜보다,55
중립,55
복구,55
공격,55
버리다,55
넘기다,55
넘치다,55
붙이다,55
자산,55
대의,55
전반,54
한일,54
예술,54
부가,54
평등,54
도로,54
입법,53
공유,53
긴밀히,53
노선,53
주최,53
동시,53
세대,53
벤처,53
제품,53
기다리다,53
제정,53
유리,53
등급,53
능동,53
불교,53
충돌,53
정비,53
대북,53
사태,53
불리,53
글로벌,53
목소리,52
일방,52
요즘,52
사명,52
수요,52
남기다,52
이해관계,52
머리,52
상품,52
해내다,52
고향,52
편성,52
증명,52
국력,52
부닥치다,52
공론,52
영광,52
석유,51
실업,51
본질,51
경남,51
마침내,51
대륙,51
아프다,51
기자실,51
성취,51
돌아오다,51
걸치다,51
도리,51
상처,51
태평양,51
소개,50
특별법,50
혹시,50
개별,50
붕괴,50
전남,50
문명,50
지적,50
측면,50
실감,50
우주,50
그만큼,50
기술력,50
운명,50
목적,50
스페인,50
항공,50
매년,50
부시,50
주권,49
수입,49
젊은이,49
손해,49
터키,49
아프리카,49
김대중,49
회계,49
심하다,49
용산,49
기적,49
잡히다,49
양심,49
보통,49
인상,49
이렇게,49
숫자,49
공교육,49
절대,49
규칙,49
언제,49
보수,49
관용,49
정경,48
검찰,48
마디,48
정통,48
나중,48
학습,48
기구,48
테러,48
오찬,48
대신,48
무한,48
주력,48
펼치다,48
이용,48
카드,48
소신,48
유익,48
클러스터,47
나머지,47
철저히,47
해석,47
파탄,47
논란,47
고급,47
답사,47
원하다,47
보고서,47
인도네시아,47
기득,47
사과,47
앞당기다,47
파트너,47
구성,47
빨리,46
왜곡,46
거듭나다,46
폐하,46
줄어들다,46
명복,46
독자,46
부대,46
재원,46
조속히,46
연구소,46
대답,46
통상,46
살아나다,46
때로,46
완전,46
개입,45
아세안,45
태도,45
가속,45
기념식,45
소외,45
학부모,45
소망,45
정하다,45
다짐,45
현안,45
업적,45
예방,45
주역,45
다니다,45
오전,45
청년,44
빈곤,44
미리,44
예산안,44
결실,44
왜냐하면,44
각종,44
내세우다,44
약간,44
싸움,44
거부,44
몽골,44
실험,44
원자력,44
사정,44
정세,44
임시,44
보육,44
남북한,43
의존,43
여당,43
알리다,43
소중하다,43
거점,43
농민,43
의욕,43
고도,43
경정,43
시비,43
혼자,43
언제나,43
대세,43
경찰관,43
보상,43
불만,43
더욱이,43
대부분,43
움직이다,43
다하다,43
만일,43
임직원,43
평생,43
세월,42
고등학교,42
승부,42
우의,42
반칙,42
월드컵,42
승복,42
적용,42
알제리,42
약자,42
캄보디아,42
청소년,42
사항,42
마을,42
보험,42
활발하다,42
불량자,42
기도,42
박람회,42
검증,42
철학,42
게임,41
내각,41
계산,41
제조업,41
지구촌,41
무척,41
후손,41
최소한,41
설치,41
취지,41
대외,41
비중,41
합치다,41
혜택,41
상대방,41
대체로,41
모색,41
고비,41
되풀이,41
대전,41
재산,41
끌어올리다,41
굳이,41
투입,41
수호,41
원천,41
분명히,41
