키워드,빈도수
위하다,2177
국민,1986
정부,1936
경제,1472
협력,1439
국가,1327
함께,1296
자유,1276
대한민국,1178
세계,1173
산업,1157
지원,1100
드리다,1074
대하다,1021
기업,1005
사회,985
기술,948
오늘,938
미래,903
한국,878
양국,848
감사,779
발전,754
지역,749
국제,693
통하다,686
글로벌,655
분야,653
시장,650
나라,646
디지털,640
혁신,630
만들다,626
생각,622
정상,601
회의,596
성장,593
지금,592
투자,574
확대,568
안보,556
첨단,538
추진,529
지나다,528
더욱,527
의료,526
정책,509
관계,496
지키다,488
바라다,486
대통령,460
중요,460
과학,454
평화,453
위기,452
강화,451
민생,450
반도체,449
노력,446
모두,435
청년,434
교육,426
전략,422
북한,413
개발,408
자리,399
많이,399
다시,392
민주주의,391
가치,387
번영,385
대응,382
수출,381
현장,381
필요,381
기반,371
문화,370
도전,370
동포,368
적극,365
말씀,365
바로,362
문제,359
연대,356
이제,349
체계,346
우주,339
가지다,337
핵심,334
동맹,334
구축,334
부처,332
논의,332
정말,329
이번,324
안전,323
시대,317
특히,316
중심,315
가장,314
규모,309
올해,308
한미,304
규제,304
시작,292
역할,287
다양,285
재정,285
위협,280
아울러,275
사업,273
개혁,273
매우,272
상황,272
방안,271
가능,270
정신,259
기여,258
의사,257
공동,256
부산,251
지방,248
전쟁,247
역량,247
민간,246
금융,246
도약,245
과제,245
지속,245
방문,244
원전,243
변화,239
개선,238
안정,236
역사,233
교류,232
작년,231
이루다,231
외교,230
연구,230
기회,230
도시,229
세대,229
미국,227
만나다,225
공급망,220
공유,220
공정,217
책임,217
기대,216
과정,215
에너지,215
환경,214
서비스,214
최고,214
이상,212
수준,212
이후,210
나아가다,209
해결,209
제도,208
시스템,208
바이오,206
계속,205
없이,204
헌신,203
총리,203
준비,201
마련,200
사람,200
존경,200
최선,200
학교,200
인권,199
약속,198
제대로,196
대학,196
건강,195
일자리,194
이러하다,193
시민,193
보편,193
건설,192
조성,188
창출,188
복지,184
시간,184
인류,183
챙기다,183
경쟁력,181
인프라,179
먼저,179
피해,179
모으다,178
한일,178
활용,177
동안,175
인재,175
극복,174
마음,174
노동,173
계획,173
당부,173
뒷받침,172
대표,171
어려움,171
만드다,169
출범,169
기쁘다,168
신속,168
기후,167
따르다,166
키우다,165
국정,165
