키워드,빈도수
국민,30614
위하다,27531
경제,20960
나라,20840
세계,18751
정부,17071
대하다,15913
발전,14430
생각,14354
국가,14253
대통령,13688
사회,12924
한국,12668
노력,11358
오늘,10675
사람,10370
지금,10352
평화,10300
협력,10007
문제,9529
민족,8733
함께,8686
통일,8139
관계,8061
자유,7885
더욱,7832
북한,7742
가지다,7671
국제,7428
드리다,7026
모두,6921
통하다,6866
시대,6817
지역,6644
지나다,6518
역사,6472
이제,6291
성장,6273
기술,6262
산업,6171
감사,6154
개발,5947
추진,5939
바라다,5934
기업,5907
대한민국,5884
만들다,5770
양국,5764
문화,5760
건설,5731
동안,5705
정치,5638
다시,5224
정신,5167
미국,5029
자리,5001
안정,4945
교육,4916
번영,4867
특히,4813
지원,4795
중요,4768
정책,4755
가장,4748
민주,4744
계획,4737
말씀,4663
조국,4455
같이,4374
사업,4373
이번,4364
분야,4260
개혁,4228
필요,4185
본인,4160
이루다,4086
전쟁,4050
민주주의,4033
적극,4024
변화,4004
계속,3886
바로,3879
강화,3814
동포,3788
생활,3768
정상,3752
많이,3704
미래,3701
매우,3633
한반도,3613
따르다,3575
수출,3562
기대,3540
지키다,3504
회의,3460
시장,3418
성공,3406
투자,3392
운동,3384
또한,3342
확대,3279
사실,3279
없이,3226
방문,3211
위기,3206
극복,3176
일본,3166
물론,3148
체제,3119
남북,3054
해결,3052
기회,3052
과학,3003
각하,2986
이러하다,2984
안보,2974
서울,2936
마음,2919
선거,2887
생산,2866
이상,2839
개선,2825
서로,2804
공동,2787
기여,2786
희망,2773
역할,2729
국회,2707
지방,2682
환경,2677
과제,2673
축하,2665
제도,2656
가능,2642
전국,2637
시작,2634
아시아,2607
세기,2568
회담,2544
만드다,2541
인류,2522
목표,2496
질서,2489
안전,2488
보다,2481
이루어지다,2481
책임,2474
창조,2463
최근,2420
나아가다,2394
보이다,2383
대회,2378
어려움,2362
나오다,2356
사랑,2345
보내다,2342
과거,2335
금년,2331
바탕,2321
지속,2320
성과,2308
상황,2298
아직,2292
마련,2274
참여,2266
공산,2239
먼저,2229
도전,2202
혁신,2196
선진,2188
기원,2175
결과,2173
확신,2162
과정,2156
복지,2142
작년,2141
존경,2138
친애,2133
의지,2116
기반,2107
지도자,2099
외교,2091
활동,2069
교류,2061
자신,2044
스스로,2039
현실,2037
현재,2027
준비,2026
계기,2012
대화,2007
금융,1995
자랑,1973
중심,1971
협조,1971
상호,1971
공장,1967
우리나라,1963
기울이다,1959
무역,1950
올림픽,1949
농촌,1948
이후,1944
내외,1937
소득,1933
실천,1926
헌신,1923
모으다,1915
도시,1906
유엔,1901
유지,1884
최선,1881
공업,1878
행복,1876
관하다,1876
향하다,1875
수준,1866
이해,1866
실현,1839
세우다,1837
대학,1836
올해,1824
중국,1818
반드시,1814
강조,1810
만나다,1795
대표,1793
보장,1789
다음,1787
진심,1784
의하다,1779
느끼다,1777
위협,1777
당부,1773
침략,1773
근대,1768
경쟁,1765
경쟁력,1762
아울러,1757
태평양,1747
이미,1744
보호,1743
학생,1735
열리다,1734
소련,1708
자원,1705
오늘날,1701
전진,1692
결코,1691
국력,1686
영광,1686
싸우다,1685
국군,1682
농민,1682
경험,1677
역량,1671
청년,1668
여러분,1665
시설,1657
한편,1655
규모,1654
전통,1654
가치,1650
해외,1646
선진국,1646
정도,1642
신뢰,1641
관련,1635
시간,1632
개방,1632
장병,1631
향상,1627
글로벌,1623
이끌다,1619
귀빈,1610
여건,1606
처음,1604
민간,1597
구축,1595
동시,1589
증진,1585
건강,1581
자주,1580
의원,1578
시민,1574
희생,1574
달성,1572
인식,1572
연구,1566
구조,1563
기본,1559
도움,1559
시기,1556
이야기,1555
도약,1552
방안,1549
치하,1548
가운데,1538
능력,1537
국토,1519
높이다,1518
노고,1509
나누다,1504
회복,1502
물가,1493
갖추다,1490
근로자,1487
우선,1487
수행,1481
조성,1478
결의,1477
재정,1474
목적,1473
거듭,1472
세대,1472
경찰,1470
의미,1469
농업,1468
겨레,1467
의식,1465
모르다,1457
관심,1454
기쁘다,1451
공무원,1446
헌법,1431
정보,1429
단계,1427
합의,1423
방향,1419
도발,1418
자세,1413
남북한,1412
일자리,1402
평가,1399
예산,1395
외국,1388
결정,1387
선언,1382
기간,1380
다짐,1370
경우,1361
대응,1361
일부,1360
지지,1359
전략,1356
밝히다,1355
그동안,1353
학교,1353
에너지,1347
독립,1343
정당,1343
조치,1336
모습,1333
국내,1329
깊이,1328
개최,1328
확립,1326
국정,1323
이익,1319
일어나다,1318
전체,1318
가정,1313
나가다,1307
대책,1306
정세,1302
여성,1299
각국,1299
세력,1286
직접,1280
증대,1278
화합,1277
더불다,1276
한미,1276
시련,1275
우방,1275
국방,1275
용기,1272
태세,1272
인사,1267
