키워드,빈도수
국민,45161
위하다,37296
경제,32874
세계,26808
정부,25009
나라,24111
대하다,21613
발전,20271
국가,19605
생각,19256
한국,19250
사회,18860
협력,18154
대통령,16539
평화,16492
함께,15723
노력,15669
오늘,14470
지금,13705
문제,13340
드리다,13044
관계,11180
기업,10887
더욱,10815
감사,10746
시대,10635
산업,10632
통하다,10447
모두,10277
지역,10197
북한,10071
사람,9864
국제,9769
바라다,9654
민족,9539
역사,9487
성장,9421
가지다,9419
기술,9262
이제,9252
문화,9076
지나다,8890
추진,8760
양국,8629
대한민국,8463
통일,8398
지원,8381
정책,8112
자유,8077
개발,7959
만들다,7845
말씀,7728
정치,7666
다시,7557
개혁,7172
중요,7159
자리,7142
동안,7064
번영,6887
가장,6853
한반도,6836
특히,6793
안정,6750
분야,6731
민주주의,6668
정상,6637
적극,6617
건설,6573
교육,6568
투자,6562
미래,6458
시장,6226
이번,6179
필요,6084
이루다,6023
남북,5982
성공,5891
강화,5873
위기,5859
미국,5785
정신,5766
매우,5747
변화,5712
사업,5620
민주,5615
확대,5587
기대,5568
회의,5448
계획,5409
지키다,5394
바로,5134
극복,5057
혁신,5027
계속,4871
조국,4847
전쟁,4814
수출,4783
존경,4758
세기,4734
축하,4714
방문,4689
해결,4613
환경,4571
생활,4563
많이,4539
각하,4454
따르다,4407
기회,4378
역할,4377
가능,4374
마음,4369
안보,4365
과학,4348
참여,4318
같이,4317
공동,4311
희망,4239
또한,4237
운동,4217
개선,4151
일본,4133
없이,4089
본인,4059
동포,4051
회담,4048
지방,4047
물론,4045
서로,4028
제도,4027
체제,4004
사실,3990
시작,3989
안전,3981
상황,3935
이상,3929
아시아,3896
과제,3878
기여,3877
지속,3875
성과,3846
이러하다,3843
보이다,3812
나아가다,3797
생산,3691
정보,3673
교류,3647
마련,3639
대화,3635
중심,3603
목표,3598
금융,3561
서울,3522
어려움,3511
올해,3484
수준,3466
국회,3429
이루어지다,3426
기반,3413
인류,3371
선거,3335
책임,3285
경쟁력,3279
과정,3270
최근,3249
최선,3242
대회,3230
과거,3228
기원,3226
사랑,3225
반드시,3184
일자리,3175
모으다,3151
질서,3135
도전,3129
보내다,3111
진심,3100
계기,3096
나오다,3093
복지,3077
바탕,3065
보다,3062
전국,3041
아직,3023
무역,3008
이후,2989
중국,2986
의지,2956
만드다,2944
시민,2939
실현,2939
자랑,2938
높이다,2935
결과,2893
향하다,2892
먼저,2890
소득,2888
확신,2868
구조,2853
활동,2849
기울이다,2832
열리다,2831
내외,2815
헌신,2809
준비,2796
지도자,2790
가치,2784
만나다,2773
신뢰,2759
경쟁,2757
역량,2752
이미,2751
스스로,2749
창조,2746
외교,2742
합의,2740
건강,2725
실천,2720
올림픽,2719
작년,2714
도약,2689
도시,2688
현실,2665
이끌다,2653
자신,2650
귀빈,2647
구축,2643
선진,2640
대응,2622
규모,2607
유지,2607
당부,2605
전략,2605
평가,2597
아울러,2560
여러분,2558
금년,2551
상호,2547
친애,2546
시간,2524
현재,2511
행복,2511
회복,2503
보장,2483
다음,2472
느끼다,2470
이해,2465
대학,2459
방안,2432
경찰,2418
대책,2415
대표,2399
의미,2366
결코,2365
관련,2357
경험,2353
전통,2335
자원,2332
개방,2329
갖추다,2322
관심,2318
강조,2306
여성,2304
가운데,2286
협조,2273
유엔,2270
연구,2270
관하다,2263
지지,2245
인사,2241
나누다,2233
선진국,2225
해외,2221
국정,2217
총리,2209
예산,2208
의하다,2198
글로벌,2196
다양,2185
시설,2183
농촌,2181
정도,2178
우리나라,2177
세우다,2171
기관,2168
우선,2165
방향,2161
에너지,2156
공장,2153
여건,2145
청년,2140
처음,2132
한편,2124
학생,2123
개최,2116
단계,2097
기본,2089
장병,2087
공정,2077
한미,2070
노고,2062
향상,2056
능력,2049
기쁘다,2048
위협,2045
최고,2044
시기,2032
언론,2030
인식,2024
논의,2018
증진,2009
태평양,2008
도움,1998
지식,1988
조성,1987
규제,1978
혁명,1971
의료,1970
그동안,1968
조치,1964
의원,1964
인권,1958
빠르다,1948
중소기업,1948
선언,1937
공무원,1928
지난해,1919
관리,1910
보호,1909
재정,1904
이야기,1900
희생,1899
균형,1899
모습,1897
가족,1895
내년,1881
근대,1880
민간,1868
세대,1859
화합,1858
핵심,1854
오늘날,1851
깊이,1849
얘기,1847
거듭,1846
농업,1837
코로나,1836
결정,1833
육성,1829
정착,1827
약속,1824
전진,1824
경우,1820
통합,1819
운영,1819
원칙,1814
자주,1814
국력,1813
의식,1809
동시,1809
부문,1806
국내,1805
달성,1802
동북아,1795
밝히다,1793
공업,1788
영광,1785
직접,1784
고통,1781
각국,1776
기간,1775
차원,1769
전체,1765
현장,1765
국방,1764
독립,1761
바꾸다,1752
근로자,1751
남북한,1746
환영,1744
자세,1736
수행,1728
확인,1724
거두다,1724
국군,1723
주도,1722
연설,1722
다짐,1718
화해,1707
대비,1704
용기,1702
치하,1697
학교,1696
특별,1695
분단,1686
효과,1678
첨단,1677
경기,1672
아주,1670
더불다,1669
유럽,1666
일부,1665
위원회,1664
참으로,1649
출범,1644
도발,1637
행사,1636
부처,1631
행정,1629
체계,1629
정말,1624
추구,1622
국토,1621
공산,1616
주민,1616
선도,1608
확보,1604
물가,1604
의견,1597
헌법,1591
다지다,1590
뒷받침,1587
고용,1581
결의,1581
조금,1581
인간,1580
겨레,1573
격려,1564
태세,1560
우호,1558
모르다,1555
일어나다,1554
키우다,1552
전환,1552
요구,1551
앞장서다,1551
졸업,1548
가정,1542
이기다,1540
참석,1539
외국,1530
장관,1529
서비스,1520
확충,1520
증가,1516
독일,1515
메시지,1513
농민,1509
토대,1502
활용,1501
질문,1501
촉진,1496
이웃,1494
발휘,1483
아세안,1482
자치,1481
역시,1480
군사,1479
이익,1475
확립,1475
그러다,1474
늘어나다,1470
입장,1465
부산,1464
포함,1462
침략,1444
사이,1438
소련,1437
증대,1422
창출,1421
생명,1421
새해,1416
시련,1415
인력,1407
도로,1402
효율,1400
대처,1395
마을,1394
확산,1394
기업인,1393
최대,1393
걱정,1393
사명,1390
정세,1387
노사,1387
기자,1385
갈등,1384
종합,1379
교역,1378
정의,1378
당시,1376
수립,1374
디지털,1373
이념,1370
방위,1364
살리다,1363
전하다,1361
힘차다,1360
계시다,1360
전력,1360
진행,1358
방법,1356
늘리다,1355
관계자,1354
보람,1351
나서다,1351
기후,1345
진출,1342
자립,1341
해소,1337
부담,1335
동맹,1334
구체,1333
올리다,1330
노동,1328
동반자,1321
긴장,1320
실시,1318
전망,1318
공공,1315
공동체,1314
집단,1313
기초,1313
흘리다,1312
성취,1312
행동,1307
피해,1306
걸치다,1306
얼마나,1305
창의,1301
다르다,1298
기록,1297
활성,1294
봉사,1293
자금,1290
실질,1289
모이다,1289
성원,1287
우수,1287
비롯하다,1287
아끼다,1284
집중,1271
한번,1268
바다,1268
수호,1266
관광,1265
불안,1264
자본,1262
사태,1262
단체,1261
힘쓰다,1260
누리다,1257
민생,1255
동지,1252
각종,1252
개척,1244
불과,1243
나가다,1242
일류,1240
지향,1228
정당,1223
위원,1221
부족,1214
훈련,1213
또는,1213
공사,1211
방역,1210
진전,1207
냉전,1205
연결,1204
이유,1203
조정,1203
존중,1198
러시아,1197
정권,1197
사상,1195
활력,1185
개인,1183
대단히,1182
서민,1179
완화,1168
방송,1168
부탁,1167
협정,1165
발표,1165
근본,1159
획기적,1159
지혜,1159
인재,1155
체육,1151
행위,1151
지구,1147
공급,1146
아래,1142
시책,1140
세력,1140
기억,1138
무한,1137
열심히,1137
하루,1136
주택,1134
가슴,1133
주장,1132
이어지다,1128
녹색,1125
전기,1124
해양,1122
과업,1121
제공,1113
속도,1108
항상,1107
저력,1106
도입,1105
공화국,1105
인하다,1105
연대,1103
조직,1099
구현,1098
얼마,1098
치르다,1098
사건,1093
총회,1090
인도,1087
결국,1086
자율,1086
사고,1085
통신,1083
비전,1081
제시,1077
포용,1075
자체,1071
자연,1069
내일,1067
인구,1064
취임,1064
폭력,1062
강국,1061
우정,1060
최대한,1059
내외분,1057
잘못,1057
승리,1053
부분,1052
임기,1049
벤처,1046
대결,1046
주요,1045
도민,1043
용사,1041
선수,1040
권력,1030
참전,1029
투명,1029
최초,1026
생기다,1024
줄이다,1024
넘치다,1023
부정,1022
내리다,1022
경영,1021
제대로,1021
탄소,1020
추가,1014
경의,1013
고속,1011
강하다,1011
앞날,1011
야당,1011
단결,1010
주체,1010
본격,1010
빛나다,1009
모범,1008
시스템,1008
영향,1004
오히려,1002
높이,1001
광주,998
앞서다,997
요인,995
한층,994
너무,993
계층,992
슬기,991
긍지,989
당면,988
철도,988
단지,986
발생,985
수상,985
빨리,983
마지막,981
검토,981
무력,977
고도,975
젊은이,975
협의,974
상생,973
가져오다,972
지도,970
선생,970
수도,969
센터,966
끝나다,966
월드컵,962
동력,959
장래,958
결실,957
포럼,953
투쟁,953
신념,951
출발,950
바치다,949
아프리카,948
귀국,947
격차,945
선택,945
꾸준히,945
공유,937
외환,934
기능,930
달리다,929
반대,928
싸우다,926
자동차,925
상태,923
대폭,921
내용,920
조사,920
벗어나다,913
체결,913
의사,913
건전,912
반도체,912
기구,911
예술,910
주변,910
완전히,910
장기,908
합리,905
보완,904
농어촌,901
분발,900
제안,900
이용,899
뜻깊다,897
위험,895
수요,895
시행,895
소비,894
성숙,892
충심,891
수교,891
양성,891
들어가다,890
초청,890
충분히,889
범죄,889
요청,885
완수,884
위원장,883
커지다,881
인정,879
혼란,877
인프라,874
한일,874
배우다,874
수많다,873
나타나다,871
전개,871
기적,871
처하다,867
뿌리,865
회장,864
그리하다,864
차례,863
다가오다,861
부패,859
시점,858
친구,857
혜택,856
유치,855
수입,852
가격,852
보고,851
외국인,851
전문,850
동아시아,847
상품,847
국내외,843
엄청나다,843
대전,843
단합,843
제의,843
앞당기다,843
장교,841
위로,840
우방,838
방식,837
분명히,837
위치,836
현상,836
목적,834
영국,833
아이,832
의장,831
대상,831
월남,829
우려,829
조건,828
이전,828
애국,827
자문,825
제품,821
우주,818
신문,814
미군,812
염원,811
판단,810
가입,810
잠재력,809
구상,809
열정,804
알리다,801
조선,800
오르다,799
마찬가지,799
사례,799
생존,797
여야,797
방한,796
무장,795
예정,794
어린이,794
장애인,791
작업,789
백신,788
거의,787
전부,787
신속,786
달라지다,784
넓히다,783
각별,782
중소,782
중앙,781
주역,780
그대로,779
예상,777
취하다,776
식량,774
공직자,774
돌아가다,774
세상,773
펼치다,768
가난,767
어리다,766
받아들이다,765
이행,765
당원,763
설치,763
자신감,763
훨씬,762
프랑스,761
협상,760
답변,760
바뀌다,760
재난,757
무대,756
포기,754
예비군,753
한국인,752
명예,750
후손,750
아무리,749
기르다,749
기념,748
인상,748
완성,747
변하다,746
민족사,745
임금,744
점차,743
제조업,743
광복,743
창업,743
흐름,742
정성,742
현대,741
일상,741
기하다,740
전문가,738
사용,737
차지,737
들어오다,737
석유,736
전반,735
배양,735
차질,734
장비,733
인터넷,733
대한,732
설명,731
베트남,731
경제인,730
분위기,730
소리,729
순방,729
우의,729
비하다,729
미치다,729
보건,729
합치다,728
동참,726
위상,726
공군,726
각오,725
교통,722
임무,720
개정,720
방지,720
거치다,720
대립,720
각자,719
불행,718
절대,715
의욕,715
지니다,715
공헌,715
나무,714
청소년,714
대구,712
치사,712
해방,712
총력,711
개편,711
지배,711
떠나다,711
소망,710
교훈,709
원동력,706
새마을,705
평등,704
처리,703
유신,703
반영,702
유공자,702
북방,696
무궁,696
완전,695
애쓰다,695
곳곳,694
노동자,694
일으키다,693
철저히,691
테러,690
중대,688
확장,686
신장,686
비상,685
상징,685
북괴,683
독재,682
치안,681
축제,680
대륙,680
가꾸다,679
회원국,678
경주,678
만족,678
중점,678
특별히,678
남기다,677
마무리,677
믿음,675
후보,675
공산주의자,674
예산안,673
당하다,672
기쁨,672
언제나,672
일반,670
불편,669
지적,668
권리,668
중립,667
올바르다,667
형성,667
빌리다,666
분열,664
주력,663
기준,662
비판,662
거리,661
만찬,660
요소,660
보험,660
해군,658
마치다,658
연합,658
타협,657
주의,656
걸리다,656
공조,656
동북아시아,655
파괴,653
빈곤,652
당장,652
향토,652
분명,651
안녕,650
업무,650
가하다,649
뭉치다,649
청산,649
세계인,648
부동산,648
이름,648
자부심,647
불법,647
하늘,642
들어서다,641
점검,639
청와대,639
각계,638
성실,637
상승,636
부모,635
조화,634
건국,634
기존,631
흔들리다,631
영원,631
당국,630
재산,630
결단,629
당당,627
강구,627
개헌,626
문명,624
생태,624
내부,624
공식,623
치열,623
지구촌,623
심화,622
집행,622
불교,622
조속히,619
인도네시아,616
긴밀히,616
오직,615
멀리,614
촉구,613
기념식,613
시절,612
모색,612
주한,612
직면,611
담당,611
군인,610
정치인,610
순간,609
업적,608
수지,605
임시,604
그러하다,604
증산,604
군대,601
그만큼,601
보편,600
아마,599
창설,599
기틀,599
절약,598
대북,598
물결,597
대외,597
일관,595
의무,594
협동,594
저축,594
운명,593
비록,593
매년,592
상공인,592
떨어지다,592
소위,590
