,세계,국민,경제,생각,나라,대한민국,한국,정부,국가,사회,위기,성장,발전,감사,기업,대통령,오늘,지금,협력,모두,정상,회의,국제,사람,노력,사랑,이제,자리,말씀,변화,문제,미래,시대,존경,녹색,축하,산업,기술,문화,이번,역사,지역,가장,선진,극복,일자리,개발,금융,양국,지원,시장,중요,평화,마음,관계,투자,기회,북한,적극,미국,성공,필요,정책,희망,글로벌,분야,환경,기대,올해,교육,서울,진심,이야기,정말,사실,기여,확대,어려움,자유,역할,서민,기후,정신,도움,인류,에너지,시작,생활,물론,무역,도전,서로,가능,행복,동안,사업,안보,건강,일류,기원,경험,선진국,귀빈,이후,민주,과학,중국,젊은이,중심,대학,내외,방문,일본,이상,지속,추진,강화,안전,민주주의,준비,계기,개최,가족,대회,복지,시민,자랑,최근,정치,평가,번영,목표,제도,지난해,수준,시간,가치,참여,전쟁,성과,계속,경쟁력,전국,공동,의미,여러분,신뢰,대응,최선,실천,먼저,자원,한미,계획,최고,가정,학생,도시,조금,해결,과제,참석,관심,회복,합의
세계,0.0,243.0,1278.0,277.0,810.0,538.0,317.0,114.0,496.0,143.0,711.0,521.0,248.0,48.0,215.0,69.0,48.0,84.0,141.0,73.0,381.0,342.0,265.0,82.0,120.0,54.0,36.0,77.0,39.0,149.0,167.0,117.0,184.0,43.0,163.0,46.0,136.0,150.0,126.0,109.0,108.0,122.0,1.0,81.0,241.0,85.0,136.0,232.0,49.0,51.0,123.0,93.0,256.0,35.0,28.0,88.0,68.0,65.0,73.0,119.0,166.0,53.0,62.0,44.0,155.0,104.0,91.0,77.0,84.0,49.0,105.0,44.0,25.0,0.0,38.0,183.0,56.0,78.0,86.0,93.0,15.0,105.0,46.0,61.0,108.0,64.0,65.0,26.0,9.0,192.0,83.0,7.0,116.0,25.0,31.0,30.0,124.0,14.0,83.0,30.0,58.0,94.0,15.0,125.0,48.0,73.0,66.0,91.0,131.0,39.0,12.0,22.0,46.0,51.0,136.0,23.0,32.0,39.0,40.0,24.0,56.0,122.0,14.0,111.0,6.0,47.0,52.0,37.0,19.0,75.0,101.0,55.0,27.0,75.0,114.0,14.0,53.0,68.0,53.0,33.0,12.0,66.0,7.0,76.0,39.0,10.0,29.0,53.0,20.0,24.0,0.0,44.0,34.0,25.0,159.0,0.0,8.0,76.0,15.0,48.0,39.0,31.0,38.0,88.0,49.0
국민,243.0,0.0,201.0,243.0,257.0,324.0,186.0,241.0,225.0,179.0,163.0,58.0,136.0,131.0,72.0,184.0,77.0,36.0,41.0,242.0,36.0,52.0,41.0,98.0,107.0,391.0,14.0,107.0,91.0,55.0,43.0,48.0,84.0,425.0,25.0,106.0,32.0,21.0,76.0,69.0,100.0,32.0,2.0,103.0,106.0,29.0,22.0,18.0,62.0,32.0,20.0,46.0,57.0,126.0,31.0,13.0,44.0,30.0,54.0,38.0,78.0,34.0,59.0,103.0,19.0,18.0,29.0,68.0,26.0,30.0,17.0,92.0,26.0,0.0,30.0,44.0,15.0,64.0,48.0,33.0,39.0,14.0,42.0,35.0,6.0,20.0,17.0,106.0,9.0,25.0,19.0,16.0,33.0,88.0,28.0,21.0,38.0,89.0,53.0,29.0,22.0,25.0,73.0,23.0,44.0,20.0,21.0,17.0,29.0,6.0,69.0,32.0,35.0,28.0,12.0,24.0,14.0,103.0,46.0,13.0,27.0,22.0,17.0,26.0,25.0,57.0,78.0,22.0,49.0,26.0,20.0,12.0,15.0,22.0,39.0,20.0,29.0,32.0,20.0,26.0,8.0,11.0,45.0,7.0,16.0,24.0,116.0,14.0,52.0,34.0,0.0,10.0,9.0,13.0,11.0,9.0,4.0,7.0,4.0,14.0,15.0,29.0,38.0,12.0,8.0
경제,1278.0,201.0,0.0,221.0,276.0,205.0,271.0,223.0,284.0,186.0,903.0,670.0,343.0,34.0,133.0,102.0,36.0,72.0,285.0,56.0,210.0,249.0,185.0,50.0,116.0,12.0,28.0,55.0,55.0,91.0,126.0,94.0,98.0,20.0,125.0,15.0,112.0,77.0,130.0,93.0,47.0,135.0,0.0,85.0,291.0,132.0,144.0,209.0,160.0,46.0,173.0,106.0,46.0,21.0,90.0,93.0,67.0,40.0,63.0,86.0,61.0,88.0,105.0,35.0,196.0,113.0,138.0,69.0,65.0,60.0,64.0,17.0,30.0,0.0,39.0,96.0,85.0,101.0,101.0,67.0,116.0,63.0,23.0,74.0,29.0,45.0,51.0,46.0,10.0,120.0,23.0,12.0,133.0,17.0,43.0,45.0,113.0,13.0,51.0,8.0,54.0,68.0,3.0,115.0,47.0,30.0,55.0,9.0,54.0,7.0,4.0,14.0,37.0,32.0,184.0,58.0,53.0,13.0,88.0,32.0,49.0,45.0,7.0,8.0,21.0,8.0,10.0,33.0,86.0,58.0,54.0,34.0,20.0,29.0,52.0,20.0,62.0,24.0,31.0,50.0,17.0,36.0,3.0,49.0,35.0,7.0,42.0,64.0,36.0,19.0,1.0,23.0,51.0,32.0,22.0,5.0,6.0,12.0,15.0,33.0,46.0,16.0,24.0,186.0,37.0
생각,277.0,243.0,221.0,0.0,209.0,195.0,171.0,136.0,171.0,183.0,139.0,91.0,133.0,36.0,160.0,176.0,77.0,52.0,113.0,68.0,69.0,76.0,71.0,154.0,79.0,30.0,22.0,65.0,78.0,63.0,143.0,94.0,51.0,11.0,37.0,8.0,45.0,55.0,66.0,84.0,70.0,46.0,0.0,47.0,58.0,81.0,33.0,48.0,73.0,17.0,46.0,116.0,33.0,91.0,78.0,60.0,87.0,71.0,34.0,49.0,56.0,81.0,67.0,52.0,23.0,55.0,34.0,13.0,23.0,41.0,32.0,17.0,63.0,0.0,17.0,52.0,17.0,34.0,18.0,49.0,30.0,24.0,46.0,82.0,51.0,26.0,27.0,29.0,5.0,24.0,22.0,16.0,46.0,32.0,21.0,26.0,13.0,23.0,40.0,6.0,38.0,29.0,0.0,21.0,11.0,35.0,41.0,33.0,22.0,26.0,2.0,29.0,25.0,19.0,19.0,20.0,14.0,12.0,24.0,17.0,34.0,21.0,26.0,17.0,37.0,21.0,72.0,8.0,41.0,27.0,27.0,23.0,20.0,5.0,19.0,33.0,17.0,18.0,11.0,30.0,8.0,25.0,16.0,28.0,79.0,9.0,23.0,14.0,12.0,30.0,0.0,14.0,20.0,18.0,36.0,29.0,15.0,17.0,8.0,33.0,25.0,8.0,14.0,19.0,15.0
나라,810.0,257.0,276.0,209.0,0.0,334.0,200.0,75.0,228.0,159.0,194.0,151.0,152.0,40.0,82.0,82.0,30.0,39.0,84.0,58.0,85.0,80.0,97.0,78.0,65.0,87.0,43.0,25.0,39.0,38.0,56.0,72.0,44.0,25.0,47.0,9.0,58.0,59.0,76.0,45.0,77.0,36.0,0.0,80.0,84.0,45.0,49.0,21.0,20.0,24.0,28.0,32.0,46.0,73.0,65.0,44.0,32.0,41.0,21.0,90.0,45.0,23.0,21.0,47.0,37.0,25.0,32.0,12.0,30.0,35.0,16.0,13.0,20.0,0.0,29.0,42.0,16.0,63.0,63.0,24.0,11.0,23.0,44.0,136.0,44.0,18.0,25.0,21.0,6.0,30.0,14.0,13.0,30.0,50.0,17.0,9.0,30.0,36.0,48.0,3.0,35.0,64.0,1.0,73.0,51.0,14.0,34.0,46.0,24.0,13.0,1.0,24.0,41.0,21.0,19.0,12.0,11.0,29.0,48.0,13.0,19.0,29.0,15.0,13.0,12.0,8.0,46.0,20.0,18.0,41.0,45.0,20.0,16.0,26.0,34.0,13.0,48.0,19.0,65.0,9.0,6.0,19.0,9.0,19.0,21.0,3.0,13.0,9.0,13.0,14.0,0.0,38.0,24.0,10.0,17.0,10.0,7.0,7.0,4.0,21.0,12.0,6.0,20.0,21.0,12.0
대한민국,538.0,324.0,205.0,195.0,334.0,0.0,69.0,85.0,288.0,129.0,125.0,178.0,194.0,48.0,42.0,93.0,107.0,19.0,54.0,55.0,92.0,94.0,117.0,48.0,61.0,44.0,14.0,40.0,41.0,45.0,31.0,119.0,60.0,22.0,99.0,23.0,67.0,56.0,50.0,43.0,141.0,23.0,0.0,124.0,85.0,19.0,42.0,15.0,18.0,23.0,17.0,21.0,58.0,50.0,32.0,28.0,41.0,37.0,31.0,48.0,95.0,12.0,13.0,67.0,44.0,28.0,19.0,29.0,43.0,41.0,51.0,44.0,24.0,0.0,18.0,75.0,20.0,42.0,73.0,50.0,6.0,21.0,37.0,44.0,49.0,12.0,19.0,11.0,2.0,30.0,25.0,5.0,27.0,38.0,16.0,18.0,24.0,10.0,90.0,20.0,54.0,43.0,1.0,25.0,68.0,40.0,6.0,40.0,47.0,14.0,1.0,24.0,12.0,16.0,14.0,10.0,12.0,15.0,48.0,10.0,20.0,37.0,8.0,20.0,7.0,21.0,105.0,3.0,10.0,34.0,55.0,25.0,4.0,19.0,11.0,10.0,45.0,16.0,65.0,11.0,6.0,21.0,5.0,16.0,17.0,8.0,13.0,12.0,18.0,11.0,0.0,8.0,11.0,10.0,25.0,8.0,7.0,15.0,3.0,8.0,11.0,18.0,18.0,13.0,3.0
한국,317.0,186.0,271.0,171.0,200.0,69.0,0.0,129.0,142.0,97.0,113.0,148.0,160.0,62.0,212.0,122.0,27.0,17.0,147.0,31.0,94.0,93.0,109.0,97.0,64.0,18.0,13.0,56.0,53.0,44.0,46.0,65.0,31.0,19.0,85.0,51.0,60.0,76.0,127.0,58.0,79.0,32.0,0.0,18.0,59.0,14.0,85.0,57.0,73.0,63.0,34.0,30.0,35.0,20.0,88.0,122.0,54.0,41.0,68.0,147.0,55.0,27.0,37.0,33.0,39.0,49.0,35.0,44.0,41.0,58.0,32.0,59.0,59.0,0.0,20.0,58.0,47.0,24.0,48.0,41.0,3.0,32.0,23.0,38.0,19.0,29.0,24.0,28.0,3.0,28.0,15.0,6.0,23.0,14.0,46.0,40.0,8.0,11.0,7.0,18.0,73.0,23.0,6.0,34.0,25.0,19.0,101.0,40.0,18.0,18.0,10.0,121.0,64.0,14.0,29.0,22.0,14.0,12.0,38.0,33.0,28.0,46.0,9.0,32.0,3.0,2.0,17.0,23.0,17.0,42.0,24.0,27.0,5.0,28.0,27.0,20.0,25.0,45.0,45.0,19.0,1.0,11.0,8.0,33.0,27.0,7.0,13.0,20.0,9.0,10.0,0.0,19.0,10.0,33.0,28.0,4.0,16.0,26.0,2.0,9.0,5.0,20.0,25.0,23.0,13.0
정부,114.0,241.0,223.0,136.0,75.0,85.0,129.0,0.0,125.0,138.0,103.0,111.0,94.0,33.0,191.0,56.0,12.0,15.0,118.0,36.0,33.0,31.0,45.0,65.0,211.0,17.0,4.0,29.0,45.0,42.0,79.0,33.0,32.0,14.0,75.0,6.0,59.0,56.0,36.0,58.0,18.0,55.0,2.0,64.0,46.0,112.0,65.0,52.0,28.0,223.0,59.0,25.0,18.0,17.0,39.0,68.0,38.0,28.0,124.0,25.0,28.0,51.0,192.0,25.0,34.0,46.0,56.0,24.0,62.0,49.0,3.0,11.0,24.0,0.0,13.0,15.0,64.0,44.0,12.0,49.0,105.0,24.0,19.0,38.0,10.0,18.0,31.0,44.0,6.0,5.0,9.0,5.0,17.0,18.0,13.0,43.0,16.0,19.0,32.0,0.0,6.0,7.0,3.0,27.0,10.0,29.0,39.0,10.0,31.0,31.0,5.0,7.0,24.0,17.0,30.0,78.0,46.0,32.0,7.0,30.0,20.0,7.0,11.0,2.0,71.0,19.0,7.0,19.0,19.0,24.0,14.0,45.0,55.0,25.0,19.0,7.0,15.0,20.0,8.0,20.0,11.0,40.0,13.0,8.0,12.0,4.0,26.0,41.0,105.0,12.0,0.0,11.0,9.0,66.0,18.0,24.0,9.0,11.0,8.0,24.0,29.0,4.0,34.0,26.0,13.0
국가,496.0,225.0,284.0,171.0,228.0,288.0,142.0,125.0,0.0,171.0,156.0,233.0,226.0,28.0,57.0,53.0,16.0,23.0,73.0,40.0,73.0,64.0,95.0,53.0,68.0,20.0,14.0,22.0,26.0,58.0,63.0,66.0,86.0,34.0,118.0,17.0,62.0,67.0,65.0,41.0,37.0,71.0,0.0,435.0,77.0,22.0,68.0,38.0,12.0,32.0,21.0,70.0,46.0,23.0,19.0,37.0,29.0,12.0,42.0,50.0,49.0,33.0,56.0,13.0,67.0,36.0,31.0,25.0,29.0,27.0,24.0,9.0,13.0,0.0,10.0,62.0,22.0,18.0,39.0,32.0,11.0,41.0,47.0,32.0,40.0,28.0,13.0,36.0,9.0,33.0,9.0,3.0,26.0,43.0,10.0,22.0,72.0,17.0,420.0,7.0,33.0,43.0,5.0,28.0,65.0,45.0,18.0,4.0,79.0,10.0,5.0,7.0,21.0,20.0,26.0,45.0,33.0,27.0,36.0,21.0,19.0,23.0,6.0,3.0,24.0,6.0,12.0,8.0,25.0,26.0,44.0,46.0,11.0,26.0,61.0,9.0,45.0,25.0,16.0,15.0,6.0,102.0,7.0,27.0,18.0,5.0,22.0,37.0,11.0,25.0,0.0,22.0,18.0,32.0,28.0,14.0,2.0,14.0,2.0,19.0,35.0,9.0,12.0,19.0,14.0
사회,143.0,179.0,186.0,183.0,159.0,129.0,97.0,138.0,171.0,0.0,63.0,98.0,190.0,39.0,126.0,36.0,23.0,25.0,110.0,73.0,25.0,34.0,448.0,102.0,109.0,55.0,15.0,26.0,31.0,66.0,84.0,45.0,48.0,33.0,36.0,20.0,22.0,36.0,77.0,35.0,13.0,70.0,2.0,138.0,59.0,49.0,35.0,23.0,21.0,37.0,24.0,62.0,28.0,39.0,27.0,16.0,62.0,86.0,66.0,46.0,25.0,69.0,40.0,41.0,26.0,82.0,44.0,40.0,16.0,41.0,10.0,12.0,18.0,0.0,11.0,79.0,37.0,15.0,27.0,83.0,31.0,12.0,44.0,47.0,28.0,7.0,14.0,35.0,13.0,3.0,16.0,21.0,21.0,69.0,15.0,16.0,23.0,41.0,68.0,10.0,26.0,25.0,2.0,15.0,38.0,29.0,10.0,15.0,32.0,24.0,2.0,5.0,7.0,5.0,19.0,19.0,23.0,55.0,34.0,12.0,30.0,14.0,13.0,7.0,82.0,38.0,12.0,15.0,53.0,37.0,16.0,20.0,29.0,11.0,25.0,10.0,36.0,32.0,7.0,11.0,3.0,16.0,11.0,20.0,20.0,3.0,42.0,19.0,22.0,52.0,0.0,10.0,5.0,12.0,16.0,46.0,12.0,1.0,8.0,25.0,28.0,3.0,23.0,18.0,8.0
