,국민,경제,정부,세계,협력,평화,한국,국가,사회,산업,기업,감사,지원,오늘,대한민국,발전,성장,노력,나라,혁신,코로나,지역,양국,한반도,정상,정책,일자리,미래,지금,확대,모두,기술,생각,강화,안전,회의,위기,방역,국제,분야,투자,적극,대통령,역사,시대,마음,사람,가장,추진,상황,시작,대응,개발,존경,필요,올해,관계,기대,남북,문제,중요,가능,청년,환경,회복,변화,이제,아세안,번영,극복,마련,공동,말씀,성공,포용,역할,고용,문화,민주주의,희망,공정,백신,중심,국회,지속,성과,수출,동포,시장,방문,사업,목표,기회,정신,이번,대책,북한,탄소,서로,전쟁,대화,전환,어려움,상생,참여,올림픽,준비,자리,지방,제도,회담,역량,시간,에너지,미국,전략,이상,규모,시민,의료,해결,축하,혁명,뉴딜,최선,개선,최고,독립,자유,도전,건강,소득,특별,안정,확산,기관,다양,현장,민주,가치,예산,금융,수준,가족,체계,경찰,기반,과제,선도,지난해,구축,안보,당부,규제,무역,디지털,방안,기후,수소,대표,생산,글로벌,조치,이후,합의,과정,도약,자치,최초,공공,접종,일상,관리,의지
국민,0.0,562.0,858.0,181.0,216.0,334.0,257.0,484.0,271.0,112.0,189.0,256.0,133.0,90.0,316.0,162.0,179.0,250.0,346.0,157.0,220.0,102.0,211.0,103.0,59.0,247.0,124.0,94.0,87.0,87.0,222.0,60.0,239.0,123.0,491.0,63.0,192.0,250.0,44.0,76.0,32.0,142.0,177.0,122.0,133.0,273.0,176.0,0.0,94.0,126.0,81.0,106.0,25.0,511.0,109.0,60.0,65.0,167.0,44.0,93.0,89.0,77.0,52.0,73.0,92.0,111.0,15.0,33.0,71.0,134.0,73.0,24.0,122.0,86.0,100.0,108.0,96.0,93.0,187.0,176.0,158.0,85.0,75.0,148.0,46.0,131.0,29.0,77.0,18.0,41.0,25.0,87.0,66.0,79.0,97.0,54.0,24.0,35.0,43.0,60.0,25.0,26.0,129.0,43.0,173.0,55.0,63.0,67.0,77.0,104.0,24.0,105.0,74.0,20.0,33.0,21.0,41.0,31.0,164.0,81.0,57.0,54.0,73.0,50.0,124.0,69.0,48.0,68.0,62.0,44.0,163.0,137.0,37.0,45.0,44.0,98.0,61.0,67.0,129.0,59.0,62.0,42.0,55.0,74.0,37.0,154.0,46.0,64.0,34.0,35.0,33.0,55.0,122.0,28.0,23.0,23.0,44.0,24.0,4.0,86.0,17.0,8.0,62.0,27.0,48.0,71.0,37.0,45.0,23.0,57.0,97.0,150.0,61.0,69.0
경제,562.0,0.0,548.0,639.0,615.0,342.0,397.0,384.0,510.0,398.0,354.0,34.0,159.0,65.0,169.0,391.0,847.0,157.0,221.0,362.0,297.0,337.0,236.0,135.0,82.0,330.0,278.0,191.0,59.0,170.0,81.0,76.0,100.0,141.0,79.0,164.0,327.0,263.0,115.0,180.0,166.0,118.0,53.0,44.0,135.0,33.0,200.0,0.0,173.0,195.0,94.0,154.0,90.0,38.0,84.0,100.0,80.0,112.0,79.0,104.0,96.0,115.0,38.0,103.0,387.0,126.0,18.0,85.0,84.0,183.0,96.0,47.0,59.0,118.0,149.0,97.0,106.0,98.0,123.0,96.0,268.0,22.0,274.0,53.0,118.0,121.0,149.0,19.0,128.0,26.0,49.0,76.0,117.0,36.0,54.0,107.0,37.0,175.0,34.0,57.0,27.0,240.0,128.0,90.0,39.0,15.0,42.0,32.0,25.0,42.0,9.0,73.0,40.0,88.0,35.0,117.0,39.0,93.0,19.0,27.0,55.0,11.0,39.0,93.0,62.0,55.0,52.0,19.0,66.0,56.0,15.0,144.0,22.0,96.0,70.0,31.0,70.0,30.0,45.0,79.0,44.0,101.0,69.0,2.0,33.0,1.0,129.0,62.0,208.0,50.0,70.0,125.0,45.0,81.0,151.0,162.0,52.0,46.0,198.0,36.0,40.0,73.0,64.0,59.0,45.0,37.0,145.0,13.0,20.0,33.0,4.0,64.0,35.0,54.0
정부,858.0,548.0,0.0,124.0,308.0,184.0,187.0,356.0,264.0,228.0,345.0,85.0,507.0,67.0,253.0,165.0,141.0,503.0,82.0,283.0,145.0,163.0,85.0,108.0,88.0,434.0,182.0,97.0,77.0,111.0,38.0,89.0,128.0,177.0,168.0,78.0,148.0,189.0,113.0,84.0,120.0,280.0,100.0,56.0,67.0,68.0,85.0,1.0,265.0,148.0,77.0,176.0,69.0,14.0,133.0,106.0,76.0,49.0,68.0,97.0,83.0,58.0,62.0,77.0,101.0,76.0,9.0,47.0,32.0,102.0,150.0,68.0,81.0,76.0,104.0,123.0,106.0,38.0,29.0,48.0,86.0,82.0,94.0,159.0,63.0,95.0,39.0,39.0,50.0,30.0,99.0,135.0,50.0,58.0,68.0,183.0,50.0,53.0,9.0,19.0,61.0,70.0,72.0,49.0,93.0,8.0,79.0,34.0,185.0,52.0,30.0,96.0,33.0,41.0,57.0,95.0,48.0,68.0,48.0,58.0,79.0,12.0,57.0,85.0,242.0,90.0,61.0,78.0,23.0,46.0,45.0,61.0,78.0,83.0,72.0,82.0,38.0,57.0,57.0,40.0,133.0,70.0,52.0,28.0,96.0,35.0,60.0,134.0,51.0,44.0,58.0,44.0,58.0,65.0,15.0,52.0,69.0,34.0,36.0,36.0,23.0,19.0,95.0,62.0,49.0,45.0,56.0,127.0,36.0,77.0,65.0,51.0,76.0,116.0
세계,181.0,639.0,124.0,0.0,170.0,303.0,306.0,247.0,73.0,223.0,184.0,37.0,42.0,43.0,202.0,136.0,198.0,74.0,290.0,130.0,229.0,55.0,49.0,121.0,76.0,35.0,32.0,82.0,44.0,56.0,31.0,167.0,45.0,43.0,65.0,44.0,156.0,156.0,136.0,132.0,80.0,47.0,26.0,58.0,90.0,26.0,43.0,0.0,31.0,67.0,100.0,77.0,110.0,19.0,20.0,94.0,7.0,42.0,38.0,62.0,42.0,68.0,19.0,94.0,65.0,72.0,14.0,41.0,58.0,73.0,15.0,58.0,28.0,89.0,58.0,33.0,10.0,96.0,95.0,60.0,17.0,124.0,47.0,7.0,54.0,52.0,159.0,55.0,234.0,16.0,19.0,48.0,40.0,54.0,26.0,5.0,24.0,68.0,23.0,60.0,9.0,29.0,26.0,17.0,20.0,63.0,16.0,36.0,5.0,13.0,18.0,87.0,18.0,47.0,66.0,36.0,77.0,89.0,47.0,41.0,37.0,44.0,72.0,29.0,18.0,6.0,260.0,36.0,52.0,60.0,9.0,23.0,19.0,33.0,52.0,17.0,42.0,13.0,31.0,58.0,5.0,36.0,173.0,4.0,24.0,14.0,40.0,31.0,135.0,71.0,34.0,19.0,6.0,18.0,119.0,72.0,8.0,77.0,126.0,22.0,118.0,90.0,16.0,73.0,3.0,9.0,79.0,3.0,190.0,2.0,40.0,21.0,21.0,27.0
협력,216.0,615.0,308.0,170.0,0.0,386.0,421.0,213.0,191.0,300.0,267.0,43.0,131.0,56.0,35.0,264.0,109.0,117.0,114.0,84.0,152.0,197.0,697.0,181.0,200.0,141.0,55.0,222.0,33.0,274.0,40.0,188.0,63.0,379.0,57.0,126.0,98.0,86.0,310.0,410.0,76.0,182.0,66.0,37.0,89.0,29.0,62.0,0.0,137.0,42.0,66.0,157.0,202.0,5.0,71.0,36.0,204.0,141.0,151.0,87.0,84.0,105.0,11.0,99.0,47.0,76.0,13.0,211.0,207.0,86.0,67.0,229.0,37.0,73.0,78.0,50.0,10.0,91.0,23.0,61.0,32.0,95.0,78.0,65.0,104.0,71.0,15.0,16.0,38.0,57.0,141.0,45.0,38.0,50.0,93.0,19.0,63.0,57.0,50.0,18.0,69.0,22.0,19.0,213.0,66.0,35.0,39.0,33.0,121.0,51.0,50.0,39.0,14.0,101.0,44.0,84.0,13.0,33.0,12.0,127.0,54.0,12.0,51.0,19.0,32.0,23.0,17.0,4.0,37.0,26.0,23.0,2.0,51.0,59.0,42.0,48.0,112.0,12.0,8.0,40.0,12.0,43.0,30.0,6.0,59.0,11.0,106.0,37.0,33.0,24.0,103.0,94.0,47.0,11.0,52.0,53.0,85.0,111.0,56.0,17.0,42.0,82.0,23.0,34.0,61.0,28.0,27.0,77.0,14.0,24.0,4.0,18.0,34.0,39.0
평화,334.0,342.0,184.0,303.0,386.0,0.0,236.0,110.0,138.0,9.0,8.0,50.0,25.0,47.0,123.0,126.0,36.0,204.0,116.0,34.0,22.0,95.0,100.0,1347.0,185.0,58.0,2.0,82.0,43.0,22.0,76.0,11.0,56.0,37.0,70.0,72.0,33.0,10.0,202.0,18.0,7.0,77.0,103.0,112.0,153.0,64.0,110.0,0.0,36.0,38.0,83.0,21.0,33.0,13.0,34.0,22.0,116.0,63.0,259.0,93.0,46.0,82.0,15.0,14.0,12.0,30.0,10.0,115.0,614.0,35.0,16.0,152.0,36.0,54.0,44.0,53.0,0.0,46.0,86.0,74.0,22.0,3.0,50.0,14.0,93.0,20.0,2.0,31.0,1.0,18.0,21.0,49.0,53.0,69.0,33.0,1.0,131.0,0.0,47.0,136.0,140.0,11.0,10.0,55.0,22.0,261.0,22.0,36.0,1.0,18.0,110.0,16.0,18.0,8.0,43.0,16.0,17.0,8.0,17.0,8.0,103.0,2.0,24.0,0.0,24.0,10.0,8.0,35.0,112.0,27.0,3.0,0.0,26.0,91.0,5.0,3.0,30.0,10.0,58.0,64.0,2.0,0.0,4.0,6.0,4.0,4.0,49.0,23.0,24.0,18.0,123.0,163.0,8.0,2.0,11.0,1.0,20.0,11.0,0.0,15.0,0.0,7.0,0.0,27.0,69.0,50.0,12.0,2.0,19.0,6.0,0.0,22.0,12.0,77.0
한국,257.0,397.0,187.0,306.0,421.0,236.0,0.0,227.0,138.0,122.0,220.0,65.0,147.0,39.0,29.0,221.0,161.0,124.0,128.0,76.0,106.0,71.0,158.0,73.0,117.0,138.0,35.0,82.0,26.0,83.0,27.0,111.0,62.0,86.0,21.0,118.0,66.0,64.0,133.0,108.0,135.0,137.0,78.0,69.0,58.0,50.0,70.0,0.0,108.0,26.0,44.0,58.0,138.0,8.0,4.0,81.0,104.0,75.0,14.0,32.0,35.0,78.0,32.0,39.0,56.0,35.0,3.0,264.0,122.0,44.0,31.0,69.0,34.0,78.0,66.0,46.0,28.0,121.0,68.0,40.0,9.0,73.0,65.0,5.0,73.0,29.0,30.0,18.0,48.0,98.0,75.0,70.0,44.0,40.0,48.0,9.0,56.0,55.0,27.0,186.0,36.0,27.0,24.0,41.0,75.0,40.0,33.0,25.0,13.0,38.0,16.0,42.0,17.0,61.0,122.0,54.0,12.0,41.0,7.0,42.0,20.0,19.0,36.0,57.0,20.0,14.0,43.0,15.0,42.0,26.0,11.0,17.0,63.0,31.0,16.0,16.0,37.0,13.0,29.0,33.0,6.0,34.0,32.0,14.0,18.0,8.0,37.0,10.0,28.0,50.0,38.0,13.0,5.0,7.0,42.0,49.0,27.0,53.0,52.0,61.0,50.0,56.0,16.0,39.0,17.0,23.0,42.0,11.0,70.0,3.0,14.0,10.0,10.0,14.0
국가,484.0,384.0,356.0,247.0,213.0,110.0,227.0,0.0,174.0,153.0,60.0,38.0,109.0,42.0,143.0,329.0,183.0,86.0,181.0,222.0,98.0,149.0,32.0,50.0,58.0,172.0,56.0,117.0,31.0,85.0,38.0,110.0,57.0,125.0,93.0,116.0,119.0,82.0,76.0,56.0,67.0,61.0,48.0,43.0,89.0,39.0,99.0,0.0,128.0,32.0,62.0,97.0,77.0,34.0,55.0,72.0,44.0,34.0,2.0,57.0,69.0,45.0,34.0,72.0,51.0,63.0,13.0,97.0,77.0,80.0,56.0,43.0,33.0,44.0,318.0,93.0,27.0,36.0,42.0,42.0,21.0,73.0,73.0,13.0,41.0,29.0,19.0,9.0,19.0,26.0,49.0,109.0,38.0,34.0,28.0,13.0,16.0,72.0,14.0,24.0,2.0,79.0,28.0,39.0,37.0,12.0,22.0,22.0,58.0,29.0,6.0,119.0,15.0,36.0,22.0,181.0,28.0,46.0,43.0,28.0,42.0,11.0,39.0,115.0,17.0,30.0,52.0,67.0,25.0,34.0,47.0,27.0,34.0,21.0,21.0,46.0,23.0,22.0,34.0,45.0,51.0,12.0,51.0,71.0,49.0,45.0,42.0,67.0,186.0,49.0,36.0,78.0,8.0,19.0,28.0,49.0,36.0,67.0,38.0,46.0,20.0,34.0,12.0,34.0,13.0,17.0,86.0,53.0,35.0,35.0,13.0,21.0,42.0,17.0
사회,271.0,510.0,264.0,73.0,191.0,138.0,138.0,174.0,0.0,64.0,140.0,35.0,118.0,27.0,76.0,172.0,115.0,193.0,60.0,89.0,91.0,159.0,27.0,79.0,57.0,92.0,123.0,82.0,25.0,80.0,56.0,24.0,74.0,142.0,70.0,44.0,84.0,59.0,551.0,81.0,38.0,71.0,18.0,25.0,54.0,33.0,79.0,1.0,73.0,26.0,44.0,78.0,36.0,21.0,67.0,29.0,44.0,61.0,26.0,116.0,68.0,98.0,58.0,66.0,29.0,116.0,2.0,12.0,36.0,66.0,58.0,32.0,18.0,25.0,159.0,98.0,117.0,83.0,62.0,47.0,172.0,14.0,66.0,21.0,77.0,26.0,1.0,103.0,15.0,5.0,11.0,62.0,22.0,28.0,37.0,39.0,85.0,98.0,24.0,26.0,96.0,81.0,21.0,37.0,55.0,12.0,27.0,24.0,22.0,54.0,7.0,38.0,31.0,24.0,38.0,25.0,20.0,28.0,105.0,20.0,100.0,19.0,21.0,72.0,23.0,56.0,9.0,8.0,22.0,23.0,27.0,28.0,15.0,30.0,44.0,40.0,59.0,14.0,18.0,78.0,13.0,16.0,25.0,25.0,37.0,7.0,34.0,51.0,31.0,16.0,48.0,27.0,25.0,15.0,8.0,51.0,29.0,56.0,5.0,28.0,8.0,28.0,11.0,19.0,96.0,38.0,11.0,23.0,4.0,40.0,2.0,30.0,14.0,46.0
산업,112.0,398.0,228.0,223.0,300.0,9.0,122.0,153.0,64.0,0.0,226.0,11.0,190.0,33.0,78.0,212.0,327.0,71.0,35.0,453.0,33.0,177.0,118.0,1.0,7.0,105.0,160.0,301.0,13.0,146.0,11.0,297.0,31.0,160.0,76.0,14.0,71.0,6.0,42.0,315.0,182.0,111.0,16.0,12.0,243.0,4.0,33.0,0.0,105.0,13.0,39.0,126.0,110.0,13.0,53.0,24.0,14.0,54.0,0.0,27.0,61.0,65.0,18.0,150.0,31.0,92.0,8.0,16.0,11.0,22.0,53.0,61.0,9.0,26.0,31.0,41.0,45.0,35.0,3.0,26.0,31.0,13.0,70.0,14.0,45.0,29.0,124.0,4.0,64.0,20.0,61.0,22.0,74.0,6.0,28.0,42.0,0.0,137.0,6.0,6.0,2.0,93.0,50.0,42.0,17.0,2.0,20.0,19.0,13.0,22.0,3.0,72.0,8.0,134.0,15.0,146.0,23.0,49.0,13.0,64.0,18.0,9.0,443.0,39.0,8.0,29.0,40.0,4.0,15.0,52.0,13.0,10.0,11.0,19.0,20.0,15.0,32.0,49.0,10.0,59.0,41.0,65.0,33.0,2.0,41.0,2.0,98.0,29.0,125.0,21.0,78.0,17.0,7.0,120.0,27.0,80.0,29.0,33.0,120.0,23.0,52.0,35.0,12.0,12.0,5.0,21.0,72.0,6.0,31.0,19.0,0.0,6.0,17.0,17.0
