,국민,정부,경제,생각,문제,사회,발전,한국,사람,대통령,협력,지금,세계,나라,국가,평화,정책,말씀,정치,감사,역사,기업,노력,시장,참여,시대,관계,지역,기술,혁신,이제,축하,민주주의,성공,모두,문화,투자,오늘,성장,해결,중요,개혁,미래,존경,산업,추진,필요,동북아,수준,지방,언론,얘기,자리,지원,양국,각하,제도,번영,가장,전략,분야,대화,동안,이번,적극,교육,국회,자유,경쟁력,미국,국제,정상,기대,개발,가능,한반도,확대,대한민국,중심,권력,통합,다음,신뢰,시민,안정,회담,남북,과학,기회,변화,귀빈,균형,진심,책임,경쟁,지속,북한,도시,선거,사실,환경,합의,정보,일본,역할,기원,서로,위기,사업,원칙,최선,과제,강화,이상,과정,투명,계속,공동,물론,역량,올해,내외,결과,북핵,건강,공정,희망,상황,극복,마음,구조,평가,안보,전쟁,질서,가치,지도자,관리,중국,관심,이후,건설,스스로,성과,계획,개방,대학,타협,중소기업,교류,기여,인사,국정,회의,준비,시간,갈등,메시지,정말,복지,조금,민주,연구,서비스,방문
국민,0.0,439.0,216.0,310.0,198.0,194.0,158.0,154.0,122.0,244.0,74.0,52.0,96.0,233.0,179.0,154.0,169.0,148.0,255.0,112.0,129.0,52.0,120.0,55.0,193.0,206.0,71.0,46.0,27.0,36.0,14.0,65.0,119.0,81.0,127.0,55.0,32.0,70.0,65.0,47.0,84.0,106.0,85.0,285.0,26.0,63.0,97.0,64.0,74.0,23.0,79.0,43.0,84.0,26.0,66.0,107.0,77.0,76.0,1.0,31.0,26.0,37.0,62.0,38.0,58.0,48.0,150.0,55.0,36.0,38.0,18.0,41.0,70.0,16.0,40.0,40.0,38.0,53.0,25.0,86.0,121.0,25.0,112.0,60.0,55.0,21.0,23.0,24.0,51.0,31.0,59.0,41.0,44.0,53.0,24.0,35.0,32.0,30.0,73.0,32.0,29.0,60.0,39.0,91.0,38.0,16.0,13.0,37.0,9.0,27.0,41.0,37.0,19.0,34.0,45.0,46.0,19.0,19.0,4.0,83.0,34.0,44.0,51.0,16.0,60.0,40.0,60.0,31.0,62.0,63.0,23.0,41.0,37.0,32.0,26.0,15.0,54.0,13.0,21.0,57.0,37.0,25.0,11.0,25.0,18.0,22.0,6.0,16.0,3.0,36.0,20.0,47.0,58.0,21.0,20.0,16.0,39.0,13.0,0.0,48.0,9.0,44.0,13.0,50.0,39.0
정부,439.0,0.0,233.0,227.0,248.0,186.0,212.0,178.0,130.0,227.0,156.0,58.0,84.0,103.0,136.0,159.0,374.0,112.0,105.0,37.0,41.0,126.0,227.0,104.0,904.0,96.0,98.0,65.0,80.0,256.0,8.0,8.0,45.0,57.0,31.0,75.0,90.0,42.0,72.0,121.0,45.0,137.0,38.0,51.0,53.0,177.0,59.0,57.0,64.0,132.0,119.0,70.0,39.0,160.0,27.0,24.0,62.0,61.0,0.0,100.0,43.0,65.0,68.0,46.0,109.0,34.0,106.0,37.0,46.0,59.0,41.0,45.0,29.0,53.0,54.0,57.0,51.0,48.0,40.0,50.0,25.0,171.0,59.0,35.0,52.0,37.0,44.0,44.0,23.0,45.0,16.0,94.0,9.0,102.0,30.0,68.0,54.0,30.0,49.0,53.0,36.0,41.0,47.0,57.0,42.0,1.0,15.0,46.0,57.0,54.0,145.0,74.0,32.0,30.0,37.0,75.0,22.0,34.0,1.0,35.0,30.0,16.0,28.0,31.0,20.0,47.0,22.0,45.0,28.0,19.0,40.0,38.0,26.0,10.0,9.0,45.0,14.0,61.0,11.0,31.0,74.0,33.0,7.0,52.0,62.0,27.0,23.0,36.0,25.0,23.0,13.0,25.0,138.0,15.0,43.0,21.0,26.0,4.0,0.0,74.0,9.0,34.0,26.0,43.0,10.0
경제,216.0,233.0,0.0,169.0,209.0,267.0,339.0,381.0,127.0,121.0,385.0,60.0,326.0,165.0,157.0,134.0,216.0,106.0,136.0,27.0,27.0,121.0,73.0,294.0,87.0,113.0,120.0,129.0,91.0,142.0,26.0,21.0,134.0,110.0,30.0,109.0,124.0,34.0,357.0,59.0,93.0,109.0,83.0,94.0,84.0,75.0,54.0,175.0,79.0,23.0,18.0,82.0,65.0,42.0,164.0,42.0,32.0,62.0,0.0,73.0,98.0,25.0,44.0,56.0,61.0,32.0,14.0,100.0,78.0,38.0,55.0,51.0,45.0,70.0,56.0,60.0,84.0,30.0,139.0,9.0,63.0,30.0,22.0,17.0,125.0,25.0,59.0,34.0,73.0,37.0,22.0,35.0,6.0,17.0,42.0,115.0,47.0,21.0,4.0,27.0,74.0,35.0,26.0,56.0,45.0,11.0,20.0,151.0,33.0,51.0,26.0,21.0,67.0,35.0,31.0,59.0,22.0,55.0,5.0,22.0,19.0,20.0,35.0,19.0,11.0,59.0,29.0,45.0,43.0,18.0,67.0,36.0,53.0,42.0,30.0,33.0,86.0,46.0,43.0,24.0,59.0,39.0,4.0,34.0,36.0,82.0,10.0,5.0,48.0,48.0,55.0,10.0,18.0,43.0,24.0,16.0,13.0,4.0,0.0,35.0,6.0,25.0,19.0,19.0,29.0
생각,310.0,227.0,169.0,0.0,321.0,193.0,113.0,160.0,263.0,285.0,121.0,83.0,65.0,113.0,106.0,75.0,113.0,118.0,165.0,42.0,106.0,105.0,87.0,77.0,104.0,73.0,112.0,43.0,61.0,38.0,14.0,7.0,99.0,81.0,54.0,65.0,51.0,69.0,41.0,87.0,152.0,62.0,75.0,42.0,27.0,23.0,97.0,23.0,52.0,39.0,58.0,68.0,82.0,16.0,61.0,33.0,46.0,18.0,0.0,56.0,25.0,59.0,28.0,50.0,21.0,30.0,63.0,34.0,32.0,37.0,43.0,48.0,23.0,14.0,63.0,27.0,20.0,31.0,19.0,34.0,28.0,53.0,52.0,45.0,31.0,40.0,28.0,34.0,57.0,59.0,31.0,22.0,4.0,61.0,25.0,19.0,35.0,24.0,46.0,50.0,26.0,49.0,33.0,33.0,31.0,1.0,16.0,25.0,35.0,32.0,20.0,38.0,7.0,29.0,50.0,23.0,8.0,27.0,2.0,29.0,18.0,24.0,52.0,29.0,8.0,18.0,17.0,38.0,21.0,33.0,36.0,40.0,21.0,14.0,20.0,47.0,40.0,16.0,21.0,22.0,41.0,16.0,12.0,41.0,21.0,29.0,14.0,33.0,8.0,19.0,19.0,20.0,57.0,29.0,14.0,28.0,33.0,3.0,0.0,8.0,9.0,22.0,21.0,13.0,36.0
문제,198.0,248.0,209.0,321.0,0.0,198.0,82.0,169.0,126.0,282.0,147.0,62.0,33.0,78.0,77.0,429.0,131.0,141.0,157.0,8.0,65.0,54.0,108.0,70.0,87.0,69.0,158.0,40.0,26.0,14.0,15.0,0.0,20.0,40.0,39.0,36.0,26.0,29.0,34.0,735.0,112.0,63.0,65.0,46.0,21.0,55.0,77.0,81.0,28.0,16.0,55.0,84.0,36.0,25.0,43.0,9.0,59.0,75.0,0.0,34.0,15.0,145.0,44.0,34.0,73.0,41.0,74.0,39.0,12.0,82.0,73.0,75.0,46.0,11.0,42.0,162.0,10.0,8.0,10.0,21.0,20.0,55.0,36.0,11.0,65.0,108.0,83.0,6.0,23.0,22.0,8.0,32.0,2.0,54.0,30.0,47.0,224.0,9.0,40.0,37.0,48.0,101.0,25.0,132.0,45.0,1.0,14.0,44.0,10.0,47.0,24.0,60.0,27.0,27.0,54.0,36.0,11.0,66.0,2.0,17.0,12.0,4.0,25.0,384.0,6.0,23.0,34.0,58.0,31.0,18.0,63.0,35.0,58.0,37.0,20.0,17.0,22.0,47.0,28.0,54.0,46.0,8.0,5.0,9.0,25.0,39.0,13.0,44.0,12.0,22.0,15.0,20.0,61.0,10.0,14.0,17.0,65.0,4.0,0.0,9.0,10.0,4.0,12.0,6.0,23.0
사회,194.0,186.0,267.0,193.0,198.0,0.0,150.0,113.0,222.0,72.0,80.0,44.0,61.0,94.0,151.0,87.0,124.0,73.0,123.0,13.0,35.0,103.0,112.0,129.0,92.0,72.0,46.0,57.0,46.0,95.0,7.0,4.0,130.0,87.0,50.0,142.0,140.0,18.0,98.0,69.0,78.0,68.0,52.0,39.0,27.0,44.0,91.0,30.0,74.0,13.0,90.0,33.0,14.0,57.0,13.0,11.0,67.0,37.0,1.0,72.0,61.0,79.0,22.0,15.0,49.0,67.0,10.0,58.0,61.0,24.0,186.0,18.0,32.0,19.0,60.0,25.0,44.0,15.0,24.0,53.0,131.0,29.0,103.0,113.0,53.0,13.0,3.0,34.0,45.0,46.0,6.0,62.0,4.0,69.0,61.0,65.0,67.0,5.0,14.0,12.0,56.0,35.0,44.0,34.0,46.0,7.0,7.0,21.0,15.0,75.0,17.0,46.0,30.0,19.0,41.0,151.0,6.0,23.0,7.0,20.0,11.0,4.0,18.0,14.0,50.0,120.0,39.0,14.0,37.0,6.0,28.0,13.0,14.0,4.0,23.0,45.0,26.0,23.0,11.0,24.0,18.0,16.0,4.0,18.0,19.0,31.0,27.0,53.0,6.0,11.0,45.0,8.0,18.0,6.0,8.0,10.0,83.0,3.0,0.0,100.0,0.0,38.0,13.0,41.0,4.0
발전,158.0,212.0,339.0,113.0,82.0,150.0,0.0,129.0,38.0,49.0,210.0,39.0,133.0,150.0,287.0,113.0,189.0,54.0,74.0,46.0,68.0,60.0,75.0,62.0,90.0,76.0,237.0,248.0,110.0,126.0,20.0,67.0,140.0,64.0,42.0,164.0,63.0,23.0,104.0,38.0,36.0,34.0,77.0,35.0,176.0,98.0,43.0,76.0,24.0,196.0,29.0,4.0,18.0,60.0,126.0,83.0,33.0,64.0,0.0,128.0,37.0,25.0,39.0,47.0,52.0,33.0,20.0,29.0,40.0,14.0,34.0,41.0,50.0,28.0,64.0,27.0,31.0,46.0,62.0,3.0,31.0,21.0,19.0,26.0,39.0,33.0,48.0,59.0,29.0,18.0,45.0,400.0,4.0,16.0,11.0,84.0,26.0,71.0,2.0,9.0,36.0,35.0,35.0,26.0,31.0,130.0,15.0,13.0,51.0,9.0,27.0,34.0,16.0,10.0,38.0,14.0,9.0,32.0,6.0,39.0,22.0,26.0,9.0,13.0,56.0,18.0,17.0,14.0,21.0,6.0,16.0,11.0,26.0,17.0,10.0,32.0,8.0,21.0,23.0,14.0,30.0,42.0,16.0,18.0,46.0,20.0,30.0,8.0,17.0,36.0,85.0,4.0,25.0,15.0,12.0,6.0,19.0,2.0,0.0,23.0,0.0,14.0,20.0,16.0,19.0
한국,154.0,178.0,381.0,160.0,169.0,113.0,129.0,0.0,116.0,128.0,165.0,38.0,194.0,166.0,98.0,179.0,49.0,49.0,88.0,22.0,62.0,127.0,70.0,107.0,63.0,79.0,85.0,48.0,95.0,38.0,9.0,32.0,62.0,95.0,27.0,68.0,121.0,26.0,74.0,85.0,40.0,27.0,77.0,55.0,51.0,56.0,32.0,109.0,65.0,10.0,12.0,31.0,41.0,33.0,50.0,34.0,22.0,73.0,0.0,33.0,45.0,39.0,43.0,34.0,59.0,25.0,24.0,37.0,28.0,106.0,57.0,29.0,45.0,41.0,21.0,71.0,22.0,10.0,32.0,5.0,14.0,11.0,20.0,10.0,34.0,16.0,11.0,37.0,57.0,33.0,36.0,11.0,14.0,30.0,38.0,34.0,86.0,17.0,11.0,25.0,20.0,24.0,32.0,115.0,47.0,10.0,23.0,26.0,28.0,14.0,16.0,26.0,13.0,16.0,21.0,34.0,10.0,43.0,0.0,34.0,27.0,24.0,16.0,21.0,9.0,24.0,33.0,35.0,22.0,21.0,27.0,30.0,20.0,65.0,18.0,14.0,27.0,7.0,69.0,52.0,35.0,28.0,4.0,11.0,23.0,46.0,23.0,17.0,6.0,31.0,43.0,12.0,29.0,7.0,17.0,17.0,19.0,18.0,0.0,13.0,5.0,12.0,20.0,18.0,55.0
사람,122.0,130.0,127.0,263.0,126.0,222.0,38.0,116.0,0.0,159.0,15.0,77.0,37.0,114.0,72.0,30.0,90.0,39.0,108.0,6.0,67.0,63.0,64.0,110.0,63.0,54.0,25.0,23.0,27.0,25.0,4.0,2.0,61.0,118.0,24.0,18.0,53.0,11.0,17.0,29.0,41.0,25.0,18.0,14.0,12.0,9.0,46.0,10.0,38.0,29.0,49.0,122.0,32.0,16.0,2.0,0.0,30.0,7.0,0.0,37.0,11.0,31.0,19.0,10.0,10.0,54.0,28.0,81.0,37.0,28.0,9.0,15.0,11.0,11.0,32.0,15.0,8.0,14.0,12.0,71.0,38.0,29.0,27.0,19.0,14.0,10.0,15.0,8.0,34.0,25.0,3.0,13.0,2.0,31.0,58.0,8.0,27.0,19.0,39.0,32.0,18.0,10.0,25.0,13.0,13.0,0.0,8.0,24.0,13.0,12.0,2.0,8.0,5.0,22.0,22.0,12.0,8.0,10.0,0.0,4.0,6.0,3.0,26.0,6.0,19.0,31.0,27.0,13.0,19.0,16.0,24.0,18.0,6.0,23.0,11.0,30.0,30.0,22.0,16.0,14.0,16.0,7.0,8.0,5.0,6.0,14.0,25.0,16.0,6.0,6.0,4.0,13.0,25.0,1.0,11.0,16.0,23.0,0.0,0.0,23.0,6.0,15.0,17.0,18.0,3.0
대통령,244.0,227.0,121.0,285.0,282.0,72.0,49.0,128.0,159.0,0.0,77.0,47.0,31.0,95.0,94.0,42.0,108.0,113.0,286.0,45.0,30.0,13.0,41.0,14.0,78.0,51.0,74.0,38.0,14.0,40.0,6.0,17.0,41.0,41.0,34.0,28.0,6.0,54.0,15.0,80.0,50.0,37.0,11.0,95.0,8.0,34.0,41.0,11.0,22.0,17.0,60.0,66.0,72.0,7.0,47.0,198.0,46.0,19.0,1.0,28.0,13.0,48.0,45.0,32.0,15.0,10.0,183.0,19.0,3.0,80.0,13.0,70.0,15.0,10.0,56.0,17.0,5.0,30.0,12.0,59.0,17.0,43.0,11.0,13.0,28.0,50.0,18.0,8.0,20.0,27.0,101.0,14.0,29.0,105.0,16.0,9.0,33.0,11.0,232.0,25.0,4.0,41.0,10.0,22.0,12.0,2.0,8.0,22.0,6.0,31.0,7.0,31.0,9.0,26.0,33.0,12.0,4.0,21.0,3.0,4.0,25.0,95.0,23.0,19.0,27.0,15.0,7.0,70.0,8.0,35.0,57.0,22.0,5.0,6.0,2.0,26.0,11.0,27.0,1.0,20.0,90.0,9.0,5.0,9.0,30.0,13.0,11.0,48.0,2.0,9.0,6.0,49.0,188.0,21.0,9.0,21.0,25.0,3.0,0.0,5.0,7.0,25.0,9.0,4.0,52.0
협력,74.0,156.0,385.0,121.0,147.0,80.0,210.0,165.0,15.0,77.0,0.0,28.0,63.0,137.0,111.0,268.0,52.0,19.0,71.0,17.0,32.0,86.0,89.0,32.0,63.0,54.0,227.0,152.0,128.0,29.0,9.0,23.0,13.0,71.0,30.0,90.0,86.0,44.0,30.0,97.0,64.0,19.0,72.0,38.0,57.0,91.0,60.0,130.0,21.0,34.0,14.0,18.0,46.0,51.0,313.0,47.0,27.0,118.0,0.0,26.0,230.0,84.0,17.0,114.0,105.0,21.0,13.0,24.0,11.0,43.0,89.0,97.0,96.0,57.0,48.0,94.0,165.0,3.0,36.0,4.0,57.0,15.0,56.0,8.0,34.0,89.0,127.0,54.0,53.0,5.0,18.0,18.0,13.0,28.0,36.0,45.0,73.0,7.0,0.0,7.0,22.0,66.0,36.0,52.0,39.0,10.0,51.0,1.0,77.0,21.0,18.0,14.0,148.0,6.0,9.0,20.0,8.0,134.0,4.0,23.0,15.0,11.0,16.0,54.0,11.0,7.0,38.0,23.0,11.0,13.0,18.0,5.0,66.0,7.0,80.0,8.0,24.0,5.0,30.0,26.0,22.0,51.0,2.0,25.0,17.0,23.0,33.0,22.0,40.0,162.0,43.0,2.0,25.0,45.0,7.0,7.0,17.0,7.0,0.0,4.0,3.0,3.0,36.0,2.0,54.0
지금,52.0,58.0,60.0,83.0,62.0,44.0,39.0,38.0,77.0,47.0,28.0,0.0,26.0,25.0,35.0,20.0,49.0,39.0,17.0,9.0,25.0,11.0,28.0,22.0,20.0,55.0,38.0,16.0,17.0,13.0,3.0,1.0,17.0,17.0,5.0,11.0,23.0,6.0,13.0,15.0,13.0,22.0,13.0,7.0,8.0,6.0,13.0,8.0,14.0,13.0,13.0,18.0,8.0,5.0,10.0,9.0,20.0,3.0,0.0,13.0,11.0,11.0,9.0,7.0,8.0,17.0,12.0,11.0,15.0,13.0,12.0,7.0,5.0,6.0,12.0,6.0,7.0,10.0,9.0,12.0,10.0,15.0,6.0,4.0,16.0,10.0,10.0,5.0,14.0,24.0,3.0,9.0,2.0,9.0,11.0,9.0,9.0,3.0,7.0,10.0,7.0,7.0,9.0,3.0,16.0,0.0,3.0,16.0,6.0,4.0,1.0,8.0,3.0,8.0,7.0,5.0,19.0,5.0,3.0,7.0,1.0,3.0,9.0,9.0,3.0,4.0,1.0,24.0,13.0,7.0,11.0,8.0,11.0,6.0,11.0,7.0,5.0,11.0,3.0,4.0,8.0,7.0,2.0,10.0,3.0,5.0,9.0,2.0,8.0,5.0,8.0,1.0,4.0,1.0,12.0,7.0,8.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,6.0
세계,96.0,84.0,326.0,65.0,33.0,61.0,133.0,194.0,37.0,31.0,63.0,26.0,0.0,232.0,132.0,163.0,17.0,21.0,22.0,8.0,70.0,77.0,44.0,141.0,30.0,97.0,18.0,74.0,115.0,47.0,14.0,44.0,79.0,61.0,26.0,86.0,33.0,18.0,105.0,19.0,23.0,9.0,46.0,51.0,92.0,25.0,16.0,82.0,137.0,6.0,13.0,8.0,35.0,22.0,31.0,19.0,10.0,56.0,0.0,24.0,56.0,4.0,16.0,23.0,26.0,22.0,5.0,43.0,74.0,49.0,42.0,18.0,29.0,53.0,16.0,37.0,17.0,81.0,54.0,6.0,18.0,9.0,13.0,18.0,38.0,3.0,11.0,46.0,24.0,30.0,30.0,1.0,25.0,4.0,71.0,18.0,6.0,63.0,5.0,23.0,28.0,13.0,83.0,27.0,24.0,16.0,5.0,14.0,7.0,1.0,7.0,8.0,11.0,24.0,14.0,15.0,6.0,23.0,1.0,26.0,10.0,26.0,20.0,2.0,9.0,9.0,6.0,19.0,13.0,13.0,11.0,33.0,15.0,39.0,59.0,18.0,22.0,5.0,29.0,12.0,15.0,22.0,5.0,11.0,8.0,39.0,43.0,3.0,3.0,15.0,63.0,6.0,6.0,19.0,11.0,3.0,3.0,20.0,0.0,10.0,2.0,20.0,21.0,27.0,6.0
나라,233.0,103.0,165.0,113.0,78.0,94.0,150.0,166.0,114.0,95.0,137.0,25.0,232.0,0.0,78.0,103.0,32.0,24.0,68.0,23.0,80.0,84.0,38.0,58.0,20.0,38.0,82.0,32.0,61.0,18.0,6.0,6.0,99.0,87.0,29.0,62.0,53.0,26.0,38.0,30.0,30.0,26.0,54.0,38.0,31.0,27.0,24.0,29.0,65.0,16.0,16.0,37.0,22.0,25.0,41.0,103.0,21.0,85.0,0.0,9.0,37.0,17.0,23.0,16.0,22.0,49.0,9.0,42.0,40.0,44.0,36.0,20.0,22.0,11.0,13.0,24.0,27.0,37.0,12.0,14.0,9.0,11.0,18.0,15.0,27.0,13.0,6.0,20.0,37.0,18.0,57.0,13.0,8.0,11.0,25.0,18.0,30.0,14.0,23.0,26.0,17.0,8.0,28.0,52.0,20.0,16.0,19.0,18.0,7.0,8.0,15.0,10.0,13.0,11.0,22.0,18.0,9.0,30.0,2.0,9.0,7.0,27.0,6.0,7.0,67.0,24.0,25.0,16.0,11.0,15.0,3.0,22.0,19.0,30.0,18.0,13.0,33.0,5.0,22.0,11.0,33.0,13.0,10.0,2.0,6.0,18.0,6.0,6.0,5.0,24.0,28.0,2.0,12.0,5.0,6.0,7.0,12.0,2.0,0.0,16.0,1.0,24.0,14.0,12.0,28.0
