,사람,나라,정부,대통령,지금,세계,자유,한국,미국,국가,생각,국민,담화,문제,민중,박사,이승만,민족,국회,전쟁,목적,동포,일본,통일,노력,공산,평화,결심,정신,경제,동안,민주,공산당,보호,발전,우방,원조,정당,주의,오늘,각각,주장,물건,민국,우리나라,선거,성공,침략,사실,한인,공보실,이번,청년,전국,단체,민간,관계,독립,마음,필요,국군,정책,공보처,준비,외국,서로,군인,결과,조직,얼마,가장,세력,정치,기회,형편,계획,진행,농민,행동,직책,책임,분자,생활,이북,역사,자리,애국,이익,개인,시작,운동,감사,일반,동시,해결,희생,소련,재정,계속,대표,권리,투표,의도,파괴,만일,안전,남녀,방면,작정,보장,물자,전체,지도자,진전,영광,공산군,까닭,생명,각오,제도,장군,공산주의,회복,지방,의원,신문,선전,상당,처음,지지,이상,민주주의,먼저,표시,복리,협의,물론,투쟁,반대,대한민국,사업,세상,군사,공동,이후,도움,건설,일인,방식,친구,조건,국제,치하,위험,공포,곤란,헌법,조사,정복,중국,자유당,희망,이유
사람,0.0,2365.0,1549.0,326.0,578.0,606.0,570.0,428.0,497.0,579.0,981.0,338.0,33.0,315.0,844.0,25.0,4.0,472.0,473.0,342.0,615.0,336.0,326.0,284.0,474.0,151.0,136.0,414.0,353.0,441.0,339.0,315.0,354.0,404.0,481.0,263.0,234.0,440.0,357.0,121.0,6.0,354.0,677.0,214.0,387.0,403.0,258.0,68.0,209.0,446.0,0.0,345.0,213.0,301.0,357.0,484.0,301.0,135.0,259.0,194.0,111.0,176.0,4.0,164.0,354.0,0.0,329.0,213.0,286.0,392.0,0.0,340.0,248.0,261.0,303.0,245.0,250.0,248.0,190.0,302.0,262.0,187.0,390.0,115.0,134.0,368.0,230.0,433.0,228.0,223.0,195.0,90.0,141.0,152.0,129.0,189.0,87.0,383.0,73.0,224.0,287.0,439.0,230.0,129.0,110.0,90.0,168.0,295.0,205.0,51.0,200.0,202.0,163.0,246.0,164.0,63.0,302.0,145.0,212.0,215.0,75.0,70.0,82.0,283.0,154.0,224.0,181.0,289.0,154.0,214.0,120.0,62.0,3.0,120.0,205.0,138.0,83.0,82.0,163.0,24.0,176.0,247.0,74.0,93.0,158.0,196.0,115.0,222.0,238.0,126.0,122.0,41.0,98.0,117.0,130.0,200.0,93.0,226.0,49.0,80.0,212.0,116.0,149.0
나라,2365.0,0.0,715.0,138.0,305.0,678.0,539.0,318.0,390.0,481.0,537.0,271.0,17.0,169.0,483.0,7.0,0.0,367.0,179.0,303.0,360.0,184.0,283.0,242.0,218.0,208.0,167.0,294.0,301.0,261.0,233.0,303.0,279.0,434.0,308.0,254.0,156.0,315.0,179.0,87.0,1.0,232.0,307.0,126.0,327.0,116.0,130.0,198.0,71.0,176.0,0.0,125.0,239.0,147.0,149.0,139.0,133.0,192.0,137.0,95.0,125.0,104.0,0.0,101.0,191.0,3.0,200.0,122.0,92.0,174.0,2.0,219.0,157.0,118.0,149.0,72.0,88.0,79.0,75.0,280.0,112.0,122.0,138.0,86.0,208.0,133.0,177.0,164.0,126.0,132.0,110.0,86.0,85.0,87.0,69.0,191.0,117.0,168.0,46.0,75.0,165.0,153.0,92.0,90.0,54.0,83.0,103.0,144.0,81.0,56.0,122.0,82.0,88.0,115.0,179.0,95.0,162.0,124.0,151.0,120.0,35.0,32.0,96.0,60.0,56.0,119.0,85.0,103.0,78.0,140.0,47.0,67.0,1.0,49.0,123.0,65.0,58.0,78.0,63.0,12.0,84.0,113.0,87.0,43.0,73.0,102.0,69.0,161.0,86.0,54.0,35.0,52.0,81.0,94.0,33.0,82.0,71.0,30.0,85.0,67.0,88.0,54.0,56.0
정부,1549.0,715.0,0.0,498.0,284.0,216.0,378.0,341.0,464.0,425.0,340.0,363.0,27.0,365.0,775.0,8.0,3.0,289.0,647.0,167.0,284.0,230.0,219.0,201.0,347.0,172.0,81.0,151.0,138.0,372.0,242.0,361.0,170.0,307.0,262.0,161.0,243.0,207.0,198.0,38.0,3.0,254.0,295.0,380.0,112.0,217.0,115.0,56.0,201.0,132.0,0.0,197.0,61.0,163.0,220.0,618.0,247.0,107.0,73.0,195.0,72.0,264.0,5.0,144.0,130.0,1.0,122.0,153.0,224.0,240.0,2.0,146.0,139.0,154.0,196.0,251.0,287.0,399.0,98.0,142.0,239.0,255.0,192.0,168.0,59.0,111.0,119.0,280.0,189.0,114.0,135.0,67.0,197.0,156.0,162.0,86.0,68.0,256.0,36.0,128.0,140.0,159.0,191.0,107.0,31.0,50.0,75.0,123.0,185.0,91.0,197.0,112.0,75.0,114.0,19.0,36.0,122.0,62.0,72.0,140.0,41.0,14.0,87.0,128.0,129.0,94.0,169.0,194.0,69.0,178.0,103.0,67.0,0.0,76.0,119.0,162.0,70.0,70.0,169.0,103.0,131.0,35.0,73.0,75.0,135.0,114.0,80.0,80.0,142.0,33.0,157.0,82.0,36.0,84.0,123.0,167.0,119.0,167.0,12.0,64.0,54.0,54.0,117.0
대통령,326.0,138.0,498.0,0.0,89.0,80.0,81.0,111.0,201.0,139.0,110.0,117.0,922.0,184.0,232.0,865.0,913.0,61.0,700.0,36.0,55.0,81.0,32.0,79.0,49.0,41.0,33.0,44.0,30.0,49.0,64.0,112.0,45.0,46.0,16.0,32.0,49.0,92.0,51.0,12.0,3.0,87.0,7.0,102.0,18.0,221.0,34.0,32.0,90.0,16.0,453.0,73.0,16.0,51.0,28.0,38.0,51.0,15.0,33.0,34.0,24.0,81.0,415.0,16.0,25.0,0.0,5.0,38.0,92.0,45.0,0.0,21.0,71.0,34.0,49.0,26.0,39.0,8.0,23.0,15.0,199.0,53.0,10.0,35.0,8.0,36.0,13.0,8.0,47.0,14.0,49.0,37.0,64.0,37.0,25.0,16.0,20.0,28.0,13.0,87.0,90.0,103.0,118.0,20.0,15.0,24.0,11.0,9.0,48.0,44.0,14.0,19.0,20.0,13.0,10.0,14.0,39.0,5.0,26.0,52.0,27.0,5.0,7.0,40.0,92.0,58.0,31.0,27.0,14.0,41.0,36.0,16.0,1.0,43.0,18.0,75.0,13.0,9.0,61.0,68.0,13.0,23.0,21.0,18.0,18.0,16.0,7.0,8.0,28.0,8.0,95.0,12.0,20.0,25.0,59.0,22.0,123.0,45.0,2.0,11.0,55.0,17.0,36.0
지금,578.0,305.0,284.0,89.0,0.0,205.0,149.0,107.0,150.0,144.0,138.0,80.0,18.0,89.0,114.0,3.0,2.0,89.0,99.0,93.0,87.0,74.0,84.0,80.0,120.0,43.0,64.0,112.0,47.0,135.0,89.0,59.0,55.0,68.0,75.0,87.0,80.0,72.0,33.0,20.0,2.0,67.0,94.0,53.0,70.0,36.0,68.0,34.0,50.0,77.0,0.0,50.0,40.0,54.0,56.0,61.0,41.0,41.0,43.0,25.0,57.0,59.0,2.0,84.0,53.0,0.0,69.0,75.0,66.0,77.0,1.0,54.0,33.0,48.0,67.0,51.0,82.0,58.0,27.0,19.0,40.0,39.0,58.0,42.0,30.0,40.0,37.0,77.0,41.0,51.0,27.0,21.0,34.0,34.0,48.0,33.0,40.0,70.0,23.0,40.0,32.0,29.0,37.0,41.0,19.0,29.0,32.0,51.0,42.0,21.0,58.0,42.0,25.0,47.0,29.0,31.0,49.0,23.0,34.0,15.0,16.0,17.0,35.0,38.0,23.0,30.0,22.0,37.0,31.0,17.0,24.0,16.0,0.0,25.0,43.0,33.0,17.0,18.0,19.0,8.0,34.0,40.0,14.0,22.0,39.0,27.0,34.0,41.0,35.0,17.0,28.0,23.0,34.0,22.0,21.0,34.0,22.0,36.0,32.0,15.0,43.0,20.0,28.0
세계,606.0,678.0,216.0,80.0,205.0,0.0,471.0,215.0,247.0,395.0,170.0,102.0,17.0,111.0,82.0,7.0,1.0,248.0,28.0,252.0,134.0,124.0,84.0,151.0,94.0,221.0,302.0,168.0,115.0,64.0,108.0,196.0,206.0,79.0,74.0,176.0,74.0,24.0,110.0,61.0,2.0,93.0,48.0,59.0,85.0,25.0,75.0,143.0,44.0,90.0,0.0,48.0,73.0,45.0,45.0,21.0,52.0,80.0,74.0,38.0,98.0,85.0,1.0,105.0,49.0,0.0,52.0,76.0,43.0,73.0,5.0,77.0,43.0,80.0,89.0,49.0,32.0,34.0,50.0,57.0,36.0,56.0,57.0,82.0,92.0,42.0,60.0,24.0,46.0,74.0,60.0,39.0,20.0,64.0,63.0,73.0,141.0,39.0,40.0,29.0,51.0,9.0,44.0,55.0,33.0,90.0,48.0,53.0,34.0,58.0,42.0,37.0,66.0,49.0,66.0,60.0,54.0,61.0,84.0,24.0,12.0,86.0,69.0,12.0,4.0,44.0,60.0,20.0,38.0,35.0,30.0,85.0,1.0,44.0,39.0,32.0,21.0,45.0,17.0,36.0,16.0,56.0,40.0,41.0,29.0,33.0,28.0,20.0,27.0,26.0,5.0,45.0,25.0,33.0,33.0,9.0,8.0,11.0,192.0,47.0,8.0,34.0,27.0
자유,570.0,539.0,378.0,81.0,149.0,471.0,0.0,191.0,216.0,625.0,163.0,208.0,9.0,76.0,180.0,2.0,0.0,194.0,80.0,138.0,168.0,116.0,42.0,162.0,81.0,167.0,161.0,169.0,127.0,33.0,92.0,250.0,157.0,267.0,89.0,118.0,45.0,98.0,93.0,30.0,1.0,104.0,11.0,139.0,57.0,109.0,63.0,113.0,46.0,53.0,0.0,45.0,51.0,37.0,86.0,67.0,44.0,195.0,42.0,44.0,31.0,64.0,0.0,49.0,26.0,0.0,54.0,58.0,74.0,40.0,2.0,108.0,77.0,45.0,49.0,31.0,34.0,68.0,74.0,75.0,42.0,69.0,38.0,62.0,37.0,44.0,58.0,39.0,91.0,41.0,54.0,38.0,37.0,81.0,37.0,101.0,76.0,15.0,30.0,35.0,165.0,65.0,40.0,42.0,34.0,69.0,62.0,18.0,22.0,110.0,12.0,42.0,53.0,31.0,41.0,53.0,30.0,92.0,65.0,51.0,13.0,77.0,74.0,34.0,26.0,35.0,63.0,34.0,31.0,63.0,32.0,115.0,0.0,42.0,79.0,34.0,18.0,64.0,28.0,38.0,9.0,33.0,26.0,50.0,16.0,23.0,24.0,26.0,22.0,26.0,17.0,26.0,18.0,44.0,14.0,17.0,52.0,24.0,61.0,24.0,55.0,40.0,17.0
한국,428.0,318.0,341.0,111.0,107.0,215.0,191.0,0.0,467.0,161.0,143.0,135.0,20.0,149.0,34.0,10.0,3.0,80.0,38.0,138.0,106.0,35.0,385.0,160.0,73.0,135.0,129.0,76.0,64.0,165.0,84.0,73.0,80.0,48.0,59.0,84.0,181.0,3.0,34.0,26.0,0.0,68.0,94.0,31.0,57.0,25.0,46.0,136.0,62.0,152.0,0.0,44.0,44.0,13.0,10.0,30.0,73.0,102.0,24.0,45.0,57.0,67.0,3.0,40.0,92.0,0.0,57.0,81.0,13.0,37.0,1.0,44.0,55.0,39.0,45.0,69.0,47.0,4.0,42.0,16.0,22.0,51.0,13.0,34.0,52.0,21.0,6.0,18.0,25.0,39.0,47.0,57.0,14.0,51.0,84.0,46.0,79.0,46.0,58.0,77.0,29.0,16.0,53.0,28.0,16.0,52.0,23.0,47.0,27.0,38.0,68.0,36.0,28.0,27.0,18.0,55.0,31.0,21.0,41.0,4.0,59.0,38.0,21.0,5.0,20.0,46.0,58.0,21.0,24.0,26.0,36.0,33.0,0.0,43.0,4.0,35.0,12.0,24.0,22.0,39.0,32.0,38.0,50.0,45.0,21.0,27.0,39.0,109.0,7.0,63.0,34.0,41.0,13.0,21.0,24.0,30.0,6.0,8.0,28.0,69.0,0.0,23.0,32.0
미국,497.0,390.0,464.0,201.0,150.0,247.0,216.0,467.0,0.0,224.0,141.0,127.0,22.0,133.0,64.0,10.0,0.0,75.0,63.0,174.0,101.0,43.0,298.0,75.0,116.0,101.0,118.0,78.0,67.0,242.0,78.0,75.0,76.0,72.0,141.0,113.0,299.0,26.0,73.0,27.0,0.0,85.0,102.0,58.0,81.0,28.0,83.0,113.0,58.0,100.0,0.0,72.0,40.0,27.0,28.0,47.0,69.0,91.0,35.0,57.0,43.0,135.0,0.0,100.0,46.0,0.0,60.0,77.0,25.0,72.0,1.0,51.0,59.0,47.0,66.0,97.0,38.0,8.0,31.0,27.0,38.0,33.0,29.0,28.0,29.0,37.0,25.0,34.0,37.0,70.0,56.0,125.0,11.0,45.0,74.0,34.0,100.0,80.0,35.0,70.0,10.0,13.0,53.0,32.0,25.0,49.0,15.0,50.0,54.0,43.0,142.0,34.0,49.0,36.0,24.0,42.0,32.0,17.0,34.0,28.0,49.0,35.0,23.0,6.0,13.0,40.0,44.0,30.0,47.0,45.0,42.0,43.0,0.0,51.0,23.0,94.0,6.0,32.0,25.0,48.0,35.0,40.0,77.0,38.0,34.0,46.0,45.0,49.0,31.0,42.0,44.0,22.0,25.0,33.0,33.0,31.0,7.0,13.0,41.0,62.0,2.0,32.0,38.0
국가,579.0,481.0,425.0,139.0,144.0,395.0,625.0,161.0,224.0,0.0,201.0,133.0,9.0,145.0,224.0,0.0,0.0,252.0,178.0,136.0,173.0,78.0,110.0,157.0,120.0,161.0,124.0,96.0,147.0,120.0,75.0,423.0,129.0,153.0,130.0,111.0,67.0,150.0,101.0,25.0,0.0,105.0,36.0,89.0,53.0,66.0,58.0,121.0,65.0,50.0,0.0,61.0,76.0,80.0,75.0,76.0,67.0,136.0,55.0,50.0,60.0,105.0,1.0,52.0,44.0,2.0,58.0,68.0,94.0,64.0,3.0,110.0,94.0,51.0,70.0,46.0,50.0,24.0,53.0,71.0,59.0,58.0,65.0,33.0,67.0,63.0,56.0,111.0,102.0,44.0,57.0,28.0,40.0,67.0,44.0,78.0,89.0,83.0,23.0,55.0,98.0,72.0,52.0,39.0,25.0,92.0,36.0,44.0,26.0,72.0,52.0,62.0,62.0,51.0,26.0,32.0,45.0,57.0,75.0,67.0,15.0,69.0,53.0,43.0,50.0,29.0,56.0,43.0,38.0,98.0,45.0,74.0,0.0,40.0,64.0,41.0,32.0,56.0,26.0,41.0,32.0,30.0,27.0,60.0,21.0,42.0,72.0,29.0,25.0,18.0,30.0,51.0,16.0,66.0,21.0,31.0,61.0,13.0,75.0,27.0,35.0,37.0,22.0
