,국민,정부,경제,협력,국가,자유,대한민국,세계,산업,지원,기업,사회,기술,오늘,미래,한국,양국,감사,발전,지역,국제,글로벌,분야,시장,나라,디지털,혁신,생각,정상,회의,성장,지금,투자,확대,안보,첨단,추진,의료,정책,관계,중요,대통령,과학,평화,위기,강화,민생,반도체,노력,모두,청년,교육,전략,북한,개발,자리,민주주의,가치,번영,대응,필요,현장,수출,기반,도전,문화,동포,적극,말씀,문제,연대,이제,체계,우주,핵심,구축,동맹,부처,논의,이번,안전,시대,중심,가장,규모,올해,규제,한미,시작,역할,재정,다양,위협,개혁,사업,상황,방안,가능,정신,기여,의사,공동,부산,지방,역량,전쟁,금융,민간,도약,과제,지속,방문,원전,변화,개선,안정,역사,교류,작년,기회,연구,외교,세대,도시,미국,공급망,공유,책임,공정,기대,과정,에너지,최고,환경,서비스,수준,이상,이후,해결,시스템,제도,바이오,계속,헌신,총리,준비,마련,최선,학교,존경,사람,인권,약속,대학,건강,일자리,시민,보편,건설,창출,조성,복지,시간,인류,경쟁력,인프라,피해,먼저,한일,활용,동안,인재,마음,극복
국민,0.0,378.0,140.0,56.0,246.0,192.0,142.0,61.0,47.0,76.0,88.0,105.0,37.0,57.0,57.0,33.0,69.0,74.0,43.0,47.0,40.0,27.0,33.0,56.0,151.0,36.0,23.0,114.0,26.0,35.0,58.0,26.0,26.0,34.0,62.0,14.0,76.0,95.0,136.0,41.0,30.0,70.0,37.0,35.0,30.0,24.0,145.0,10.0,55.0,56.0,21.0,27.0,19.0,19.0,13.0,75.0,51.0,34.0,22.0,30.0,48.0,77.0,6.0,29.0,24.0,34.0,24.0,26.0,45.0,58.0,23.0,4.0,32.0,15.0,6.0,13.0,28.0,89.0,28.0,24.0,174.0,33.0,37.0,0.0,7.0,34.0,22.0,16.0,30.0,20.0,32.0,33.0,40.0,66.0,14.0,47.0,24.0,26.0,56.0,12.0,48.0,5.0,13.0,29.0,26.0,22.0,20.0,20.0,23.0,55.0,24.0,9.0,6.0,48.0,25.0,23.0,16.0,30.0,15.0,28.0,5.0,27.0,19.0,12.0,21.0,2.0,12.0,43.0,38.0,22.0,21.0,7.0,8.0,24.0,50.0,24.0,26.0,10.0,41.0,19.0,25.0,4.0,8.0,51.0,17.0,23.0,13.0,40.0,5.0,110.0,26.0,18.0,52.0,1.0,95.0,29.0,29.0,12.0,11.0,17.0,3.0,44.0,23.0,5.0,6.0,7.0,36.0,0.0,16.0,16.0,27.0,4.0,63.0,23.0
정부,378.0,0.0,194.0,170.0,166.0,85.0,122.0,86.0,133.0,329.0,242.0,95.0,77.0,40.0,83.0,77.0,66.0,20.0,84.0,122.0,42.0,65.0,79.0,129.0,29.0,101.0,84.0,60.0,48.0,41.0,91.0,21.0,117.0,57.0,49.0,54.0,148.0,113.0,137.0,40.0,44.0,42.0,61.0,18.0,40.0,52.0,102.0,38.0,106.0,19.0,70.0,73.0,64.0,33.0,34.0,39.0,17.0,32.0,16.0,56.0,61.0,52.0,41.0,48.0,37.0,37.0,38.0,121.0,46.0,60.0,20.0,3.0,70.0,18.0,43.0,57.0,15.0,76.0,45.0,39.0,49.0,45.0,74.0,1.0,42.0,39.0,65.0,18.0,14.0,51.0,129.0,38.0,13.0,80.0,54.0,36.0,46.0,30.0,29.0,20.0,50.0,15.0,28.0,121.0,35.0,11.0,32.0,135.0,29.0,60.0,30.0,7.0,28.0,35.0,39.0,53.0,7.0,33.0,29.0,38.0,37.0,36.0,26.0,15.0,13.0,19.0,22.0,28.0,39.0,19.0,38.0,11.0,21.0,38.0,38.0,27.0,35.0,37.0,43.0,31.0,44.0,25.0,6.0,17.0,8.0,22.0,51.0,93.0,21.0,15.0,12.0,19.0,35.0,25.0,25.0,32.0,15.0,8.0,17.0,35.0,40.0,31.0,9.0,2.0,21.0,14.0,16.0,1.0,20.0,14.0,19.0,17.0,27.0,16.0
경제,140.0,194.0,0.0,315.0,141.0,195.0,102.0,200.0,183.0,58.0,137.0,126.0,119.0,23.0,81.0,104.0,176.0,12.0,117.0,80.0,77.0,134.0,116.0,225.0,70.0,46.0,62.0,47.0,53.0,100.0,211.0,20.0,67.0,67.0,226.0,74.0,42.0,4.0,78.0,49.0,54.0,24.0,52.0,21.0,124.0,64.0,139.0,44.0,54.0,18.0,26.0,21.0,70.0,17.0,37.0,32.0,78.0,87.0,48.0,43.0,19.0,8.0,82.0,50.0,34.0,62.0,17.0,35.0,26.0,28.0,26.0,6.0,21.0,95.0,48.0,45.0,34.0,28.0,57.0,25.0,10.0,39.0,91.0,0.0,36.0,21.0,33.0,34.0,20.0,52.0,38.0,39.0,19.0,17.0,17.0,58.0,27.0,35.0,12.0,50.0,0.0,31.0,10.0,11.0,27.0,37.0,49.0,70.0,58.0,12.0,53.0,12.0,20.0,24.0,28.0,66.0,17.0,41.0,14.0,27.0,6.0,85.0,22.0,13.0,13.0,79.0,41.0,25.0,22.0,21.0,24.0,40.0,19.0,21.0,10.0,21.0,12.0,34.0,10.0,21.0,27.0,11.0,6.0,7.0,15.0,14.0,9.0,8.0,5.0,16.0,13.0,17.0,10.0,2.0,9.0,61.0,8.0,32.0,24.0,68.0,11.0,6.0,11.0,13.0,21.0,21.0,9.0,1.0,15.0,18.0,13.0,5.0,7.0,26.0
협력,56.0,170.0,315.0,0.0,141.0,111.0,73.0,118.0,138.0,89.0,131.0,88.0,237.0,48.0,141.0,205.0,497.0,3.0,101.0,62.0,152.0,152.0,290.0,32.0,39.0,92.0,53.0,48.0,138.0,88.0,59.0,20.0,89.0,149.0,195.0,139.0,59.0,36.0,15.0,138.0,84.0,54.0,105.0,78.0,75.0,202.0,8.0,68.0,35.0,9.0,29.0,27.0,120.0,33.0,98.0,33.0,22.0,71.0,80.0,56.0,36.0,16.0,37.0,100.0,41.0,60.0,15.0,63.0,6.0,31.0,102.0,3.0,65.0,69.0,99.0,88.0,40.0,38.0,82.0,81.0,10.0,24.0,43.0,0.0,25.0,27.0,4.0,61.0,24.0,41.0,9.0,64.0,25.0,4.0,41.0,17.0,85.0,28.0,9.0,55.0,4.0,135.0,8.0,36.0,30.0,5.0,19.0,33.0,26.0,22.0,38.0,40.0,85.0,28.0,18.0,42.0,27.0,111.0,22.0,37.0,30.0,41.0,29.0,6.0,29.0,111.0,78.0,9.0,9.0,62.0,31.0,123.0,29.0,30.0,2.0,21.0,9.0,19.0,13.0,15.0,29.0,36.0,7.0,2.0,39.0,16.0,20.0,9.0,5.0,2.0,6.0,31.0,6.0,9.0,2.0,10.0,3.0,45.0,51.0,33.0,10.0,1.0,3.0,12.0,12.0,72.0,4.0,2.0,61.0,19.0,6.0,17.0,1.0,34.0
국가,246.0,166.0,141.0,141.0,0.0,191.0,139.0,107.0,173.0,92.0,72.0,139.0,163.0,24.0,93.0,72.0,14.0,15.0,111.0,71.0,102.0,126.0,42.0,34.0,71.0,114.0,45.0,67.0,51.0,45.0,90.0,19.0,49.0,49.0,108.0,80.0,47.0,17.0,42.0,32.0,83.0,37.0,68.0,39.0,41.0,47.0,26.0,39.0,44.0,19.0,38.0,76.0,85.0,15.0,39.0,19.0,75.0,69.0,44.0,35.0,36.0,12.0,14.0,47.0,29.0,45.0,34.0,35.0,27.0,58.0,65.0,10.0,50.0,41.0,60.0,24.0,7.0,18.0,18.0,17.0,49.0,25.0,25.0,0.0,23.0,11.0,9.0,8.0,10.0,46.0,76.0,27.0,32.0,16.0,26.0,15.0,11.0,25.0,34.0,46.0,9.0,16.0,10.0,14.0,42.0,18.0,10.0,33.0,27.0,28.0,25.0,5.0,8.0,12.0,9.0,17.0,7.0,4.0,16.0,17.0,24.0,23.0,14.0,5.0,18.0,17.0,54.0,58.0,22.0,8.0,15.0,10.0,16.0,7.0,16.0,20.0,14.0,15.0,23.0,26.0,12.0,18.0,8.0,50.0,2.0,6.0,11.0,5.0,17.0,17.0,27.0,23.0,15.0,8.0,24.0,10.0,11.0,41.0,11.0,13.0,31.0,33.0,5.0,15.0,35.0,8.0,4.0,0.0,1.0,29.0,17.0,17.0,11.0,21.0
자유,192.0,85.0,195.0,111.0,191.0,0.0,259.0,192.0,31.0,22.0,45.0,197.0,55.0,18.0,74.0,80.0,46.0,9.0,63.0,39.0,160.0,79.0,10.0,153.0,93.0,74.0,69.0,35.0,24.0,17.0,54.0,23.0,14.0,63.0,46.0,26.0,21.0,4.0,6.0,22.0,43.0,17.0,29.0,244.0,38.0,27.0,4.0,0.0,52.0,49.0,25.0,21.0,31.0,27.0,22.0,22.0,330.0,189.0,241.0,13.0,20.0,4.0,2.0,89.0,41.0,26.0,12.0,10.0,25.0,8.0,192.0,8.0,18.0,0.0,25.0,33.0,61.0,2.0,11.0,9.0,22.0,18.0,12.0,0.0,4.0,9.0,11.0,39.0,13.0,43.0,5.0,20.0,108.0,8.0,5.0,8.0,11.0,32.0,81.0,83.0,12.0,20.0,10.0,1.0,22.0,43.0,8.0,19.0,8.0,4.0,29.0,4.0,0.0,7.0,3.0,6.0,29.0,9.0,11.0,22.0,10.0,26.0,24.0,6.0,40.0,9.0,74.0,83.0,59.0,14.0,26.0,8.0,3.0,7.0,8.0,9.0,1.0,21.0,6.0,35.0,17.0,1.0,9.0,44.0,7.0,4.0,0.0,8.0,1.0,37.0,66.0,138.0,11.0,6.0,1.0,1.0,86.0,111.0,11.0,7.0,11.0,11.0,5.0,57.0,4.0,2.0,0.0,0.0,6.0,11.0,15.0,3.0,4.0,18.0
대한민국,142.0,122.0,102.0,73.0,139.0,259.0,0.0,188.0,83.0,56.0,37.0,108.0,76.0,50.0,92.0,35.0,11.0,27.0,98.0,31.0,124.0,89.0,22.0,26.0,86.0,60.0,54.0,45.0,28.0,15.0,66.0,28.0,21.0,25.0,32.0,37.0,15.0,9.0,11.0,9.0,24.0,46.0,53.0,82.0,34.0,14.0,8.0,9.0,44.0,10.0,39.0,17.0,23.0,36.0,27.0,36.0,46.0,29.0,90.0,10.0,14.0,7.0,29.0,17.0,48.0,31.0,65.0,37.0,20.0,18.0,43.0,4.0,20.0,51.0,32.0,23.0,28.0,4.0,11.0,15.0,31.0,24.0,21.0,0.0,6.0,12.0,3.0,24.0,12.0,62.0,8.0,4.0,18.0,13.0,7.0,8.0,4.0,16.0,36.0,55.0,0.0,14.0,49.0,12.0,25.0,51.0,7.0,5.0,71.0,18.0,6.0,19.0,14.0,7.0,1.0,2.0,43.0,8.0,9.0,11.0,14.0,38.0,16.0,39.0,28.0,3.0,21.0,62.0,7.0,13.0,13.0,12.0,26.0,10.0,3.0,9.0,7.0,14.0,9.0,8.0,5.0,5.0,1.0,53.0,8.0,16.0,9.0,9.0,2.0,30.0,5.0,19.0,14.0,3.0,7.0,4.0,16.0,15.0,8.0,6.0,2.0,0.0,6.0,21.0,6.0,5.0,1.0,0.0,3.0,9.0,17.0,12.0,4.0,19.0
세계,61.0,86.0,200.0,118.0,107.0,192.0,188.0,0.0,118.0,57.0,122.0,83.0,166.0,19.0,100.0,92.0,48.0,12.0,59.0,48.0,109.0,114.0,45.0,99.0,103.0,109.0,80.0,46.0,36.0,19.0,75.0,20.0,40.0,48.0,25.0,73.0,13.0,11.0,20.0,17.0,28.0,19.0,62.0,153.0,86.0,24.0,8.0,81.0,46.0,11.0,36.0,13.0,14.0,26.0,47.0,14.0,45.0,53.0,131.0,20.0,13.0,6.0,56.0,34.0,71.0,57.0,47.0,31.0,20.0,24.0,60.0,10.0,21.0,40.0,18.0,28.0,28.0,4.0,14.0,24.0,10.0,20.0,31.0,0.0,28.0,13.0,7.0,23.0,17.0,42.0,8.0,11.0,38.0,4.0,10.0,36.0,5.0,38.0,23.0,63.0,2.0,30.0,76.0,7.0,39.0,37.0,28.0,18.0,31.0,9.0,28.0,8.0,36.0,25.0,5.0,15.0,22.0,24.0,9.0,22.0,47.0,20.0,32.0,63.0,30.0,25.0,33.0,36.0,12.0,12.0,12.0,13.0,139.0,11.0,2.0,65.0,16.0,19.0,11.0,26.0,11.0,19.0,2.0,14.0,6.0,6.0,5.0,6.0,5.0,18.0,15.0,33.0,14.0,17.0,4.0,12.0,73.0,32.0,13.0,24.0,15.0,0.0,2.0,45.0,24.0,11.0,2.0,0.0,10.0,14.0,6.0,26.0,5.0,23.0
산업,47.0,133.0,183.0,138.0,173.0,31.0,83.0,118.0,0.0,138.0,103.0,37.0,184.0,28.0,155.0,49.0,62.0,12.0,153.0,93.0,55.0,43.0,142.0,57.0,34.0,136.0,101.0,28.0,19.0,19.0,123.0,16.0,80.0,48.0,52.0,296.0,39.0,38.0,41.0,16.0,68.0,26.0,87.0,3.0,16.0,57.0,25.0,157.0,27.0,13.0,28.0,59.0,103.0,0.0,39.0,23.0,8.0,28.0,16.0,10.0,40.0,34.0,92.0,90.0,15.0,73.0,0.0,42.0,20.0,18.0,8.0,8.0,22.0,102.0,62.0,42.0,29.0,16.0,29.0,14.0,11.0,30.0,51.0,0.0,41.0,18.0,40.0,10.0,15.0,35.0,10.0,21.0,3.0,4.0,16.0,7.0,8.0,20.0,6.0,24.0,10.0,9.0,23.0,22.0,30.0,21.0,34.0,13.0,41.0,11.0,11.0,8.0,78.0,14.0,14.0,19.0,9.0,5.0,11.0,21.0,25.0,13.0,19.0,28.0,17.0,38.0,16.0,9.0,17.0,15.0,16.0,30.0,27.0,20.0,22.0,21.0,12.0,20.0,6.0,13.0,15.0,113.0,1.0,6.0,2.0,2.0,14.0,12.0,11.0,4.0,7.0,1.0,17.0,24.0,3.0,38.0,5.0,6.0,21.0,43.0,52.0,7.0,4.0,8.0,71.0,38.0,5.0,0.0,2.0,35.0,4.0,38.0,2.0,3.0
지원,76.0,329.0,58.0,89.0,92.0,22.0,56.0,57.0,138.0,0.0,177.0,78.0,112.0,6.0,67.0,66.0,46.0,5.0,69.0,87.0,56.0,40.0,59.0,50.0,25.0,69.0,72.0,15.0,21.0,21.0,65.0,7.0,106.0,142.0,35.0,60.0,64.0,62.0,42.0,22.0,22.0,12.0,43.0,28.0,21.0,62.0,23.0,41.0,23.0,7.0,83.0,68.0,22.0,18.0,66.0,14.0,5.0,11.0,10.0,13.0,77.0,22.0,53.0,22.0,41.0,42.0,42.0,125.0,9.0,9.0,19.0,4.0,59.0,25.0,17.0,40.0,3.0,34.0,22.0,21.0,24.0,18.0,26.0,0.0,55.0,21.0,44.0,3.0,8.0,20.0,59.0,35.0,0.0,15.0,68.0,12.0,42.0,11.0,12.0,15.0,6.0,20.0,17.0,37.0,35.0,15.0,83.0,39.0,19.0,10.0,17.0,7.0,29.0,7.0,19.0,34.0,4.0,35.0,15.0,19.0,51.0,12.0,22.0,22.0,8.0,7.0,18.0,5.0,20.0,5.0,21.0,16.0,15.0,21.0,27.0,17.0,25.0,10.0,7.0,15.0,25.0,34.0,9.0,8.0,1.0,23.0,44.0,25.0,21.0,0.0,2.0,3.0,15.0,22.0,10.0,26.0,7.0,4.0,16.0,14.0,44.0,38.0,2.0,0.0,14.0,35.0,41.0,1.0,1.0,22.0,4.0,22.0,10.0,8.0
